ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2016,2016-09-08,1,24.203,DEN,,CAR,W 21-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
2,2016,2016-09-18,2,24.213,DEN,,IND,W 34-20,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,0.0,0,0
3,2016,2016-09-25,3,24.220,DEN,@,CIN,W 29-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
4,2016,2016-10-02,4,24.227,DEN,@,TAM,W 27-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
5,2016,2016-10-09,5,24.234,DEN,,ATL,L 16-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
6,2016,2016-10-13,6,24.238,DEN,@,SDG,L 13-21,,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,0,0
7,2016,2016-10-24,7,24.249,DEN,,HOU,W 27-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
8,2016,2016-10-30,8,24.255,DEN,,SDG,W 27-19,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0,0,0.0,0,0
9,2016,2016-11-06,9,24.262,DEN,@,OAK,L 20-30,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
10,2016,2016-11-13,10,24.269,DEN,@,NOR,W 25-23,,2,2,32,16.00,1,100.0%,16.00,0,0,,0,1,6,0.0,0,0
11,2016,2016-11-27,11,24.283,DEN,,KAN,L 27-30,,4,1,6,6.00,1,25.0%,1.50,0,0,,0,1,6,0.0,0,0
12,2016,2016-12-04,12,24.290,DEN,@,JAX,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
13,2016,2016-12-11,13,24.297,DEN,@,TEN,L 10-13,,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,0.0,0,0
14,2016,2016-12-18,14,24.304,DEN,,NWE,L 3-16,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0
15,2016,2016-12-25,15,24.311,DEN,@,KAN,L 10-33,,4,1,26,26.00,0,25.0%,6.50,0,0,,0,0,0,0.0,0,0
16,2016,2017-01-01,16,24.318,DEN,,OAK,W 24-6,,3,3,41,13.67,0,100.0%,13.67,0,0,,0,0,0,0.0,0,0
17,2017,2017-10-01,4,25.225,DEN,,OAK,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
18,2017,2017-10-15,5,25.239,DEN,,NYG,L 10-23,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,0.0,0,0
19,2017,2017-10-22,6,25.246,DEN,@,LAC,L 0-21,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0
20,2017,2017-10-30,7,25.254,DEN,@,KAN,L 19-29,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,0,0
21,2017,2017-11-19,10,25.274,DEN,,CIN,L 17-20,,1,1,14,14.00,0,100.0%,14.00,1,15,15.00,0,0,0,0.0,0,0
22,2017,2017-11-26,11,25.281,DEN,@,OAK,L 14-21,,0,0,0,,0,0.0%,,1,8,8.00,0,0,0,0.0,0,0
23,2017,2017-12-10,13,25.295,DEN,,NYJ,W 23-0,,0,0,0,,0,0.0%,,5,62,12.40,0,0,0,0.0,0,0
24,2017,2017-12-14,14,25.299,DEN,@,IND,W 25-13,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0
25,2017,2017-12-24,15,25.309,DEN,@,WAS,L 11-27,,2,1,22,22.00,0,50.0%,11.00,2,12,6.00,0,0,0,0.0,0,0
26,2017,2017-12-31,16,25.316,DEN,,KAN,L 24-27,,8,6,65,10.83,0,75.0%,8.13,1,6,6.00,0,0,0,0.0,0,0
