ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-12-10,13,22.343,SDG,,BUF,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,,0
2,1962,1962-11-25,11,23.328,SDG,@,HOU,L 27-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,18,0,0,0,,0
3,1963,1963-09-08,1,24.250,SDG,,BUF,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,,0
4,1964,1964-09-26,3,25.269,SDG,@,BUF,L 3-30,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,,0
5,1964,1964-10-18,6,25.291,SDG,,DEN,W 42-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,,0
6,1964,1964-11-15,10,25.319,SDG,@,KAN,W 28-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,33,0,0,0,,0
7,1964,1964-12-13,13,25.347,SDG,,KAN,L 6-49,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,30,30.00,0
8,1964,1964-12-20,14,25.354,SDG,@,OAK,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,10,0,0,0,,0
9,1965,1965-09-26,3,26.268,SDG,,KAN,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,17,0,0,0,,0
10,1965,1965-10-10,5,26.282,SDG,@,BUF,W 34-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,3,79,1,1,40,40.00,0
11,1965,1965-10-31,8,26.303,SDG,,BOS,L 6-22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,18,0,0,0,,0
12,1965,1965-12-19,14,26.352,SDG,,OAK,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,13,0,0,0,,0
13,1966,1966-09-04,1,27.246,SDG,,BUF,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,61,0,0,0,,0
14,1966,1966-09-10,2,27.252,SDG,,BOS,W 24-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,8,0,0,0,,0
15,1966,1966-12-18,14,27.351,SDG,,KAN,L 17-27,,,,,,,,,,,,,,,,,,,,,,0,20,0,,,,
16,1967,1967-09-24,2,28.266,SDG,,HOU,W 13-3,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,0,0,0,,0
17,1968,1968-11-10,9,29.314,SDG,@,BOS,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,,,2,81,40.50,0,0,0,0,0,0,0,0,,0
