ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.241,MIA,@,BOS,L 14-27,,,,,,,
2,1970,1970-09-27,2,22.248,MIA,@,HOU,W 20-10,,,,,,,
3,1970,1970-10-03,3,22.254,MIA,,OAK,W 20-13,,,,,,,
4,1970,1970-10-10,4,22.261,MIA,@,NYJ,W 20-6,,,,,,,
5,1970,1970-10-18,5,22.269,MIA,@,BUF,W 33-14,,,,,,,
6,1970,1970-10-25,6,22.276,MIA,,CLE,L 0-28,,,,,,,
7,1970,1970-11-01,7,22.283,MIA,@,BAL,L 0-35,,,,,,,
8,1970,1970-11-08,8,22.290,MIA,@,PHI,L 17-24,,,,,,,
9,1970,1970-11-15,9,22.297,MIA,,NOR,W 21-10,,,,,,,
10,1970,1970-11-22,10,22.304,MIA,,BAL,W 34-17,,,,,,,
11,1970,1970-11-30,11,22.312,MIA,@,ATL,W 20-7,,,,,,,
12,1970,1970-12-06,12,22.318,MIA,,BOS,W 37-20,1,0,0.00,0,0,0,0
13,1970,1970-12-13,13,22.325,MIA,,NYJ,W 16-10,,,,,,,
14,1970,1970-12-20,14,22.332,MIA,,BUF,W 45-7,,,,,,,
15,1971,1971-09-19,1,23.240,MIA,@,DEN,T 10-10,,,,,,,
16,1971,1971-09-26,2,23.247,MIA,@,BUF,W 29-14,,,,,,,
17,1971,1971-10-03,3,23.254,MIA,,NYJ,L 10-14,0,0,,0,1,18,0
18,1971,1971-10-10,4,23.261,MIA,@,CIN,W 23-13,,,,,,,
19,1971,1971-10-17,5,23.268,MIA,,NWE,W 41-3,,,,,,,
20,1971,1971-10-24,6,23.275,MIA,@,NYJ,W 30-14,,,,,,,
21,1971,1971-10-31,7,23.282,MIA,@,RAM,W 20-14,,,,,,,
22,1971,1971-11-07,8,23.289,MIA,,BUF,W 34-0,0,0,,0,1,0,0
23,1971,1971-11-14,9,23.296,MIA,,PIT,W 24-21,0,0,,0,1,-4,0
24,1971,1971-11-21,10,23.303,MIA,,BAL,W 17-14,0,0,,0,1,0,0
25,1971,1971-11-29,11,23.311,MIA,,CHI,W 34-3,,,,,,,
26,1971,1971-12-05,12,23.317,MIA,@,NWE,L 13-34,,,,,,,
27,1971,1971-12-11,13,23.323,MIA,@,BAL,L 3-14,,,,,,,
28,1971,1971-12-19,14,23.331,MIA,,GNB,W 27-6,,,,,,,
29,1972,1972-09-17,1,24.239,MIA,@,KAN,W 20-10,,,,,,,
30,1972,1972-09-24,2,24.246,MIA,,HOU,W 34-13,0,0,,0,1,10,0
31,1972,1972-10-01,3,24.253,MIA,@,MIN,W 16-14,0,0,,0,1,15,0
32,1972,1972-10-08,4,24.260,MIA,@,NYJ,W 27-17,,,,,,,
33,1972,1972-10-15,5,24.267,MIA,,SDG,W 24-10,,,,,,,
34,1972,1972-10-22,6,24.274,MIA,,BUF,W 24-23,,,,,,,
35,1972,1972-10-29,7,24.281,MIA,@,BAL,W 23-0,,,,,,,
36,1972,1972-11-05,8,24.288,MIA,@,BUF,W 30-16,0,0,,0,1,0,0
37,1972,1972-11-12,9,24.295,MIA,,NWE,W 52-0,,,,,,,
38,1972,1972-11-19,10,24.302,MIA,,NYJ,W 28-24,,,,,,,
39,1972,1972-11-27,11,24.310,MIA,,STL,W 31-10,,,,,,,
40,1972,1972-12-03,12,24.316,MIA,@,NWE,W 37-21,,,,,,,
41,1972,1972-12-10,13,24.323,MIA,@,NYG,W 23-13,,,,,,,
42,1972,1972-12-16,14,24.329,MIA,,BAL,W 16-0,,,,,,,
43,1973,1973-09-16,1,25.237,MIA,,SFO,W 21-13,,,,,,,
44,1973,1973-09-23,2,25.244,MIA,@,OAK,L 7-12,,,,,,,
45,1973,1973-09-30,3,25.251,MIA,,NWE,W 44-23,,,,,,,
46,1973,1973-10-07,4,25.258,MIA,,NYJ,W 31-3,0,0,,0,2,22,0
47,1973,1973-10-15,5,25.266,MIA,@,CLE,W 17-9,,,,,,,
48,1973,1973-10-21,6,25.272,MIA,,BUF,W 27-6,,,,,,,
49,1973,1973-10-28,7,25.279,MIA,@,NWE,W 30-14,,,,,,,
50,1973,1973-11-04,8,25.286,MIA,@,NYJ,W 24-14,,,,,,,
51,1973,1973-11-11,9,25.293,MIA,,BAL,W 44-0,,,,,,,
52,1973,1973-11-18,10,25.300,MIA,@,BUF,W 17-0,,,,,,,
53,1973,1973-11-22,11,25.304,MIA,@,DAL,W 14-7,,,,,,,
54,1974,1974-09-22,2,26.243,MIA,@,BUF,W 24-16,,,,,,,
55,1974,1974-09-29,3,26.250,MIA,@,SDG,W 28-21,,,,,,,
56,1974,1974-10-07,4,26.258,MIA,,NYJ,W 21-17,,,,,,,
57,1974,1974-10-13,5,26.264,MIA,@,WAS,L 17-20,0,0,,0,2,-2,0
58,1974,1974-10-20,6,26.271,MIA,,KAN,W 9-3,,,,,,,
59,1974,1974-10-27,7,26.278,MIA,,BAL,W 17-7,,,,,,,
60,1974,1974-11-03,8,26.285,MIA,,ATL,W 42-7,,,,,,,
61,1974,1974-11-10,9,26.292,MIA,@,NOR,W 21-0,,,,,,,
62,1974,1974-11-17,10,26.299,MIA,,BUF,W 35-28,,,,,,,
63,1974,1974-11-24,11,26.306,MIA,@,NYJ,L 14-17,,,,,,,
64,1974,1974-12-02,12,26.314,MIA,,CIN,W 24-3,,,,,,,
65,1974,1974-12-08,13,26.320,MIA,@,BAL,W 17-16,,,,,,,
66,1974,1974-12-15,14,26.327,MIA,,NWE,W 34-27,,,,,,,
67,1975,1975-09-22,1,27.243,MIA,,OAK,L 21-31,,,,,,,
