ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-26,3,23.094,DEN,@,TAM,L 10-13,,,,,,,0.0%,,,,,,,
2,1999,1999-10-03,4,23.101,DEN,,NYJ,L 13-21,,,,,,,0.0%,,,,,,,
3,1999,1999-10-10,5,23.108,DEN,@,OAK,W 16-13,,1,,,,,0.0%,,,,,,,
4,1999,1999-10-17,6,23.115,DEN,,GNB,W 31-10,,0,0,0,,0,0.0%,,6,44,7.33,0,0,0
5,1999,1999-10-24,7,23.122,DEN,@,NWE,L 23-24,,,,,,,0.0%,,,,,,,
6,1999,1999-10-31,8,23.129,DEN,,MIN,L 20-23,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0
7,1999,1999-11-07,9,23.136,DEN,@,SDG,W 33-17,,,,,,,0.0%,,,,,,,
8,1999,1999-11-14,10,23.143,DEN,@,SEA,L 17-20,,,,,,,0.0%,,,,,,,
9,1999,1999-11-22,11,23.151,DEN,,OAK,W 27-21,,2,1,9,9.00,0,50.0%,4.50,1,6,6.00,0,0,0
10,1999,1999-12-05,12,23.164,DEN,,KAN,L 10-16,,,,,,,0.0%,,,,,,,
11,1999,1999-12-13,13,23.172,DEN,@,JAX,L 24-27,,,,,,,0.0%,,,,,,,
12,1999,1999-12-19,14,23.178,DEN,,SEA,W 36-30,,1,,,,,0.0%,,,,,,,
13,1999,1999-12-25,15,23.184,DEN,@,DET,W 17-7,,,,,,,0.0%,,,,,,,
14,1999,2000-01-02,16,23.192,DEN,,SDG,L 6-12,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
15,2000,2000-09-04,1,24.072,DEN,@,STL,L 36-41,,,,,,,0.0%,,,,,,,
16,2000,2000-09-10,2,24.078,DEN,,ATL,W 42-14,,2,,,,,0.0%,,,,,,,
17,2000,2000-09-17,3,24.085,DEN,@,OAK,W 33-24,,,,,,,0.0%,,,,,,,
18,2000,2000-09-24,4,24.092,DEN,,KAN,L 22-23,,,,,,,0.0%,,,,,,,
19,2000,2000-10-01,5,24.099,DEN,,NWE,L 19-28,,1,1,43,43.00,1,100.0%,43.00,0,0,,0,1,6
20,2000,2000-10-08,6,24.106,DEN,@,SDG,W 21-7,,,,,,,0.0%,,,,,,,
21,2000,2000-10-15,7,24.113,DEN,,CLE,W 44-10,,,,,,,0.0%,,,,,,,
22,2000,2000-10-22,8,24.120,DEN,@,CIN,L 21-31,,,,,,,0.0%,,,,,,,
23,2000,2000-11-05,9,24.134,DEN,@,NYJ,W 30-23,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
24,2000,2000-11-13,10,24.142,DEN,,OAK,W 27-24,,0,,,,,0.0%,,,,,,,
25,2000,2000-11-19,11,24.148,DEN,,SDG,W 38-37,,1,,,,,0.0%,,,,,,,
26,2000,2000-11-26,12,24.155,DEN,@,SEA,W 38-31,,1,,,,,0.0%,,,,,,,
27,2000,2000-12-03,13,24.162,DEN,@,NOR,W 38-23,,0,,,,,0.0%,,,,,,,
28,2000,2000-12-10,14,24.169,DEN,,SEA,W 31-24,,,,,,,0.0%,,,,,,,
29,2000,2000-12-17,15,24.176,DEN,@,KAN,L 7-20,,1,,,,,0.0%,,,,,,,
30,2001,2001-09-23,2,25.091,DEN,@,ARI,W 38-17,,,,,,,0.0%,,,,,,,
31,2001,2001-09-30,3,25.098,DEN,,BAL,L 13-20,,2,,,,,0.0%,,,,,,,
32,2001,2001-10-07,4,25.105,DEN,,KAN,W 20-6,,2,,,,,0.0%,,,,,,,
33,2001,2001-10-14,5,25.112,DEN,@,SEA,L 21-34,,,,,,,0.0%,,,,,,,
34,2001,2001-10-21,6,25.119,DEN,@,SDG,L 10-27,,,,,,,0.0%,,,,,,,
