ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,23.194,DET,,SEA,L 6-9,,,,,,
2,2006,2006-09-17,2,23.201,DET,@,CHI,L 7-34,,,,,,
3,2006,2006-09-24,3,23.208,DET,,GNB,L 24-31,*,,,,,
4,2006,2006-10-01,4,23.215,DET,@,STL,L 34-41,*,,,,,
5,2006,2006-10-08,5,23.222,DET,@,MIN,L 17-26,*,,,,,
6,2006,2006-10-15,6,23.229,DET,,BUF,W 20-17,*,,,,,
7,2006,2006-10-22,7,23.236,DET,@,NYJ,L 24-31,*,,,,,
8,2006,2006-11-05,8,23.250,DET,,ATL,W 30-14,*,0,0,1.0,,
9,2006,2006-11-12,9,23.257,DET,,SFO,L 13-19,,,,,,
10,2006,2006-11-19,10,23.264,DET,@,ARI,L 10-17,,,,,,
11,2006,2006-11-23,11,23.268,DET,,MIA,L 10-27,*,,,,,
12,2006,2006-12-03,12,23.278,DET,@,NWE,L 21-28,,,,,,
13,2006,2006-12-10,13,23.285,DET,,MIN,L 20-30,,,,,,
14,2006,2006-12-17,14,23.292,DET,@,GNB,L 9-17,,,,,,
15,2006,2006-12-24,15,23.299,DET,,CHI,L 21-26,,,,,,
16,2008,2008-09-07,1,25.192,DET,@,ATL,L 21-34,,0,0,0.0,1,0
17,2008,2008-09-14,2,25.199,DET,,GNB,L 25-48,*,0,0,0.0,8,4
18,2008,2008-09-21,3,25.206,DET,@,SFO,L 13-31,*,0,0,0.0,4,1
19,2008,2008-10-05,4,25.220,DET,,CHI,L 7-34,*,0,0,0.0,3,1
20,2008,2008-10-12,5,25.227,DET,@,MIN,L 10-12,*,0,0,0.0,9,1
21,2008,2008-10-19,6,25.234,DET,@,HOU,L 21-28,*,0,0,0.0,3,5
22,2008,2008-10-26,7,25.241,DET,,WAS,L 17-25,*,0,0,0.0,1,2
23,2008,2008-11-02,8,25.248,DET,@,CHI,L 23-27,*,0,0,0.0,4,0
24,2008,2008-11-09,9,25.255,DET,,JAX,L 14-38,*,0,0,0.0,5,6
25,2008,2008-11-16,10,25.262,DET,@,CAR,L 22-31,*,0,0,0.0,7,0
26,2008,2008-11-23,11,25.269,DET,,TAM,L 20-38,*,1,6,0.0,1,1
27,2008,2008-11-27,12,25.273,DET,,TEN,L 10-47,*,0,0,0.0,2,2
28,2008,2008-12-07,13,25.283,DET,,MIN,L 16-20,*,0,0,0.0,1,2
29,2008,2008-12-14,14,25.290,DET,@,IND,L 21-31,*,0,0,0.0,7,1
30,2008,2008-12-21,15,25.297,DET,,NOR,L 7-42,*,0,0,0.0,4,3
31,2008,2008-12-28,16,25.304,DET,@,GNB,L 21-31,*,0,0,0.0,3,1
