ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-23,1,23.044,RAM,,STL,L 21-43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,20,0
2,1960,1960-10-23,5,23.074,RAM,,CHI,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,26,1
3,1960,1960-11-06,7,23.088,RAM,@,DAL,W 38-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
4,1960,1960-11-13,8,23.095,RAM,@,DET,L 10-12,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
5,1960,1960-11-20,9,23.102,RAM,@,GNB,W 33-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,0
6,1961,1961-10-01,3,24.052,RAM,,PIT,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,34,0
7,1962,1962-11-11,9,25.093,RAM,,BAL,L 2-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
8,1963,1963-09-14,1,26.035,RAM,,DET,L 2-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
9,1963,1963-09-21,2,26.042,RAM,,WAS,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,20,0
10,1963,1963-10-13,5,26.064,RAM,,CHI,L 14-52,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,10,0
11,1963,1963-11-17,10,26.099,RAM,@,DET,W 28-21,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,8,0
12,1963,1963-12-15,14,26.127,RAM,@,BAL,L 16-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
13,1964,1964-09-13,1,27.034,RAM,@,PIT,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,30,0
14,1964,1964-09-19,2,27.040,RAM,,DET,T 17-17,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,1,0,0
15,1964,1964-12-06,13,27.118,RAM,@,SFO,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,2,9,4.50,0,0,0,1,20,0
16,1964,1964-12-13,14,27.125,RAM,,GNB,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,68,22.67,0,0,0,,0,0,0,0,0,0
17,1965,1965-09-25,2,28.046,RAM,,CHI,W 30-28,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
18,1965,1965-10-17,5,28.068,RAM,,SFO,L 21-45,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,0
19,1965,1965-11-21,10,28.103,RAM,@,SFO,L 27-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,29,0
20,1965,1965-11-28,11,28.110,RAM,,GNB,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,28,0
21,1965,1965-12-05,12,28.117,RAM,@,STL,W 27-3,1,11,11.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
22,1966,1966-09-30,4,29.051,RAM,,SFO,W 34-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,22,0
23,1966,1966-10-09,5,29.060,RAM,@,DET,W 14-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,32,0
24,1966,1966-10-23,7,29.074,RAM,@,CHI,L 10-17,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,1,3,0
25,1966,1966-11-06,9,29.088,RAM,@,SFO,L 13-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,3,0
26,1966,1966-11-13,10,29.095,RAM,,NYG,W 55-14,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
27,1966,1966-12-18,14,29.130,RAM,,GNB,L 23-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
28,1967,1967-09-22,2,30.043,RAM,,MIN,W 39-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,13,0
29,1967,1967-10-01,3,30.052,RAM,@,DAL,W 35-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,2,44,1
30,1967,1967-10-15,5,30.066,RAM,@,BAL,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0,0,0,0
31,1967,1967-10-22,6,30.073,RAM,,WAS,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,0,0,0,0,0
32,1967,1967-10-29,7,30.080,RAM,@,CHI,W 28-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-3,-1.50,0,0,0,0,0,0
33,1967,1967-11-05,8,30.087,RAM,@,SFO,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,52,17.33,0,0,0,1,0,0
34,1967,1967-11-12,9,30.094,RAM,,PHI,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,31,10.33,0,1,6,1,25,1
35,1967,1967-11-19,10,30.101,RAM,@,ATL,W 31-3,0,0,,0,1,1,100.00,18,1,0,158.3,0,0,18.00,38.00,0,0,,0,2,23,11.50,0,0,0,0,0,0
36,1967,1967-11-23,11,30.105,RAM,@,DET,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,0,0,1,14,0
