ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-10-03,4,22.191,NOR,@,ARI,L 10-34,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
2,2005,2005-09-19,2,23.177,NOR,,NYG,L 10-27,,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
3,2005,2005-09-25,3,23.183,NOR,@,MIN,L 16-33,,7,3,95,31.67,0,42.9%,13.57,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
4,2005,2005-10-02,4,23.190,NOR,,BUF,W 19-7,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
5,2005,2005-10-09,5,23.197,NOR,@,GNB,L 3-52,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
6,2005,2005-10-16,6,23.204,NOR,,ATL,L 31-34,,8,4,53,13.25,1,50.0%,6.63,1,9,9.00,0,0,0,,0,0,0,,0,1,6,0.0,,
7,2005,2005-10-23,7,23.211,NOR,@,STL,L 17-28,*,6,2,21,10.50,0,33.3%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
8,2005,2005-10-30,8,23.218,NOR,,MIA,L 6-21,,5,1,14,14.00,0,20.0%,2.80,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-11-06,9,23.225,NOR,,CHI,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
10,2005,2005-11-20,10,23.239,NOR,@,NWE,L 17-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,
