ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1980,1980-09-07,1,22.357,DET,@,RAM,W 41-20,,,,,,,,,,,,,,,,,,
2,1980,1980-09-14,2,22.364,DET,@,GNB,W 29-7,,,,,,,,,,,,,,,,,,
3,1980,1980-09-21,3,23.005,DET,,STL,W 20-7,,,,,,,,,,,,,,,,,,
4,1980,1980-09-28,4,23.012,DET,,MIN,W 27-7,,,,,,,,,,,,,,,,,,
5,1980,1980-10-05,5,23.019,DET,@,ATL,L 28-43,,,,,,,,,,,,,,,,,,
6,1980,1980-10-12,6,23.026,DET,,NOR,W 24-13,,,,,,,,,,,,,,,,,,
7,1980,1980-10-19,7,23.033,DET,@,CHI,L 7-24,,,,,,,,,,,,,,,,,,
8,1980,1980-10-26,8,23.040,DET,@,KAN,L 17-20,,,,,,,,,,,,,,,,,,
9,1980,1980-11-02,9,23.047,DET,,SFO,W 17-13,,,,,,,,,,,,,,,,,,
10,1980,1980-11-16,11,23.061,DET,,BAL,L 9-10,,,,,,,,,,,,,,,,,,
11,1980,1980-11-23,12,23.068,DET,@,TAM,W 24-10,,,,,,,,,,,,,,,,,,
12,1980,1980-11-27,13,23.072,DET,,CHI,L 17-23,,,,,,,,,,,,,,,,,,
13,1980,1980-12-07,14,23.082,DET,@,STL,L 23-24,,,,,,,,,,,,,,,,,,
14,1980,1980-12-14,15,23.089,DET,,TAM,W 27-14,,,,,,,,,,,,,,,,,,
15,1980,1980-12-21,16,23.096,DET,,GNB,W 24-3,,,,,,,,,,,,,,,,,,
16,1981,1981-09-06,1,23.355,DET,,SFO,W 24-17,,0,0,,0,0,0,,0,,,,0,0,,0,,
17,1981,1981-09-13,2,23.362,DET,@,SDG,L 23-28,,0,0,,0,0,0,,0,,,,0,0,,0,,
18,1981,1981-09-20,3,24.004,DET,@,MIN,L 24-26,,0,0,,0,0,0,,0,,,,0,0,,0,,
19,1981,1981-09-27,4,24.011,DET,,OAK,W 16-0,,0,0,,0,0,0,,0,,,,0,0,,0,,
20,1981,1981-10-04,5,24.018,DET,@,TAM,L 10-28,,4,15,26.67,102,0,2,15.8,0,0,6.80,0.80,2,4,2.00,0,0,0
21,1981,1981-10-11,6,24.025,DET,@,DEN,L 21-27,,0,0,,0,0,0,,0,,,,0,0,,0,,
22,1981,1981-10-19,7,24.033,DET,,CHI,W 48-17,*,14,25,56.00,336,4,0,140.4,1,10,13.44,16.64,4,13,3.25,2,2,12
23,1981,1981-10-25,8,24.039,DET,,GNB,W 31-27,*,20,36,55.56,271,1,1,77.4,4,33,7.53,6.83,5,20,4.00,2,2,12
24,1981,1981-11-01,9,24.046,DET,@,RAM,L 13-20,*,7,25,28.00,193,1,2,39.2,3,25,7.72,4.92,2,-7,-3.50,0,0,0
25,1981,1981-11-08,10,24.053,DET,@,WAS,L 31-33,*,14,22,63.64,282,1,3,82.8,1,5,12.82,7.59,2,2,1.00,1,1,6
26,1981,1981-11-15,11,24.060,DET,,DAL,W 27-24,*,13,23,56.52,264,2,1,107.9,5,52,11.48,11.26,5,27,5.40,0,0,0
27,1981,1981-11-22,12,24.067,DET,@,CHI,W 23-7,*,10,29,34.48,145,0,1,37.3,2,18,5.00,3.45,9,32,3.56,1,1,6
28,1981,1981-11-26,13,24.071,DET,,KAN,W 27-10,*,10,22,45.45,132,2,0,95.3,3,18,6.00,7.82,3,22,7.33,0,0,0
29,1981,1981-12-06,14,24.081,DET,@,GNB,L 17-31,*,17,33,51.52,240,0,2,50.1,4,23,7.27,4.55,4,27,6.75,0,0,0
30,1981,1981-12-12,15,24.087,DET,,MIN,W 45-7,*,13,21,61.90,188,2,1,102.9,1,7,8.95,8.71,1,9,9.00,0,0,0
31,1981,1981-12-20,16,24.095,DET,,TAM,L 17-20,*,18,28,64.29,205,1,2,68.3,3,17,7.32,4.82,4,19,4.75,1,1,6
32,1982,1982-09-12,1,24.361,DET,,CHI,W 17-10,*,9,23,39.13,105,1,1,50.1,3,23,4.57,3.48,1,8,8.00,0,0,0
33,1982,1982-09-19,2,25.003,DET,@,RAM,W 19-14,*,4,13,30.77,97,0,1,26.8,1,12,7.46,4.00,0,0,,0,0,0
34,1982,1982-11-21,3,25.066,DET,@,CHI,L 17-20,*,15,32,46.88,119,1,2,41.0,7,62,3.72,1.53,2,14,7.00,0,0,0
35,1982,1982-11-25,4,25.070,DET,,NYG,L 6-13,*,3,12,25.00,39,0,0,40.6,0,0,3.25,3.25,3,14,4.67,0,0,0
36,1982,1982-12-06,5,25.081,DET,,NYJ,L 13-28,,0,0,,0,0,0,,0,,,,0,0,,0,,
37,1982,1982-12-12,6,25.087,DET,@,GNB,W 30-10,,1,2,50.00,-2,0,0,56.2,0,0,-1.00,-1.00,0,0,,0,0,0
38,1982,1982-12-19,7,25.094,DET,,MIN,L 31-34,,0,0,,0,0,0,,0,,,,0,0,,0,,
39,1982,1982-12-26,8,25.101,DET,@,TAM,L 21-23,,0,0,,0,0,0,,0,,,,0,0,,0,,
40,1982,1983-01-02,9,25.108,DET,,GNB,W 27-24,,4,4,100.00,53,0,0,118.7,0,0,13.25,13.25,4,21,5.25,0,0,0
41,1983,1983-09-04,1,25.353,DET,@,TAM,W 11-0,*,14,24,58.33,174,0,1,63.5,2,20,7.25,5.38,3,11,3.67,0,0,0
