ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2017,2017-11-19,10,23.363,JAX,@,CLE,W 19-7,,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0
2,2017,2017-11-26,11,24.005,JAX,@,ARI,L 24-27,,10,6,41,6.83,0,60.0%,4.10,0,0,,0,0,0,,0,0,0
3,2017,2017-12-03,12,24.012,JAX,,IND,W 30-10,*,9,6,78,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0
4,2017,2017-12-10,13,24.019,JAX,,SEA,W 30-24,*,8,5,81,16.20,1,62.5%,10.13,0,0,,0,0,0,,0,1,6
5,2017,2017-12-17,14,24.026,JAX,,HOU,W 45-7,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,1,19,19.00,0,0,0
6,2017,2017-12-24,15,24.033,JAX,@,SFO,L 33-44,*,7,4,74,18.50,0,57.1%,10.57,0,0,,0,0,0,,0,0,0
7,2017,2017-12-31,16,24.040,JAX,@,TEN,L 10-15,*,9,1,9,9.00,0,11.1%,1.00,0,0,,0,0,0,,0,0,0
8,2018,2018-09-09,1,24.292,JAX,@,NYG,W 20-15,,6,5,51,10.20,0,83.3%,8.50,0,0,,0,0,0,,0,0,0
9,2018,2018-09-16,2,24.299,JAX,,NWE,W 31-20,,5,4,82,20.50,1,80.0%,16.40,1,-6,-6.00,0,0,0,,0,1,6
10,2018,2018-09-23,3,24.306,JAX,,TEN,L 6-9,,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0
