ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1996,1996-09-15,3,23.276,ARI,@,NWE,L 0-31,,,,,,,0.0%,,,
2,1996,1996-09-22,4,23.283,ARI,@,NOR,W 28-14,,,,,,,0.0%,,,
3,1996,1996-09-29,5,23.290,ARI,,STL,W 31-28,,,,,,,0.0%,,,
4,1996,1996-10-27,8,23.318,ARI,,NYJ,L 21-31,,,,,,,0.0%,,,
5,1996,1996-11-03,9,23.325,ARI,@,NYG,L 8-16,,,,,,,0.0%,,,
6,1996,1996-11-10,10,23.332,ARI,@,WAS,W 37-34,,6,5,54,10.80,1,83.3%,9.00,1,6
7,1996,1996-11-17,11,23.339,ARI,,NYG,W 31-23,,,,,,,0.0%,,,
8,1996,1996-11-24,12,23.346,ARI,,PHI,W 36-30,,,,,,,0.0%,,,
9,1996,1996-12-01,13,23.353,ARI,@,MIN,L 17-41,,1,1,5,5.00,0,100.0%,5.00,0,0
10,1996,1996-12-08,14,23.360,ARI,,DAL,L 6-10,,,,,,,0.0%,,,
11,1996,1996-12-15,15,24.001,ARI,,WAS,W 27-26,,,,,,,0.0%,,,
12,1996,1996-12-22,16,24.008,ARI,@,PHI,L 19-29,,2,1,21,21.00,0,50.0%,10.50,0,0
13,1997,1997-08-31,1,24.260,ARI,@,CIN,L 21-24,,,,,,,0.0%,,,
14,1997,1997-09-07,2,24.267,ARI,,DAL,W 25-22,,,,,,,0.0%,,,
15,1997,1997-09-14,3,24.274,ARI,@,WAS,L 13-19,,,,,,,0.0%,,,
16,1997,1997-09-28,4,24.288,ARI,@,TAM,L 18-19,,,,,,,0.0%,,,
17,1997,1997-10-05,5,24.295,ARI,,MIN,L 19-20,,,,,,,0.0%,,,
18,1997,1997-10-12,6,24.302,ARI,,NYG,L 13-27,,,,,,,0.0%,,,
19,1997,1997-10-19,7,24.309,ARI,@,PHI,L 10-13,,,,,,,0.0%,,,
20,1997,1997-10-26,8,24.316,ARI,,TEN,L 14-41,,,,,,,0.0%,,,
21,1997,1997-11-02,9,24.323,ARI,,PHI,W 31-21,,3,3,28,9.33,0,100.0%,9.33,0,0
22,1997,1997-11-09,10,24.330,ARI,@,DAL,L 6-24,,3,2,21,10.50,0,66.7%,7.00,0,0
23,1997,1997-11-16,11,24.337,ARI,@,NYG,L 10-19,,,,,,,0.0%,,,
24,1997,1997-11-23,12,24.344,ARI,@,BAL,W 16-13,,,,,,,0.0%,,,
25,1997,1997-11-23,12,24.344,DET,,IND,W 32-10,,,,,,,0.0%,,,
26,1997,1997-11-30,13,24.351,ARI,,PIT,L 20-26,,1,1,11,11.00,0,100.0%,11.00,0,0
27,1997,1997-12-07,14,24.358,ARI,,WAS,L 28-38,,1,1,15,15.00,0,100.0%,15.00,0,0
28,1997,1997-12-14,15,25.000,ARI,@,NOR,L 10-27,,,,,,,0.0%,,,
29,1997,1997-12-21,16,25.007,ARI,,ATL,W 29-26,,,,,,,0.0%,,,
30,1998,1998-09-06,1,25.266,ARI,@,DAL,L 10-38,,2,1,17,17.00,0,50.0%,8.50,0,0
31,1998,1998-09-13,2,25.273,ARI,@,SEA,L 14-33,,3,2,13,6.50,0,66.7%,4.33,0,0
32,1998,1998-09-20,3,25.280,ARI,,PHI,W 17-3,,3,3,36,12.00,1,100.0%,12.00,1,6
33,1998,1998-09-27,4,25.287,ARI,@,STL,W 20-17,,4,4,35,8.75,0,100.0%,8.75,0,0
34,1998,1998-10-04,5,25.294,ARI,,OAK,L 20-23,,2,2,12,6.00,1,100.0%,6.00,1,6
35,1998,1998-10-11,6,25.301,ARI,,CHI,W 20-7,,1,1,5,5.00,0,100.0%,5.00,0,0
36,1998,1998-10-18,7,25.308,ARI,@,NYG,L 7-34,,2,2,39,19.50,1,100.0%,19.50,1,6
37,1998,1998-11-01,8,25.322,ARI,@,DET,W 17-15,,2,1,19,19.00,0,50.0%,9.50,0,0
38,1998,1998-11-08,9,25.329,ARI,,WAS,W 29-27,,3,3,24,8.00,0,100.0%,8.00,0,0
39,1998,1998-11-15,10,25.336,ARI,,DAL,L 28-35,,3,2,19,9.50,0,66.7%,6.33,0,0
40,1998,1998-11-22,11,25.343,ARI,@,WAS,W 45-42,,2,2,14,7.00,1,100.0%,7.00,1,6
41,1998,1998-11-29,12,25.350,ARI,@,KAN,L 24-34,,,,,,,0.0%,,,
42,1998,1998-12-06,13,25.357,ARI,,NYG,L 19-23,,3,1,15,15.00,0,33.3%,5.00,0,0
43,1998,1998-12-13,14,25.364,ARI,@,PHI,W 20-17,,,,,,,0.0%,,,
44,1998,1998-12-20,15,26.006,ARI,,NOR,W 19-17,,2,2,36,18.00,0,100.0%,18.00,0,0
