ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks
1,1992,1992-09-06,1,23.175,ATL,,NYJ,W 20-17,,,,,,0.0%,,
2,1992,1992-09-13,2,23.182,ATL,@,WAS,L 17-24,,,,,,0.0%,,
3,1992,1992-09-20,3,23.189,ATL,,NOR,L 7-10,,,,,,0.0%,,
4,1992,1992-09-27,4,23.196,ATL,@,CHI,L 31-41,,,,,,0.0%,,
5,1992,1992-10-04,5,23.203,ATL,,GNB,W 24-10,,,,,,0.0%,,
6,1992,1992-10-11,6,23.210,ATL,@,MIA,L 17-21,,,,,,0.0%,,
7,1992,1992-10-18,7,23.217,ATL,@,SFO,L 17-56,,,,,,0.0%,,
8,1992,1992-11-01,8,23.231,ATL,,RAM,W 30-28,,,,,,0.0%,,
9,1992,1992-11-09,9,23.239,ATL,,SFO,L 3-41,,,,,,0.0%,,
10,1992,1992-11-15,10,23.245,ATL,,PHO,W 20-17,,,,,,0.0%,,
11,1992,1992-11-22,11,23.252,ATL,@,BUF,L 14-41,,,,,,0.0%,,
12,1992,1992-11-29,12,23.259,ATL,,NWE,W 34-0,,,,,,0.0%,,
13,1992,1992-12-03,13,23.263,ATL,@,NOR,L 14-22,,,,,,0.0%,,
14,1992,1992-12-13,14,23.273,ATL,@,TAM,W 35-7,,,,,,0.0%,,
15,1992,1992-12-21,15,23.281,ATL,,DAL,L 17-41,,,,,,0.0%,,
16,1992,1992-12-27,16,23.287,ATL,@,RAM,L 27-38,,0,0,,0,0.0%,,1.0
17,1993,1993-09-13,2,24.182,CLE,,SFO,W 23-13,,,,,,0.0%,,
18,1993,1993-09-19,3,24.188,CLE,@,RAI,W 19-16,,,,,,0.0%,,
19,1993,1993-09-26,4,24.195,CLE,@,IND,L 10-23,,,,,,0.0%,,
20,1993,1993-10-10,5,24.209,CLE,,MIA,L 14-24,,,,,,0.0%,,
21,1993,1993-10-17,6,24.216,CLE,@,CIN,W 28-17,,,,,,0.0%,,
22,1993,1993-10-24,7,24.223,CLE,,PIT,W 28-23,,,,,,0.0%,,
23,1993,1993-11-07,8,24.237,CLE,,DEN,L 14-29,,,,,,0.0%,,
24,1993,1993-11-14,9,24.244,CLE,@,SEA,L 5-22,,,,,,0.0%,,
