ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,25.062,SFO,@,PIT,W 24-13,,0,0,,0,0.0%,,,,,,,,,,,
2,1993,1993-09-13,2,25.070,SFO,@,CLE,L 13-23,,0,0,,0,0.0%,,,,,,,,,,,
3,1993,1993-09-19,3,25.076,SFO,,ATL,W 37-30,1,1,6,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,1,6
4,1993,1993-09-26,4,25.083,SFO,@,NOR,L 13-16,,0,0,,0,0.0%,,,,,,,,,,,
5,1993,1993-10-03,5,25.090,SFO,,MIN,W 38-19,,0,0,,0,0.0%,,,,,,,,,,,
6,1993,1993-10-17,6,25.104,SFO,@,DAL,L 17-26,,0,0,,0,0.0%,,,,,,,,,,,
7,1993,1993-10-24,7,25.111,SFO,,PHO,W 28-14,,0,0,,0,0.0%,,,,,,,,,,,
8,1993,1993-10-31,8,25.118,SFO,,RAM,W 40-17,2,0,0,,0,0.0%,0.00,,,,,,,,,,
9,1993,1993-11-14,9,25.132,SFO,@,TAM,W 45-21,1,0,0,,0,0.0%,0.00,,,,,,,,,,
10,1993,1993-11-22,10,25.140,SFO,,NOR,W 42-7,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
11,1993,1993-11-28,11,25.146,SFO,@,RAM,W 35-10,,0,0,,0,0.0%,,,,,,,,,,,
12,1993,1993-12-05,12,25.153,SFO,,CIN,W 21-8,,0,0,,0,0.0%,,,,,,,,,,,
13,1993,1993-12-11,13,25.159,SFO,@,ATL,L 24-27,,0,0,,0,0.0%,,,,,,,,,,,
14,1993,1993-12-19,14,25.167,SFO,@,DET,W 55-17,1,0,0,,0,0.0%,0.00,,,,,,,,,,
15,1993,1993-12-25,15,25.173,SFO,,HOU,L 7-10,,0,0,,0,0.0%,,,,,,,,,,,
