ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,23.004,ATL,@,CHI,W 20-17,,,,,,
2,1983,1983-09-11,2,23.011,ATL,,NYG,L 13-16,,,,,,
3,1983,1983-09-18,3,23.018,ATL,@,DET,W 30-14,,,,,,
4,1983,1983-09-25,4,23.025,ATL,@,SFO,L 20-24,,,,,,
5,1983,1983-10-02,5,23.032,ATL,,PHI,L 24-28,,,,,,
6,1983,1983-10-09,6,23.039,ATL,,NOR,L 17-19,,,,,,
7,1983,1983-10-16,7,23.046,ATL,@,RAM,L 21-27,,,,,,
8,1983,1983-10-23,8,23.053,ATL,@,NYJ,W 27-21,,,,,,
9,1983,1983-10-30,9,23.060,ATL,,NWE,W 24-13,,,,,,
10,1983,1983-11-06,10,23.067,ATL,@,NOR,L 10-27,0,0,1.0,0,0,0
11,1983,1983-11-14,11,23.075,ATL,,RAM,L 13-36,,,,,,
12,1983,1983-11-20,12,23.081,ATL,,SFO,W 28-24,,,,,,
13,1983,1983-11-27,13,23.088,ATL,,GNB,W 47-41,,,,,,
14,1983,1983-12-04,14,23.095,ATL,@,WAS,L 21-37,,,,,,
15,1983,1983-12-10,15,23.101,ATL,@,MIA,L 24-31,,,,,,
16,1983,1983-12-18,16,23.109,ATL,,BUF,W 31-14,0,0,0.5,0,0,0
17,1984,1984-09-02,1,24.002,ATL,@,NOR,W 36-28,,,,,,
18,1984,1984-09-16,3,24.016,ATL,@,MIN,L 20-27,,,,,,
19,1984,1984-09-23,4,24.023,ATL,,HOU,W 42-10,,,,,,
20,1984,1984-09-30,5,24.030,ATL,@,SFO,L 5-14,,,,,,
21,1984,1984-10-07,6,24.037,ATL,@,RAM,W 30-28,,,,,,
22,1984,1984-10-14,7,24.044,ATL,,NYG,L 7-19,,,,,,
23,1984,1984-10-22,8,24.052,ATL,,RAM,L 10-24,,,,,,
24,1985,1985-09-08,1,25.008,ATL,,DET,L 27-28,,,,,,
25,1985,1985-09-15,2,25.015,ATL,@,SFO,L 16-35,,,,,,
26,1985,1985-09-22,3,25.022,ATL,,DEN,L 28-44,1,6,0.0,1,38,1
27,1985,1985-09-29,4,25.029,ATL,@,RAM,L 6-17,,,,,,
28,1985,1985-10-06,5,25.036,ATL,,SFO,L 17-38,,,,,,
29,1985,1985-10-13,6,25.043,ATL,@,SEA,L 26-30,,,,,,
30,1985,1985-10-20,7,25.050,ATL,,NOR,W 31-24,0,0,1.0,0,0,0
31,1985,1985-10-27,8,25.057,ATL,@,DAL,L 10-24,,,,,,
32,1985,1985-11-03,9,25.064,ATL,,WAS,L 10-44,,,,,,
33,1985,1985-11-10,10,25.071,ATL,@,PHI,L 17-23,0,0,0.0,1,4,0
34,1985,1985-11-17,11,25.078,ATL,,RAM,W 30-14,0,0,2.5,0,0,0
35,1985,1985-11-24,12,25.085,ATL,@,CHI,L 0-36,0,0,1.0,0,0,0
36,1985,1985-12-01,13,25.092,ATL,,RAI,L 24-34,,,,,,
37,1985,1985-12-08,14,25.099,ATL,@,KAN,L 10-38,,,,,,
38,1985,1985-12-15,15,25.106,ATL,,MIN,W 14-13,0,0,0.5,0,0,0
39,1985,1985-12-22,16,25.113,ATL,@,NOR,W 16-10,,,,,,
40,1986,1986-09-07,1,26.007,ATL,@,NOR,W 31-10,,,,,,
41,1986,1986-09-14,2,26.014,ATL,,STL,W 33-13,,,,,,
42,1986,1986-09-21,3,26.021,ATL,@,DAL,W 37-35,,,,,,
43,1986,1986-09-28,4,26.028,ATL,@,TAM,W 23-20,,,,,,
44,1986,1986-10-05,5,26.035,ATL,,PHI,L 0-16,,,,,,
45,1986,1986-10-12,6,26.042,ATL,,RAM,W 26-14,,,,,,
46,1986,1986-10-19,7,26.049,ATL,,SFO,T 10-10,,,,,,
47,1986,1986-10-26,8,26.056,ATL,@,RAM,L 7-14,,,,,,
48,1986,1986-11-02,9,26.063,ATL,@,NWE,L 17-25,,,,,,
49,1986,1986-11-09,10,26.070,ATL,,NYJ,L 14-28,,,,,,
50,1986,1986-11-16,11,26.077,ATL,,CHI,L 10-13,,,,,,
51,1986,1986-11-23,12,26.084,ATL,@,SFO,L 0-20,0,0,1.0,0,0,0
52,1986,1986-11-30,13,26.091,ATL,@,MIA,W 20-14,,,,,,
53,1986,1986-12-07,14,26.098,ATL,,IND,L 23-28,0,0,0.0,1,6,0
54,1986,1986-12-14,15,26.105,ATL,,NOR,L 9-14,,,,,,
55,1987,1987-09-13,1,27.013,ATL,@,TAM,L 10-48,,,,,,
56,1987,1987-09-20,2,27.020,ATL,,WAS,W 21-20,,,,,,
57,1987,1987-10-25,6,27.055,ATL,@,HOU,L 33-37,,,,,,
58,1987,1987-11-01,7,27.062,ATL,,NOR,L 0-38,,,,,,
59,1987,1987-11-08,8,27.069,ATL,@,CLE,L 3-38,,,,,,
60,1987,1987-11-15,9,27.076,ATL,,CIN,L 10-16,,,,,,
61,1987,1987-11-22,10,27.083,ATL,@,MIN,L 13-24,,,,,,
62,1987,1987-11-29,11,27.090,ATL,,STL,L 21-34,0,0,1.0,0,0,0
63,1987,1987-12-06,12,27.097,ATL,@,DAL,W 21-10,,,,,,
64,1987,1987-12-13,13,27.104,ATL,@,RAM,L 0-33,,,,,,
65,1987,1987-12-20,14,27.111,ATL,@,SFO,L 7-35,,,,,,
66,1988,1988-09-04,1,28.004,ATL,@,DET,L 17-31,,,,,,
67,1988,1988-09-11,2,28.011,ATL,,NOR,L 21-29,,,,,,
68,1988,1988-09-18,3,28.018,ATL,@,SFO,W 34-17,,,,,,
69,1988,1988-09-25,4,28.025,ATL,@,DAL,L 20-26,,,,,,
70,1988,1988-10-02,5,28.032,ATL,,SEA,L 20-31,,,,,,
71,1988,1988-10-09,6,28.039,ATL,,RAM,L 0-33,,,,,,
72,1988,1988-10-16,7,28.046,ATL,@,DEN,L 14-30,,,,,,
73,1988,1988-10-23,8,28.053,ATL,,NYG,L 16-23,,,,,,
74,1988,1988-10-30,9,28.060,ATL,@,PHI,W 27-24,,,,,,
75,1988,1988-11-06,10,28.067,ATL,,GNB,W 20-0,,,,,,
76,1988,1988-11-13,11,28.074,ATL,,SDG,L 7-10,,,,,,
77,1988,1988-11-20,12,28.081,ATL,@,RAI,W 12-6,0,0,1.0,0,0,0
78,1988,1988-11-27,13,28.088,ATL,,TAM,W 17-10,0,0,1.0,0,0,0
79,1988,1988-12-04,14,28.095,ATL,,SFO,L 3-13,,,,,,
80,1988,1988-12-11,15,28.102,ATL,@,RAM,L 7-22,,,,,,
81,1989,1989-09-10,1,29.010,ATL,,RAM,L 21-31,,,,,,
82,1989,1989-09-17,2,29.017,ATL,,DAL,W 27-21,,,,,,
83,1989,1989-09-24,3,29.024,ATL,@,IND,L 9-13,,,,,,
84,1989,1989-10-01,4,29.031,ATL,@,GNB,L 21-23,,,,,,
85,1989,1989-10-15,6,29.045,ATL,,NWE,W 16-15,,,,,,
86,1989,1989-10-22,7,29.052,ATL,@,PHO,L 20-34,,,,,,
87,1989,1989-10-29,8,29.059,ATL,@,NOR,L 13-20,,,,,,
88,1989,1989-11-05,9,29.066,ATL,,BUF,W 30-28,,,,,,
89,1989,1989-11-12,10,29.073,ATL,@,SFO,L 3-45,,,,,,
90,1989,1989-11-19,11,29.080,ATL,,NOR,L 17-26,,,,,,
91,1989,1989-11-26,12,29.087,ATL,@,NYJ,L 7-27,,,,,,
92,1989,1989-12-03,13,29.094,ATL,,SFO,L 10-23,,,,,,
93,1989,1989-12-10,14,29.101,ATL,@,MIN,L 17-43,,,,,,
94,1989,1989-12-17,15,29.108,ATL,,WAS,L 30-31,,,,,,
95,1989,1989-12-24,16,29.115,ATL,,DET,L 24-31,,,,,,
96,1990,1990-09-09,1,30.009,ATL,,HOU,W 47-27,,,,,,
97,1990,1990-09-16,2,30.016,ATL,@,DET,L 14-21,,,,,,
98,1990,1990-09-23,3,30.023,ATL,@,SFO,L 13-19,,,,,,
99,1990,1990-10-07,4,30.037,ATL,,NOR,W 28-27,,,,,,
100,1990,1990-10-14,5,30.044,ATL,,SFO,L 35-45,,,,,,
101,1990,1990-10-21,6,30.051,ATL,@,RAM,L 24-44,,,,,,
102,1990,1990-10-28,7,30.058,ATL,,CIN,W 38-17,,,,,,
