ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2010,2010-09-12,1,21.151,CLE,@,TAM,L 14-17,*,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
2,2010,2010-09-19,2,21.158,CLE,,KAN,L 14-16,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
3,2010,2010-09-26,3,21.165,CLE,@,BAL,L 17-24,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
4,2010,2010-10-03,4,21.172,CLE,,CIN,W 23-20,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
5,2010,2010-10-10,5,21.179,CLE,,ATL,L 10-20,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
6,2010,2010-10-17,6,21.186,CLE,@,PIT,L 10-28,,2,45,22.50,0,0,0,,0,0,0,0.0,2,0,1,62,0
7,2010,2010-10-24,7,21.193,CLE,@,NOR,W 30-17,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
8,2010,2010-11-07,8,21.207,CLE,,NWE,W 34-14,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
9,2010,2010-11-14,9,21.214,CLE,,NYJ,L 20-26,,2,51,25.50,0,0,0,,0,0,0,0.0,6,0,1,0,0
10,2010,2010-11-21,10,21.221,CLE,@,JAX,L 20-24,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,27,0
11,2010,2010-11-28,11,21.228,CLE,,CAR,W 24-23,*,0,0,,0,0,0,,0,0,0,0.0,2,1,1,12,0
12,2010,2010-12-05,12,21.235,CLE,@,MIA,W 13-10,*,0,0,,0,0,0,,0,0,0,0.0,4,1,1,0,0
13,2010,2010-12-12,13,21.242,CLE,@,BUF,L 6-13,*,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
14,2010,2010-12-19,14,21.249,CLE,@,CIN,L 17-19,*,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
15,2010,2010-12-26,15,21.256,CLE,,BAL,L 10-20,*,0,0,,0,0,0,,0,0,0,1.0,5,0,1,0,0
16,2010,2011-01-02,16,21.263,CLE,,PIT,L 9-41,*,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
17,2011,2011-09-11,1,22.150,CLE,,CIN,L 17-27,*,0,0,,0,0,0,,0,0,0,1.0,1,2,0,0,0
18,2011,2011-09-18,2,22.157,CLE,@,IND,W 27-19,*,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
19,2011,2011-09-25,3,22.164,CLE,,MIA,W 17-16,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
20,2011,2011-10-02,4,22.171,CLE,,TEN,L 13-31,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
21,2011,2011-10-23,6,22.192,CLE,,SEA,W 6-3,*,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
22,2011,2011-10-30,7,22.199,CLE,@,SFO,L 10-20,*,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
23,2011,2011-11-06,8,22.206,CLE,@,HOU,L 12-30,*,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
24,2011,2011-11-13,9,22.213,CLE,,STL,L 12-13,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
25,2011,2011-11-20,10,22.220,CLE,,JAX,W 14-10,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
26,2011,2011-11-27,11,22.227,CLE,@,CIN,L 20-23,*,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
27,2011,2011-12-04,12,22.234,CLE,,BAL,L 10-24,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
28,2011,2011-12-08,13,22.238,CLE,@,PIT,L 3-14,*,0,0,,0,0,0,,0,0,0,0.0,5,3,0,0,0
29,2011,2011-12-18,14,22.248,CLE,@,ARI,L 17-20,*,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
30,2011,2011-12-24,15,22.254,CLE,@,BAL,L 14-20,*,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
31,2011,2012-01-01,16,22.262,CLE,,PIT,L 9-13,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
32,2012,2012-09-09,1,23.148,CLE,,PHI,L 16-17,*,0,0,,0,0,0,,0,0,0,0.0,5,1,1,50,0
33,2012,2012-10-14,6,23.183,CLE,,CIN,W 34-24,*,0,0,,0,0,0,,0,0,0,0.0,6,1,1,14,0
34,2012,2012-10-21,7,23.190,CLE,@,IND,L 13-17,*,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
35,2012,2012-10-28,8,23.197,CLE,,SDG,W 7-6,*,0,0,,0,0,0,,0,0,0,0.0,5,3,0,0,0
36,2012,2012-11-04,9,23.204,CLE,,BAL,L 15-25,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
37,2012,2012-11-25,11,23.225,CLE,,PIT,W 20-14,*,0,0,,0,0,0,,0,0,0,0.0,2,1,1,0,0
38,2012,2012-12-02,12,23.232,CLE,@,OAK,W 20-17,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
39,2012,2012-12-09,13,23.239,CLE,,KAN,W 30-7,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
40,2012,2012-12-16,14,23.246,CLE,,WAS,L 21-38,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
41,2012,2012-12-23,15,23.253,CLE,@,DEN,L 12-34,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
42,2012,2012-12-30,16,23.260,CLE,@,PIT,L 10-24,*,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
43,2013,2013-09-08,1,24.147,CLE,,MIA,L 10-23,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
44,2013,2013-09-15,2,24.154,CLE,@,BAL,L 6-14,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
45,2013,2013-09-22,3,24.161,CLE,@,MIN,W 31-27,*,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
46,2013,2013-09-29,4,24.168,CLE,,CIN,W 17-6,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
47,2013,2013-10-03,5,24.172,CLE,,BUF,W 37-24,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
48,2013,2013-10-13,6,24.182,CLE,,DET,L 17-31,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
49,2013,2013-10-20,7,24.189,CLE,@,GNB,L 13-31,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
50,2013,2013-10-27,8,24.196,CLE,@,KAN,L 17-23,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
51,2013,2013-11-03,9,24.203,CLE,,BAL,W 24-18,*,0,0,,0,0,0,,0,0,0,0.0,3,3,1,0,0
52,2013,2013-11-17,10,24.217,CLE,@,CIN,L 20-41,*,0,0,,0,0,0,,0,0,6,0.0,0,2,2,44,1
53,2013,2013-11-24,11,24.224,CLE,,PIT,L 11-27,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
54,2013,2013-12-01,12,24.231,CLE,,JAX,L 28-32,*,0,0,,0,0,0,,0,0,0,0.0,3,0,1,13,0
55,2013,2013-12-08,13,24.238,CLE,@,NWE,L 26-27,*,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
56,2013,2013-12-15,14,24.245,CLE,,CHI,L 31-38,*,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
57,2013,2013-12-22,15,24.252,CLE,@,NYJ,L 13-24,*,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
58,2014,2014-09-07,1,25.146,CLE,@,PIT,L 27-30,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
