ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1991,1991-10-27,8,22.344,TAM,,GNB,L 0-27,,,,,
2,1991,1991-11-03,9,22.351,TAM,@,MIN,L 13-28,,,,,
3,1991,1991-11-10,10,22.358,TAM,,DET,W 30-21,,,,,
4,1991,1991-11-17,11,23.000,TAM,@,ATL,L 7-43,,,,,
5,1991,1991-11-24,12,23.007,TAM,,NYG,L 14-21,,,,,
6,1991,1991-12-01,13,23.014,TAM,@,MIA,L 14-33,,,,,
7,1991,1991-12-08,14,23.021,TAM,,MIN,L 24-26,,,,,
8,1991,1991-12-14,15,23.027,TAM,@,CHI,L 0-27,,,,,
9,1991,1991-12-22,16,23.035,TAM,,IND,W 17-3,0,0,,0,1.0
10,1992,1992-09-06,1,23.294,TAM,,PHO,W 23-7,0,0,,0,
11,1992,1992-09-13,2,23.301,TAM,,GNB,W 31-3,0,0,,0,1.0
12,1992,1992-09-20,3,23.308,TAM,@,MIN,L 20-26,0,0,,0,
13,1992,1992-09-27,4,23.315,TAM,@,DET,W 27-23,0,0,,0,
14,1992,1992-10-04,5,23.322,TAM,,IND,L 14-24,0,0,,0,
15,1992,1992-10-18,6,23.336,TAM,@,CHI,L 14-31,0,0,,0,
16,1992,1992-10-25,7,23.343,TAM,,DET,L 7-38,0,0,,0,
17,1992,1992-11-01,8,23.350,TAM,@,NOR,L 21-23,1,9,9.00,0,0.0
18,1992,1992-11-15,10,23.364,TAM,,CHI,W 20-17,0,0,,0,
19,1992,1992-11-22,11,24.005,TAM,@,SDG,L 14-29,0,0,,0,
20,1992,1992-11-29,12,24.012,TAM,@,GNB,L 14-19,0,0,,0,
21,1992,1992-12-13,14,24.026,TAM,,ATL,L 7-35,0,0,,0,
22,1992,1992-12-19,15,24.032,TAM,@,SFO,L 14-21,0,0,,0,
