ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2004,2004-12-26,15,23.242,ATL,@,NOR,L 13-26,,,,
2,2004,2005-01-02,16,23.249,ATL,@,SEA,L 26-28,,,,
3,2005,2005-09-18,2,24.143,ATL,@,SEA,L 18-21,,,,
4,2005,2005-09-25,3,24.150,ATL,@,BUF,W 24-16,*,,,
5,2005,2005-10-02,4,24.157,ATL,,MIN,W 30-10,,,,
6,2005,2005-11-24,11,24.210,ATL,@,DET,W 27-7,,,,
7,2005,2006-01-01,16,24.248,WAS,@,PHI,W 31-20,,,,
8,2006,2006-10-22,7,25.177,CAR,@,CIN,L 14-17,,,,
9,2006,2006-10-29,8,25.184,CAR,,DAL,L 14-35,,,,
10,2006,2006-11-13,9,25.199,CAR,,TAM,W 24-10,,,,
11,2006,2006-11-19,10,25.205,CAR,,STL,W 15-0,,1,8,0
12,2006,2006-11-26,11,25.212,CAR,@,WAS,L 13-17,*,,,
13,2006,2006-12-04,12,25.220,CAR,@,PHI,L 24-27,,,,
14,2006,2006-12-10,13,25.226,CAR,,NYG,L 13-27,*,,,
