ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2009,2009-09-13,1,24.238,JAX,@,IND,L 12-14,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
2,2009,2009-09-20,2,24.245,JAX,,ARI,L 17-31,,6,2,8,4.00,0,33.3%,1.33,1,11,11.00,0,0,0
3,2009,2009-11-22,10,24.308,JAX,,BUF,W 18-15,,,,,,,0.0%,,,,,,,
4,2009,2009-12-06,12,24.322,JAX,,HOU,W 23-18,,1,1,35,35.00,1,100.0%,35.00,0,0,,0,1,6
5,2009,2009-12-13,13,24.329,JAX,,MIA,L 10-14,,2,,,,,0.0%,,,,,,,
6,2009,2009-12-17,14,24.333,JAX,,IND,L 31-35,,,,,,,0.0%,,,,,,,
7,2009,2009-12-27,15,24.343,JAX,@,NWE,L 7-35,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0
8,2009,2010-01-03,16,24.350,JAX,@,CLE,L 17-23,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0
