ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-10-02,2,29.133,CRD,,BAL,W 55-13,8,165,20.63,5
2,1950,1950-10-08,3,29.139,CRD,@,CHI,L 6-27,1,21,21.00,1
3,1950,1950-10-15,4,29.146,CRD,@,CLE,L 24-34,3,92,30.67,1
4,1950,1950-10-22,5,29.153,CRD,@,WAS,W 38-28,6,116,19.33,1
5,1950,1950-10-29,6,29.160,CRD,,NYG,W 17-3,4,78,19.50,1
6,1950,1950-11-05,7,29.167,CRD,,CLE,L 7-10,5,111,22.20,0
7,1950,1950-11-12,8,29.174,CRD,@,NYG,L 21-51,4,55,13.75,1
8,1950,1950-11-19,9,29.181,CRD,@,PHI,W 14-10,5,87,17.40,0
9,1950,1950-11-23,10,29.185,CRD,,PIT,L 17-28,2,49,24.50,1
10,1950,1950-12-03,11,29.195,CRD,,CHI,W 20-10,3,69,23.00,0
11,1950,1950-12-10,12,29.202,CRD,@,PIT,L 7-28,7,128,18.29,1
