ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2017,2017-09-24,3,23.130,CAR,,NOR,L 13-34,,0,0,,0,0,0
2,2017,2017-10-01,4,23.137,CAR,@,NWE,W 33-30,,0,0,,0,0,0
3,2017,2017-10-08,5,23.144,CAR,@,DET,W 27-24,,0,0,,0,0,0
4,2017,2017-10-12,6,23.148,CAR,,PHI,L 23-28,,0,0,,0,0,0
5,2017,2017-10-22,7,23.158,CAR,@,CHI,L 3-17,,0,0,,0,0,0
6,2017,2017-11-05,9,23.172,CAR,,ATL,W 20-17,,0,0,,0,0,0
7,2017,2017-11-13,10,23.180,CAR,,MIA,W 45-21,,0,0,,0,0,0
8,2017,2017-12-03,12,23.200,CAR,@,NOR,L 21-31,,0,0,,0,0,0
9,2017,2017-12-31,16,23.228,CAR,@,ATL,L 10-22,,0,0,,0,0,0
10,2018,2018-09-09,1,24.115,CAR,,DAL,W 16-8,,1,1,1.00,1,1,6
11,2018,2018-09-16,2,24.122,CAR,@,ATL,L 24-31,,1,4,4.00,0,0,0
12,2018,2018-09-23,3,24.129,CAR,,CIN,W 31-21,,1,1,1.00,0,0,0
