ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.124,DAL,@,PIT,W 37-7,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0,0
2,1997,1997-09-07,2,23.131,DAL,@,ARI,L 22-25,,,,,,0,0,,0,,,,,,
3,1997,1997-09-15,3,23.139,DAL,,PHI,W 21-20,,,,,,0,0,,0,,,,,,
4,1997,1997-09-28,4,23.152,DAL,,CHI,W 27-3,,,,,,0,0,,0,,,,,,
5,1997,1997-10-05,5,23.159,DAL,@,NYG,L 17-20,,,,,,0,-4,,0,,,,,,
6,1997,1997-10-13,6,23.167,DAL,@,WAS,L 16-21,,,,,,0,0,,0,,,,,,
7,1997,1997-10-19,7,23.173,DAL,,JAX,W 26-22,,,,,,0,0,,0,,,,,,
8,1997,1997-10-26,8,23.180,DAL,@,PHI,L 12-13,,,,,,0,0,,0,,,,,,
9,1997,1997-11-02,9,23.187,DAL,@,SFO,L 10-17,,,,,,0,0,,0,,,,,,
10,1997,1997-11-09,10,23.194,DAL,,ARI,W 24-6,,,,,,0,0,,0,,,,,,
11,1997,1997-11-16,11,23.201,DAL,,WAS,W 17-14,,,,,,0,0,,0,,,,,,
12,1997,1997-11-23,12,23.208,DAL,@,GNB,L 17-45,,,,,,0,0,,0,,,,,,
13,1997,1997-11-27,13,23.212,DAL,,TEN,L 14-27,,0,0,,0,3,11,3.67,0,0,0,0.0,0,0,0
14,1997,1997-12-08,14,23.223,DAL,,CAR,L 13-23,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
15,1997,1997-12-14,15,23.229,DAL,@,CIN,L 24-31,,,,,,0,0,,0,,,,,,
16,1997,1997-12-21,16,23.236,DAL,,NYG,L 7-20,,0,0,,0,6,75,12.50,0,0,0,0.0,0,0,0
17,1998,1998-09-06,1,24.130,DAL,,ARI,W 38-10,,1,38,38.00,0,0,0,,0,0,0,0.0,0,0,0
18,1998,1998-09-13,2,24.137,DAL,@,DEN,L 23-42,,5,146,29.20,0,0,0,,0,0,0,0.0,0,0,0
19,1998,1998-09-21,3,24.145,DAL,@,NYG,W 31-7,,1,16,16.00,0,1,-2,-2.00,0,0,0,0.0,1,0,0
20,1998,1998-09-27,4,24.151,DAL,,OAK,L 12-13,,4,94,23.50,0,0,0,,0,0,0,0.0,0,0,0
21,1998,1998-10-04,5,24.158,DAL,@,WAS,W 31-10,,3,56,18.67,0,0,0,,0,0,0,0.0,0,0,0
22,1998,1998-10-11,6,24.165,DAL,,CAR,W 27-20,,4,78,19.50,0,0,0,,0,0,0,0.0,0,0,0
23,1998,1998-10-18,7,24.172,DAL,@,CHI,L 12-13,,3,64,21.33,0,0,0,,0,0,0,1.0,0,0,0
24,1998,1998-11-02,8,24.187,DAL,@,PHI,W 34-0,,1,28,28.00,0,1,5,5.00,0,0,0,0.0,0,0,0
