ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,22.127,ATL,@,DET,L 17-31,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
2,1988,1988-09-11,2,22.134,ATL,,NOR,L 21-29,,,,,,,,,,,,,,,,,
3,1988,1988-09-18,3,22.141,ATL,@,SFO,W 34-17,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
4,1988,1988-09-25,4,22.148,ATL,@,DAL,L 20-26,,,,,,,,,,,,,,,,,
5,1988,1988-10-02,5,22.155,ATL,,SEA,L 20-31,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
6,1988,1988-10-09,6,22.162,ATL,,RAM,L 0-33,,,,,,,,,,,,,,,,,
7,1988,1988-10-16,7,22.169,ATL,@,DEN,L 14-30,,,,,,,,,,,,,,,,,
8,1988,1988-10-23,8,22.176,ATL,,NYG,L 16-23,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
9,1988,1988-10-30,9,22.183,ATL,@,PHI,W 27-24,,,,,,,,,,,,,,,,,
10,1988,1988-11-06,10,22.190,ATL,,GNB,W 20-0,,,,,,,,,,,,,,,,,
11,1988,1988-11-13,11,22.197,ATL,,SDG,L 7-10,,,,,,,,,,,,,,,,,
12,1988,1988-11-20,12,22.204,ATL,@,RAI,W 12-6,,0,0,,0,,,0,0,,0,0,0,2.0,1,0,0
13,1988,1988-11-27,13,22.211,ATL,,TAM,W 17-10,,0,0,,0,,,0,0,,0,0,0,0.0,1,10,0
14,1988,1988-12-04,14,22.218,ATL,,SFO,L 3-13,,,,,,,,,,,,,,,,,
15,1988,1988-12-11,15,22.225,ATL,@,RAM,L 7-22,,,,,,,,,,,,,,,,,
16,1988,1988-12-18,16,22.232,ATL,@,NOR,L 9-10,,,,,,,,,,,,,,,,,
17,1989,1989-09-10,1,23.133,ATL,,RAM,L 21-31,,,,,,,,0,0,,0,,,,,,
18,1989,1989-09-17,2,23.140,ATL,,DAL,W 27-21,,,,,,,,0,0,,0,,,,,,
19,1989,1989-09-24,3,23.147,ATL,@,IND,L 9-13,,,,,,,,0,0,,0,,,,,,
20,1989,1989-10-01,4,23.154,ATL,@,GNB,L 21-23,,,,,,,,0,0,,0,,,,,,
21,1989,1989-10-08,5,23.161,ATL,@,RAM,L 14-26,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
22,1989,1989-10-15,6,23.168,ATL,,NWE,W 16-15,,0,0,,0,,,0,0,,0,0,0,2.0,0,0,0
23,1989,1989-10-22,7,23.175,ATL,@,PHO,L 20-34,,,,,,,,0,0,,0,,,,,,
24,1989,1989-10-29,8,23.182,ATL,@,NOR,L 13-20,,,,,,,,0,0,,0,,,,,,
25,1989,1989-11-05,9,23.189,ATL,,BUF,W 30-28,,,,,,,,0,0,,0,,,,,,
26,1989,1989-11-12,10,23.196,ATL,@,SFO,L 3-45,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
27,1989,1989-11-19,11,23.203,ATL,,NOR,L 17-26,,,,,,,,0,0,,0,,,,,,
28,1989,1989-11-26,12,23.210,ATL,@,NYJ,L 7-27,,,,,,,,0,0,,0,,,,,,
29,1989,1989-12-03,13,23.217,ATL,,SFO,L 10-23,,0,0,,0,,,1,15,15.00,0,0,0,1.0,0,0,0
30,1989,1989-12-10,14,23.224,ATL,@,MIN,L 17-43,,0,0,,0,,,0,0,,0,0,0,1.0,1,0,0
31,1989,1989-12-17,15,23.231,ATL,,WAS,L 30-31,,,,,,,,0,0,,0,,,,,,
32,1989,1989-12-24,16,23.238,ATL,,DET,L 24-31,,,,,,,,0,0,,0,,,,,,
33,1990,1990-09-09,1,24.132,ATL,,HOU,W 47-27,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
34,1990,1990-09-16,2,24.139,ATL,@,DET,L 14-21,,,,,,,,,,,,,,,,,
35,1990,1990-09-23,3,24.146,ATL,@,SFO,L 13-19,,,,,,,,,,,,,,,,,
36,1990,1990-10-07,4,24.160,ATL,,NOR,W 28-27,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
37,1990,1990-10-14,5,24.167,ATL,,SFO,L 35-45,,,,,,,,,,,,,,,,,
38,1990,1990-10-21,6,24.174,ATL,@,RAM,L 24-44,,,,,,,,,,,,,,,,,
39,1990,1990-10-28,7,24.181,ATL,,CIN,W 38-17,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
40,1990,1990-11-04,8,24.188,ATL,@,PIT,L 9-21,,,,,,,,,,,,,,,,,
41,1990,1990-11-11,9,24.195,ATL,@,CHI,L 24-30,,,,,,,,,,,,,,,,,
42,1990,1990-11-18,10,24.202,ATL,,PHI,L 23-24,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
43,1990,1990-11-25,11,24.209,ATL,@,NOR,L 7-10,,,,,,,,,,,,,,,,,
44,1990,1990-12-02,12,24.216,ATL,@,TAM,L 17-23,,,,,,,,,,,,,,,,,
45,1990,1990-12-09,13,24.223,ATL,,PHO,L 13-24,,,,,,,,,,,,,,,,,
46,1990,1990-12-16,14,24.230,ATL,@,CLE,L 10-13,,,,,,,,,,,,,,,,,
47,1990,1990-12-23,15,24.237,ATL,,RAM,W 20-13,,,,,,,,,,,,,,,,,
48,1990,1990-12-30,16,24.244,ATL,,DAL,W 26-7,,,,,,,,,,,,,,,,,
49,1991,1991-09-15,3,25.138,ATL,@,SDG,W 13-10,,0,0,,0,,,,,,,,,,,,
50,1991,1991-09-22,4,25.145,ATL,,RAI,W 21-17,,0,0,,0,,,,,,,,,,,,
51,1991,1991-09-29,5,25.152,ATL,,NOR,L 6-27,,0,0,,0,,,,,,,,,,,,
52,1991,1991-10-13,6,25.166,ATL,@,SFO,W 39-34,,0,0,,0,,,,,,,,,,,,
53,1991,1991-10-20,7,25.173,ATL,@,PHO,L 10-16,,0,0,,0,,,,,,,,,,,,
54,1991,1991-10-27,8,25.180,ATL,,RAM,W 31-14,,0,0,,0,,,,,,,,,,,,
55,1991,1991-11-03,9,25.187,ATL,,SFO,W 17-14,,0,0,,0,,,,,,,,,,,,
56,1991,1991-11-10,10,25.194,ATL,@,WAS,L 17-56,,0,0,,0,,,,,,,,,,,,
57,1991,1991-11-17,11,25.201,ATL,,TAM,W 43-7,,0,0,,0,,,,,,,,,,,,
58,1991,1991-11-24,12,25.208,ATL,@,NOR,W 23-20,,0,0,,0,,,,,,,,,,,,
59,1991,1991-12-01,13,25.215,ATL,,GNB,W 35-31,,1,11,11.00,0,,,0,0,,0,0,0,0.0,0,0,0
60,1991,1991-12-08,14,25.222,ATL,@,RAM,W 31-14,,0,0,,0,,,,,,,,,,,,
61,1991,1991-12-15,15,25.229,ATL,,SEA,W 26-13,,0,0,,0,,,,,,,,,,,,
62,1991,1991-12-22,16,25.236,ATL,@,DAL,L 27-31,,0,0,,0,,,,,,,,,,,,
63,1992,1992-09-06,1,26.129,RAI,@,DEN,L 13-17,,,,,,0.0%,,,,,,,,,,,
