ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-12,1,23.077,DEN,,OAK,L 20-23,*,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0
2,2011,2011-09-18,2,23.083,DEN,,CIN,W 24-22,,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
3,2011,2011-10-30,7,23.125,DEN,,DET,L 10-45,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
4,2011,2011-11-06,8,23.132,DEN,@,OAK,W 38-24,,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
5,2011,2011-11-13,9,23.139,DEN,@,KAN,W 17-10,,,,,,,0.0%,,,,,,
6,2012,2012-09-09,1,24.074,DEN,,PIT,W 31-19,,,,,,,0.0%,,,,,,
7,2012,2012-09-17,2,24.082,DEN,@,ATL,L 21-27,,,,,,,0.0%,,,,,,
8,2012,2012-09-23,3,24.088,DEN,,HOU,L 25-31,,,,,,,0.0%,,,,,,
9,2012,2012-09-30,4,24.095,DEN,,OAK,W 37-6,,,,,,,0.0%,,,,,,
10,2013,2013-09-05,1,25.070,DEN,,BAL,W 49-27,*,7,5,110,22.00,2,71.4%,15.71,2,12,0.0,0,0
11,2013,2013-09-15,2,25.080,DEN,@,NYG,W 41-23,*,9,6,47,7.83,1,66.7%,5.22,1,6,0.0,0,0
12,2013,2013-09-23,3,25.088,DEN,,OAK,W 37-21,*,4,3,37,12.33,1,75.0%,9.25,1,6,0.0,0,0
13,2013,2013-09-29,4,25.094,DEN,,PHI,W 52-20,*,4,4,43,10.75,0,100.0%,10.75,0,0,0.0,0,0
14,2013,2013-10-06,5,25.101,DEN,@,DAL,W 51-48,*,12,9,122,13.56,2,75.0%,10.17,2,12,0.0,0,0
15,2013,2013-10-13,6,25.108,DEN,,JAX,W 35-19,*,7,4,22,5.50,1,57.1%,3.14,1,6,0.0,0,0
16,2013,2013-10-20,7,25.115,DEN,@,IND,L 33-39,*,6,5,41,8.20,1,83.3%,6.83,1,6,0.0,0,0
17,2013,2013-10-27,8,25.122,DEN,,WAS,W 45-21,*,3,3,29,9.67,0,100.0%,9.67,0,0,0.0,0,0
18,2013,2013-11-10,9,25.136,DEN,@,SDG,W 28-20,*,5,3,96,32.00,1,60.0%,19.20,1,6,0.0,0,0
19,2013,2013-11-17,10,25.143,DEN,,KAN,W 27-17,*,5,3,43,14.33,1,60.0%,8.60,1,6,0.0,0,0
20,2013,2013-12-08,13,25.164,DEN,,TEN,W 51-28,*,7,5,35,7.00,1,71.4%,5.00,1,6,0.0,0,0
21,2013,2013-12-12,14,25.168,DEN,,SDG,L 20-27,*,8,4,49,12.25,0,50.0%,6.13,0,0,0.0,0,0
22,2013,2013-12-22,15,25.178,DEN,@,HOU,W 37-13,*,8,6,78,13.00,1,75.0%,9.75,1,6,0.0,0,0
23,2013,2013-12-29,16,25.185,DEN,@,OAK,W 34-14,*,5,5,36,7.20,0,100.0%,7.20,0,0,0.0,0,0
24,2014,2014-09-07,1,26.072,DEN,,IND,W 31-24,*,8,7,104,14.86,3,87.5%,13.00,3,18,0.0,0,0
25,2014,2014-09-14,2,26.079,DEN,,KAN,W 24-17,*,5,4,39,9.75,1,80.0%,7.80,1,6,0.0,0,0
26,2014,2014-09-21,3,26.086,DEN,@,SEA,L 20-26,*,4,3,17,5.67,1,75.0%,4.25,1,6,0.0,0,0
27,2014,2014-10-05,4,26.100,DEN,,ARI,W 41-20,*,7,6,66,11.00,2,85.7%,9.43,2,12,0.0,0,0
28,2014,2014-10-12,5,26.107,DEN,@,NYJ,W 31-17,*,6,4,51,12.75,2,66.7%,8.50,2,12,0.0,0,0
29,2014,2014-10-19,6,26.114,DEN,,SFO,W 42-17,*,6,4,27,6.75,0,66.7%,4.50,0,0,0.0,0,0
30,2014,2014-10-23,7,26.118,DEN,,SDG,W 35-21,*,6,2,23,11.50,0,33.3%,3.83,0,0,0.0,0,0
31,2014,2014-11-02,8,26.128,DEN,@,NWE,L 21-43,*,2,2,33,16.50,1,100.0%,16.50,1,6,0.0,1,0
32,2014,2014-11-09,9,26.135,DEN,@,OAK,W 41-17,*,7,6,63,10.50,2,85.7%,9.00,2,12,0.0,1,0
33,2014,2014-11-16,10,26.142,DEN,@,STL,L 7-22,*,3,2,3,1.50,0,66.7%,1.00,0,0,0.0,0,0
34,2014,2014-12-14,14,26.170,DEN,@,SDG,W 22-10,,2,1,30,30.00,0,50.0%,15.00,0,0,0.0,0,0
