ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1982,1982-09-12,1,23.091,BAL,,NWE,L 13-24,,,,
2,1982,1982-09-19,2,23.098,BAL,@,MIA,L 20-24,,,,
3,1982,1982-11-21,3,23.161,BAL,@,NYJ,L 0-37,,,,
4,1982,1982-11-28,4,23.168,BAL,@,BUF,L 0-20,,,,
5,1982,1982-12-05,5,23.175,BAL,,CIN,L 17-20,,,,
6,1982,1982-12-12,6,23.182,BAL,@,MIN,L 10-13,,,,
7,1982,1982-12-19,7,23.189,BAL,,GNB,T 20-20,,,,
8,1982,1982-12-26,8,23.196,BAL,@,SDG,L 26-44,,,,
9,1982,1983-01-02,9,23.203,BAL,,MIA,L 7-34,,,,
10,1983,1983-09-04,1,24.083,BAL,@,NWE,W 29-23,,,,
11,1983,1983-09-11,2,24.090,BAL,,DEN,L 10-17,,,,
12,1983,1983-09-18,3,24.097,BAL,@,BUF,L 23-28,,,,
13,1983,1983-09-25,4,24.104,BAL,,CHI,W 22-19,,,,
14,1983,1983-10-02,5,24.111,BAL,@,CIN,W 34-31,,,,
15,1983,1983-10-09,6,24.118,BAL,,NWE,W 12-7,,,,
16,1983,1983-10-16,7,24.125,BAL,,BUF,L 7-30,,,,
17,1983,1983-10-23,8,24.132,BAL,,MIA,L 7-21,,,,
18,1983,1983-10-30,9,24.139,BAL,@,PHI,W 22-21,,,,
19,1983,1983-11-06,10,24.146,BAL,@,NYJ,W 17-14,,,,
20,1983,1983-11-13,11,24.153,BAL,,PIT,L 13-24,,,,
21,1983,1983-11-20,12,24.160,BAL,@,MIA,L 0-37,,,,
22,1983,1983-11-27,13,24.167,BAL,@,CLE,L 23-41,,,,
23,1983,1983-12-04,14,24.174,BAL,,NYJ,L 6-10,,,,
24,1983,1983-12-11,15,24.181,BAL,@,DEN,L 19-21,,,,
25,1983,1983-12-18,16,24.188,BAL,,HOU,W 20-10,,,,
26,1984,1984-09-02,1,25.081,IND,,NYJ,L 14-23,,,,
27,1984,1984-09-09,2,25.088,IND,@,HOU,W 35-21,,,,
