ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1970,1970-09-20,1,23.158,BUF,,DEN,L 10-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,59,29.50,0,5,20,4.00,0,0,0
2,1970,1970-11-22,10,23.221,BUF,@,CHI,L 13-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1970,1970-11-29,11,23.228,BUF,,BOS,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,5,44,8.80,0,0,0
4,1970,1970-12-06,12,23.235,BUF,@,NYG,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,33,11.00,0,2,-7,-3.50,0,0,0
5,1970,1970-12-13,13,23.242,BUF,,BAL,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,29,14.50,0,5,38,7.60,0,0,0
6,1970,1970-12-20,14,23.249,BUF,@,MIA,L 7-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0
7,1971,1971-09-19,1,24.157,BUF,,DAL,L 37-49,1,26,26.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
8,1971,1971-09-26,2,24.164,BUF,,MIA,L 14-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1971,1971-10-03,3,24.171,BUF,@,MIN,L 0-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1971,1971-10-10,4,24.178,BUF,,BAL,L 0-43,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,3,25,8.33,0,0,0
11,1971,1971-10-17,5,24.185,BUF,@,NYJ,L 17-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1971,1971-10-23,6,24.191,BUF,@,SDG,L 3-20,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
13,1971,1971-10-31,7,24.199,BUF,,STL,L 23-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1971,1971-11-07,8,24.206,BUF,@,MIA,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0,,0,0,0
15,1971,1971-11-14,9,24.213,BUF,@,NWE,L 33-38,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,94,31.33,0,6,98,16.33,1,1,6
16,1971,1971-11-21,10,24.220,BUF,,NYJ,L 7-20,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0
17,1971,1971-11-28,11,24.227,BUF,,NWE,W 27-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1971,1971-12-05,12,24.234,BUF,@,BAL,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,2,9,4.50,0,0,0
19,1971,1971-12-12,13,24.241,BUF,,HOU,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,6,6.00,0,0,0
20,1971,1971-12-19,14,24.248,BUF,@,KAN,L 9-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,1,-7,-7.00,0,0,0
21,1973,1973-09-16,1,26.154,CHI,,DAL,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,3,64,21.33,1,1,6
22,1973,1973-09-23,2,26.161,CHI,,MIN,L 13-22,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,4,12,3.00,0,0,0
23,1973,1973-09-30,3,26.168,CHI,@,DEN,W 33-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,0.67,0,0,0
24,1973,1973-10-07,4,26.175,CHI,@,NOR,L 16-21,0,0,,0,1,-5,-5.00,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,2,33,16.50,0,4,8,2.00,0,0,0
25,1973,1973-10-14,5,26.182,CHI,@,ATL,L 6-46,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,1,-2,-2.00,0,0,0
26,1973,1973-10-21,6,26.189,CHI,,NWE,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,4,18,4.50,0,0,0
27,1973,1973-10-28,7,26.196,CHI,,HOU,W 35-14,0,0,,0,1,-14,-14.00,0,0,0,,0,0,0,,0,0,,,2,95,47.50,1,3,13,4.33,0,1,6
28,1973,1973-11-04,8,26.203,CHI,@,GNB,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,89,14.83,0,0,0
29,1973,1973-11-12,9,26.211,CHI,@,KAN,L 7-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,1,0,0.00,0,0,0
30,1973,1973-11-18,10,26.217,CHI,,DET,L 7-30,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,-4,-1.33,0,0,0
31,1973,1973-11-25,11,26.224,CHI,@,MIN,L 13-31,4,41,10.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,2,2,1.00,0,0,0
32,1973,1973-12-02,12,26.231,CHI,,RAM,L 0-26,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,76,19.00,0,0,0,,0,0,0
33,1973,1973-12-09,13,26.238,CHI,@,DET,L 7-40,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,108,27.00,0,1,2,2.00,0,0,0
34,1973,1973-12-16,14,26.245,CHI,,GNB,L 0-21,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,48,16.00,0,1,0,0.00,0,0,0
35,1974,1974-09-15,1,27.153,CHI,,DET,W 17-9,2,29,14.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,12,4.00,0,1,6
36,1974,1974-09-22,2,27.160,CHI,,NYJ,L 21-23,4,75,18.75,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,7,7.00,0,0,0
37,1974,1974-09-29,3,27.167,CHI,@,MIN,L 7-11,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,21,10.50,0,0,0
38,1974,1974-10-06,4,27.174,CHI,,NOR,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,29,9.67,0,0,0
39,1974,1974-10-13,5,27.181,CHI,@,ATL,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0
40,1974,1974-10-21,6,27.189,CHI,,GNB,W 10-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0
41,1974,1974-10-27,7,27.195,CHI,@,BUF,L 6-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,25,8.33,0,0,0
42,1974,1974-11-03,8,27.202,CHI,,MIN,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,37,9.25,0,0,0
