ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.340,TEN,@,PIT,L 7-34,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,,
2,2005,2005-09-18,2,22.347,TEN,,BAL,W 25-10,*,6,2,29,14.50,0,33.3%,4.83,0,0,,0,0,0,,0,0,0,0.0,,
3,2005,2005-09-25,3,22.354,TEN,@,STL,L 27-31,,9,5,40,8.00,1,55.6%,4.44,0,0,,0,0,0,,0,1,6,0.0,,
4,2005,2005-10-02,4,22.361,TEN,,IND,L 10-31,*,3,2,22,11.00,0,66.7%,7.33,1,1,1.00,0,0,0,,0,0,0,0.0,,
5,2005,2005-10-09,5,23.003,TEN,@,HOU,W 34-20,*,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0,,0,0,0,0.0,,
6,2005,2005-10-16,6,23.010,TEN,,CIN,L 23-31,*,12,5,82,16.40,0,41.7%,6.83,0,0,,0,2,34,17.00,0,0,0,0.0,,
7,2005,2005-10-23,7,23.017,TEN,@,ARI,L 10-20,*,5,2,50,25.00,1,40.0%,10.00,0,0,,0,3,41,13.67,0,1,6,0.0,,
8,2005,2005-11-06,9,23.031,TEN,@,CLE,L 14-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
9,2005,2005-11-20,10,23.045,TEN,,JAX,L 28-31,*,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,0.0,,
10,2005,2005-11-27,11,23.052,TEN,,SFO,W 33-22,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,,
11,2006,2006-09-10,1,23.339,TEN,,NYJ,L 16-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
12,2006,2006-09-17,2,23.346,TEN,@,SDG,L 7-40,,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,,
13,2006,2006-09-24,3,23.353,TEN,@,MIA,L 10-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
14,2006,2006-10-01,4,23.360,TEN,,DAL,L 14-45,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,,
15,2006,2006-10-08,5,24.002,TEN,@,IND,L 13-14,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,0.0,,
16,2006,2006-10-15,6,24.009,TEN,@,WAS,W 25-22,,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,0,1,6,0.0,,
17,2006,2006-10-29,7,24.023,TEN,,HOU,W 28-22,*,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,0.0,,
18,2006,2006-11-05,8,24.030,TEN,@,JAX,L 7-37,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,,
19,2006,2006-11-12,9,24.037,TEN,,BAL,L 26-27,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
20,2006,2006-11-19,10,24.044,TEN,@,PHI,W 31-13,*,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,0.0,,
21,2006,2006-11-26,11,24.051,TEN,,NYG,W 24-21,*,5,4,38,9.50,1,80.0%,7.60,0,0,,0,0,0,,0,1,6,0.0,,
22,2006,2006-12-03,12,24.058,TEN,,IND,W 20-17,*,5,1,9,9.00,1,20.0%,1.80,0,0,,0,0,0,,0,1,6,0.0,,
23,2006,2006-12-10,13,24.065,TEN,@,HOU,W 26-20,*,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
24,2006,2006-12-17,14,24.072,TEN,,JAX,W 24-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
25,2006,2006-12-24,15,24.079,TEN,@,BUF,W 30-29,*,5,5,101,20.20,1,100.0%,20.20,0,0,,0,0,0,,0,1,6,0.0,,
26,2006,2006-12-31,16,24.086,TEN,,NWE,L 23-40,*,5,1,53,53.00,0,20.0%,10.60,0,0,,0,0,0,,0,0,0,0.0,,
27,2007,2007-09-09,1,24.338,TEN,@,JAX,W 13-10,*,3,1,6,6.00,0,33.3%,2.00,1,19,19.00,0,0,0,,0,0,0,0.0,,
28,2007,2007-09-16,2,24.345,TEN,,IND,L 20-22,*,8,5,57,11.40,0,62.5%,7.13,0,0,,0,0,0,,0,0,0,0.0,,
29,2007,2007-09-24,3,24.353,TEN,@,NOR,W 31-14,,4,4,73,18.25,1,100.0%,18.25,0,0,,0,0,0,,0,1,6,0.0,,
30,2007,2007-10-07,4,25.001,TEN,,ATL,W 20-13,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,0.0,,
31,2007,2007-11-04,8,25.029,TEN,,CAR,W 20-7,,2,0,0,,0,0.0%,0.00,1,18,18.00,0,0,0,,0,0,0,0.0,,
32,2007,2007-11-11,9,25.036,TEN,,JAX,L 13-28,,7,5,51,10.20,0,71.4%,7.29,0,0,,0,4,24,6.00,0,0,0,0.0,,
33,2007,2007-11-19,10,25.044,TEN,@,DEN,L 20-34,,5,3,25,8.33,1,60.0%,5.00,0,0,,0,1,7,7.00,0,1,6,0.0,,
34,2007,2007-11-25,11,25.050,TEN,@,CIN,L 6-35,,0,0,0,,0,0.0%,,0,0,,0,1,-2,-2.00,0,0,0,0.0,,
35,2007,2007-12-02,12,25.057,TEN,,HOU,W 28-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
36,2008,2008-09-07,1,25.337,TEN,,JAX,W 17-10,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2008,2008-09-14,2,25.344,TEN,@,CIN,W 24-7,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2008,2008-09-21,3,25.351,TEN,,HOU,W 31-12,,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2008,2008-09-28,4,25.358,TEN,,MIN,W 30-17,,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2008,2008-10-05,5,25.365,TEN,@,BAL,W 13-10,*,8,3,54,18.00,0,37.5%,6.75,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2008,2008-10-19,6,26.013,TEN,@,KAN,W 34-10,*,1,,,,,0.0%,,,,,,,,,,,,,,
42,2008,2008-10-27,7,26.021,TEN,,IND,W 31-21,*,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2008,2008-11-02,8,26.027,TEN,,GNB,W 19-16,,6,4,36,9.00,0,66.7%,6.00,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
44,2008,2008-11-09,9,26.034,TEN,@,CHI,W 21-14,,8,8,82,10.25,0,100.0%,10.25,0,0,,0,0,0,,0,0,0,0.0,0,0
45,2008,2008-11-16,10,26.041,TEN,@,JAX,W 24-14,*,4,2,23,11.50,1,50.0%,5.75,0,0,,0,0,0,,0,1,6,0.0,0,0
46,2008,2008-11-23,11,26.048,TEN,,NYJ,L 13-34,,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2008,2008-11-27,12,26.052,TEN,@,DET,W 47-10,*,2,1,6,6.00,0,50.0%,3.00,1,28,28.00,0,0,0,,0,0,0,0.0,0,0
48,2008,2008-12-07,13,26.062,TEN,,CLE,W 28-9,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2008,2008-12-14,14,26.069,TEN,@,HOU,L 12-13,*,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,0.0,2,0
50,2008,2008-12-21,15,26.076,TEN,,PIT,W 31-14,,2,,,,,0.0%,,,,,,,,,,,,,,
51,2008,2008-12-28,16,26.083,TEN,@,IND,L 0-23,*,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2009,2009-10-04,4,26.363,SFO,,STL,W 35-0,,,,,,,0.0%,,,,,,,,,,,,,,
53,2009,2009-10-11,5,27.005,SFO,,ATL,L 10-45,,2,,,,,0.0%,,,,,,,,,,,,,,
54,2009,2009-11-01,7,27.026,SFO,@,IND,L 14-18,,0,0,0,,0,0.0%,,0,0,,0,2,6,3.00,0,0,0,0.0,0,0
55,2009,2009-11-08,8,27.033,SFO,,TEN,L 27-34,,0,0,0,,0,0.0%,,0,0,,0,3,-3,-1.00,0,0,0,0.0,0,0
56,2009,2009-11-12,9,27.037,SFO,,CHI,W 10-6,,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
57,2009,2009-11-29,11,27.054,SFO,,JAX,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,3,19,6.33,0,0,0,0.0,0,0
58,2009,2009-12-06,12,27.061,SFO,@,SEA,L 17-20,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0
59,2009,2009-12-14,13,27.069,SFO,,ARI,W 24-9,,1,,,,,0.0%,,,,,,,,,,,,,,
