ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2002,2002-09-09,1,21.345,PIT,@,NWE,L 14-30,,,,,,,0.0%,,,,,,,,,
2,2002,2002-09-15,2,21.351,PIT,,OAK,L 17-30,,0,,,,,0.0%,,,,,,,,,
3,2002,2002-09-29,3,22.000,PIT,,CLE,W 16-13,,0,,,,,0.0%,,,,,,,,,
4,2002,2002-10-06,4,22.007,PIT,@,NOR,L 29-32,,,,,,,0.0%,,,,,,,,,
5,2002,2002-10-13,5,22.014,PIT,@,CIN,W 34-7,,0,,,,,0.0%,,,,,,,,,
6,2002,2002-10-21,6,22.022,PIT,,IND,W 28-10,,,,,,,0.0%,,,,,,,,,
7,2002,2002-10-27,7,22.028,PIT,@,BAL,W 31-18,,,,,,,0.0%,,,,,,,,,
8,2002,2002-11-03,8,22.035,PIT,@,CLE,W 23-20,,,,,,,0.0%,,,,,,,,,
9,2002,2002-11-10,9,22.042,PIT,,ATL,T 34-34,,0,,,,,0.0%,,,,,,,,,
10,2002,2002-11-17,10,22.049,PIT,@,TEN,L 23-31,,0,,,,,0.0%,,,,,,,,,
11,2002,2002-11-24,11,22.056,PIT,,CIN,W 29-21,,0,,,,,0.0%,,,,,,,,,
12,2002,2002-12-01,12,22.063,PIT,@,JAX,W 25-23,,0,,,,,0.0%,,,,,,,,,
13,2002,2002-12-08,13,22.070,PIT,,HOU,L 6-24,,0,,,,,0.0%,,,,,,,,,
14,2002,2002-12-29,16,22.091,PIT,,BAL,W 34-31,,0,,,,,0.0%,,,,,,,,,
15,2003,2003-09-07,1,22.343,PIT,,BAL,W 34-15,,0,,,,,0.0%,,,,,,,,,
16,2003,2003-09-14,2,22.350,PIT,@,KAN,L 20-41,,0,,,,,0.0%,,,,,,,,,
17,2003,2003-09-21,3,22.357,PIT,@,CIN,W 17-10,,0,,,,,0.0%,,,,,,,,,
18,2003,2003-09-28,4,22.364,PIT,,TEN,L 13-30,,,,,,,0.0%,,,,,,,,,
19,2003,2003-10-05,5,23.006,PIT,,CLE,L 13-33,,0,,,,,0.0%,,,,,,,,,
20,2003,2003-10-12,6,23.013,PIT,@,DEN,L 14-17,,0,,,,,0.0%,,,,,,,,,
21,2003,2003-10-26,7,23.027,PIT,,STL,L 21-33,,,,,,,0.0%,,,,,,,,,
22,2003,2003-11-02,8,23.034,PIT,@,SEA,L 16-23,,,,,,,0.0%,,,,,,,,,
23,2003,2003-11-09,9,23.041,PIT,,ARI,W 28-15,,,,,,,0.0%,,,,,,,,,
24,2003,2003-11-17,10,23.049,PIT,@,SFO,L 14-30,,,,,,,0.0%,,,,,,,,,
25,2003,2003-11-23,11,23.055,PIT,@,CLE,W 13-6,,0,,,,,0.0%,,,,,,,,,
26,2003,2003-11-30,12,23.062,PIT,,CIN,L 20-24,,0,,,,,0.0%,,,,,,,,,
27,2003,2003-12-07,13,23.069,PIT,,OAK,W 27-7,,0,,,,,0.0%,,,,,,,,,
28,2003,2003-12-14,14,23.076,PIT,@,NYJ,L 0-6,,0,,,,,0.0%,,,,,,,,,
29,2003,2003-12-21,15,23.083,PIT,,SDG,W 40-24,,0,,,,,0.0%,,,,,,,,,
30,2003,2003-12-28,16,23.090,PIT,@,BAL,L 10-13,,1,1,81,81.00,1,100.0%,81.00,1,6,0.0,,,0,0,0
31,2004,2004-09-12,1,23.349,PIT,,OAK,W 24-21,*,0,,,,,0.0%,,,,,,,,,
32,2004,2004-09-19,2,23.356,PIT,@,BAL,L 13-30,*,0,,,,,0.0%,,,,,,,,,
33,2004,2004-09-26,3,23.363,PIT,@,MIA,W 13-3,*,0,,,,,0.0%,,,,,,,,,
34,2004,2004-10-03,4,24.004,PIT,,CIN,W 28-17,*,0,,,,,0.0%,,,,,,,,,
35,2004,2004-10-10,5,24.011,PIT,,CLE,W 34-23,*,0,,,,,0.0%,,,,,,,,,
36,2004,2004-10-17,6,24.018,PIT,@,DAL,W 24-20,*,0,,,,,0.0%,,,,,,,,,
37,2004,2004-10-31,7,24.032,PIT,,NWE,W 34-20,*,0,,,,,0.0%,,,,,,,,,
38,2004,2004-11-07,8,24.039,PIT,,PHI,W 27-3,*,0,,,,,0.0%,,,,,,,,,
