ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-10-10,5,22.197,NOR,@,ARI,L 20-30,,,,,,,,,,,
2,2010,2010-11-21,10,22.239,NOR,,SEA,W 34-19,,0,0,,0,,0,0,0.0,0,0
3,2010,2010-12-19,14,22.267,NOR,@,BAL,L 24-30,,0,0,,0,,0,0,0.0,0,0
4,2010,2011-01-02,16,22.281,NOR,,TAM,L 13-23,,0,0,,0,,0,0,0.0,1,0
5,2011,2011-09-08,1,23.165,NOR,@,GNB,L 34-42,,0,0,,0,,0,0,0.5,1,2
6,2011,2011-09-18,2,23.175,NOR,,CHI,W 30-13,,0,0,,0,,0,0,2.0,2,0
7,2011,2011-09-25,3,23.182,NOR,,HOU,W 40-33,,0,0,,0,,0,0,0.0,1,0
8,2011,2011-10-02,4,23.189,NOR,@,JAX,W 23-10,,,,,,,,,,,
9,2011,2011-10-09,5,23.196,NOR,@,CAR,W 30-27,,,,,,,,,,,
10,2011,2011-10-16,6,23.203,NOR,@,TAM,L 20-26,,0,0,,0,,0,0,0.0,1,0
11,2011,2011-10-23,7,23.210,NOR,,IND,W 62-7,,,,,,,,,,,
12,2011,2011-10-30,8,23.217,NOR,@,STL,L 21-31,,0,0,,0,,0,0,0.0,0,0
13,2011,2011-11-06,9,23.224,NOR,,TAM,W 27-16,,,,,,,,,,,
14,2011,2011-11-13,10,23.231,NOR,@,ATL,W 26-23,,,,,,,,,,,
15,2011,2011-11-28,11,23.246,NOR,,NYG,W 49-24,,0,0,,0,,0,0,0.0,0,0
16,2011,2011-12-04,12,23.252,NOR,,DET,W 31-17,,0,0,,0,,0,0,1.0,2,3
17,2011,2011-12-11,13,23.259,NOR,@,TEN,W 22-17,,0,0,,0,,0,0,0.0,0,1
18,2011,2011-12-18,14,23.266,NOR,@,MIN,W 42-20,,0,0,,0,,0,0,1.0,2,0
19,2011,2011-12-26,15,23.274,NOR,,ATL,W 45-16,*,0,0,,0,,0,0,0.0,1,1
20,2011,2012-01-01,16,23.280,NOR,,CAR,W 45-17,,0,0,,0,,0,0,0.0,0,1
21,2012,2012-09-09,1,24.166,NOR,,WAS,L 32-40,,0,0,,0,,0,0,0.0,2,0
22,2012,2012-09-16,2,24.173,NOR,@,CAR,L 27-35,,1,2,2.00,0,,0,0,0.0,0,1
