ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,24.025,HOU,,IND,W 34-7,,2,89,44.50,0
2,2011,2011-09-18,2,24.032,HOU,@,MIA,W 23-13,,6,287,47.83,0
3,2011,2011-09-25,3,24.039,HOU,@,NOR,L 33-40,,2,74,37.00,0
4,2011,2011-10-02,4,24.046,HOU,,PIT,W 17-10,,5,235,47.00,0
5,2011,2011-10-09,5,24.053,HOU,,OAK,L 20-25,,8,298,37.25,0
6,2011,2011-10-16,6,24.060,HOU,@,BAL,L 14-29,,6,246,41.00,0
7,2011,2011-10-23,7,24.067,HOU,@,TEN,W 41-7,,2,96,48.00,0
8,2011,2011-10-30,8,24.074,HOU,,JAX,W 24-14,,6,272,45.33,0
9,2011,2011-11-06,9,24.081,HOU,,CLE,W 30-12,,2,95,47.50,0
10,2011,2011-11-13,10,24.088,HOU,@,TAM,W 37-9,,4,181,45.25,0
11,2011,2011-11-27,11,24.102,HOU,@,JAX,W 20-13,,10,436,43.60,0
12,2011,2011-12-04,12,24.109,HOU,,ATL,W 17-10,,5,264,52.80,0
