ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1967,1967-10-08,4,23.111,WAS,,DAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,2,0,0
2,1967,1967-11-19,10,23.153,WAS,@,DAL,W 27-20,0,0,,0,0,0,,0,2,66,33.00,0,1,0,0
3,1967,1967-11-26,11,23.160,WAS,@,CLE,L 37-42,0,0,,0,0,0,,0,2,54,27.00,0,0,0,0
4,1968,1968-09-15,1,24.088,WAS,@,CHI,W 38-28,0,0,,0,0,0,,0,0,0,,0,1,0,0
5,1968,1968-09-29,3,24.102,WAS,@,NYG,L 21-48,0,0,,0,0,0,,0,2,51,25.50,0,0,0,0
6,1968,1968-10-06,4,24.109,WAS,,PHI,W 17-14,0,0,,0,0,0,,0,2,44,22.00,0,0,0,0
7,1968,1968-11-24,11,24.158,WAS,,GNB,L 7-27,0,0,,0,0,0,,0,2,50,25.00,0,0,0,0
8,1968,1968-11-28,12,24.162,WAS,@,DAL,L 20-29,0,0,,0,0,0,,0,4,83,20.75,0,0,0,0
9,1968,1968-12-08,13,24.172,WAS,,CLE,L 21-24,3,5,1.67,0,1,15,15.00,0,0,0,,0,0,0,0
