ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-10-28,9,22.226,DET,,BUF,L 17-20,,,,,,,,
2,1979,1979-11-04,10,22.233,DET,@,CHI,L 7-35,,,,,,,,
3,1979,1979-11-11,11,22.240,DET,,TAM,L 14-16,,,,,,,,
4,1979,1979-11-18,12,22.247,DET,@,MIN,L 7-14,,,,,,,,
5,1979,1979-11-22,13,22.251,DET,,CHI,W 20-0,,,,,,,,
6,1979,1979-12-02,14,22.261,DET,@,PHI,L 7-44,,,,,,,,
7,1979,1979-12-09,15,22.268,DET,,MIA,L 10-28,,,,,,,,
8,1979,1979-12-15,16,22.274,DET,,GNB,L 13-18,,,,,,,,
9,1980,1980-09-07,1,23.175,DET,@,RAM,W 41-20,,,,,,,,
10,1980,1980-09-14,2,23.182,DET,@,GNB,W 29-7,,,,,,,,
11,1980,1980-09-21,3,23.189,DET,,STL,W 20-7,,,,,,,,
12,1980,1980-09-28,4,23.196,DET,,MIN,W 27-7,,,,,,,,
13,1980,1980-10-05,5,23.203,DET,@,ATL,L 28-43,,,,,,,,
14,1980,1980-10-12,6,23.210,DET,,NOR,W 24-13,,,,,,,,
15,1980,1980-10-19,7,23.217,DET,@,CHI,L 7-24,,,,,,,,
16,1980,1980-10-26,8,23.224,DET,@,KAN,L 17-20,,,,,,,,
17,1980,1980-11-02,9,23.231,DET,,SFO,W 17-13,,,,,,,,
18,1980,1980-11-09,10,23.238,DET,@,MIN,L 0-34,,,,,,,,
19,1980,1980-11-16,11,23.245,DET,,BAL,L 9-10,,,,,,,,
20,1980,1980-11-23,12,23.252,DET,@,TAM,W 24-10,,,,,,,,
21,1980,1980-11-27,13,23.256,DET,,CHI,L 17-23,,,,,,,,
22,1980,1980-12-07,14,23.266,DET,@,STL,L 23-24,,,,,,,,
23,1980,1980-12-14,15,23.273,DET,,TAM,W 27-14,,,,,,,,
24,1980,1980-12-21,16,23.280,DET,,GNB,W 24-3,,,,,,,,
25,1981,1981-09-06,1,24.174,DET,,SFO,W 24-17,0,0,,0,,,,
26,1981,1981-09-13,2,24.181,DET,@,SDG,L 23-28,0,0,,0,,,,
27,1981,1981-09-20,3,24.188,DET,@,MIN,L 24-26,0,0,,0,,,,
28,1981,1981-09-27,4,24.195,DET,,OAK,W 16-0,0,0,,0,,,,
29,1981,1981-10-04,5,24.202,DET,@,TAM,L 10-28,0,0,,0,0.0,1,0,0
30,1981,1981-10-11,6,24.209,DET,@,DEN,L 21-27,0,0,,0,,,,
31,1981,1981-10-19,7,24.217,DET,,CHI,W 48-17,0,0,,0,,,,
32,1981,1981-10-25,8,24.223,DET,,GNB,W 31-27,0,0,,0,,,,
33,1981,1981-11-01,9,24.230,DET,@,RAM,L 13-20,0,0,,0,,,,
34,1981,1981-11-08,10,24.237,DET,@,WAS,L 31-33,0,0,,0,,,,
35,1981,1981-11-15,11,24.244,DET,,DAL,W 27-24,1,19,19.00,0,0.0,1,17,0
36,1981,1981-11-22,12,24.251,DET,@,CHI,W 23-7,0,0,,0,0.0,1,15,0
37,1981,1981-11-26,13,24.255,DET,,KAN,W 27-10,0,0,,0,,,,
38,1981,1981-12-06,14,24.265,DET,@,GNB,L 17-31,0,0,,0,,,,
39,1981,1981-12-12,15,24.271,DET,,MIN,W 45-7,0,0,,0,,,,
40,1981,1981-12-20,16,24.279,DET,,TAM,L 17-20,0,0,,0,,,,
41,1982,1982-09-12,1,25.180,DET,,CHI,W 17-10,1,25,25.00,0,0.0,0,0,0
42,1982,1982-09-19,2,25.187,DET,@,RAM,W 19-14,0,0,,0,,,,
43,1982,1982-11-21,3,25.250,DET,@,CHI,L 17-20,0,0,,0,,,,
44,1982,1982-11-25,4,25.254,DET,,NYG,L 6-13,0,0,,0,0.0,1,12,0
