ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2008,2008-09-07,1,22.287,MIA,,NYJ,L 14-20,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
2,2008,2008-09-14,2,22.294,MIA,@,ARI,L 10-31,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
3,2008,2008-09-21,3,22.301,MIA,@,NWE,W 38-13,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
4,2008,2008-10-05,4,22.315,MIA,,SDG,W 17-10,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0
5,2008,2008-10-12,5,22.322,MIA,@,HOU,L 28-29,,4,4,100.0,,,,0,4,0.0,0,0,0,0,,0
6,2008,2008-10-19,6,22.329,MIA,,BAL,L 13-27,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
7,2008,2008-10-26,7,22.336,MIA,,BUF,W 25-16,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,,0
8,2008,2008-11-02,8,22.343,MIA,@,DEN,W 26-17,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,,0
9,2008,2008-11-09,9,22.350,MIA,,SEA,W 21-19,,3,3,100.0,,,,0,3,0.0,0,0,0,0,,0
10,2008,2008-11-16,10,22.357,MIA,,OAK,W 17-15,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
11,2008,2008-11-23,11,22.364,MIA,,NWE,L 28-48,,4,4,100.0,,,,0,4,0.0,0,0,0,0,,0
12,2008,2008-11-30,12,23.005,MIA,@,STL,W 16-12,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
13,2008,2008-12-07,13,23.012,MIA,@,BUF,W 16-3,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
14,2008,2008-12-14,14,23.019,MIA,,SFO,W 14-9,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,,0
15,2008,2008-12-21,15,23.026,MIA,@,KAN,W 38-31,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
16,2008,2008-12-28,16,23.033,MIA,@,NYJ,W 24-17,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
17,2009,2009-09-13,1,23.292,MIA,@,ATL,L 7-19,,1,1,100.0,,,,0,1,0.0,0,0,0,0,,0
18,2009,2009-09-21,2,23.300,MIA,,IND,L 23-27,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,,0
19,2009,2009-09-27,3,23.306,MIA,@,SDG,L 13-23,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
20,2009,2009-10-04,4,23.313,MIA,,BUF,W 38-10,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
21,2009,2009-10-12,5,23.321,MIA,,NYJ,W 31-27,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
22,2009,2009-10-25,6,23.334,MIA,,NOR,L 34-46,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0
23,2009,2009-11-01,7,23.341,MIA,@,NYJ,W 30-25,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
24,2009,2009-11-08,8,23.348,MIA,@,NWE,L 17-27,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
25,2009,2009-11-15,9,23.355,MIA,,TAM,W 25-23,,1,2,50.0,4,4,100.0,0,13,0.0,0,1,0,0,,0
26,2009,2009-11-19,10,23.359,MIA,@,CAR,W 24-17,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
27,2009,2009-11-29,11,24.004,MIA,@,BUF,L 14-31,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
28,2009,2009-12-06,12,24.011,MIA,,NWE,W 22-21,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
29,2009,2009-12-13,13,24.018,MIA,@,JAX,W 14-10,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,,0
30,2009,2009-12-20,14,24.025,MIA,@,TEN,L 24-27,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
31,2009,2009-12-27,15,24.032,MIA,,HOU,L 20-27,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
32,2009,2010-01-03,16,24.039,MIA,,PIT,L 24-30,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
33,2010,2010-09-12,1,24.291,MIA,@,BUF,W 15-10,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0
34,2010,2010-09-19,2,24.298,MIA,@,MIN,W 14-10,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
35,2010,2010-09-26,3,24.305,MIA,,NYJ,L 23-31,,2,2,100.0,3,3,100.0,0,11,0.0,0,1,0,0,,0
36,2010,2010-10-04,4,24.313,MIA,,NWE,L 14-41,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,,0
37,2010,2010-10-17,5,24.326,MIA,@,GNB,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
38,2010,2010-10-24,6,24.333,MIA,,PIT,L 22-23,,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,0,,0
39,2010,2010-10-31,7,24.340,MIA,@,CIN,W 22-14,,1,1,100.0,5,5,100.0,0,16,0.0,0,0,0,0,,0
40,2010,2010-11-07,8,24.347,MIA,@,BAL,L 10-26,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0
41,2010,2010-11-14,9,24.354,MIA,,TEN,W 29-17,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
42,2010,2010-11-18,10,24.358,MIA,,CHI,L 0-16,,,,,,,,,,,,,,,,
43,2010,2010-11-28,11,25.003,MIA,@,OAK,W 33-17,,3,3,100.0,4,6,66.7,0,15,0.0,0,0,0,0,,0
44,2010,2010-12-05,12,25.010,MIA,,CLE,L 10-13,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0
45,2010,2010-12-12,13,25.017,MIA,@,NYJ,W 10-6,,1,1,100.0,1,1,100.0,0,4,0.0,0,1,0,0,,0
46,2010,2010-12-19,14,25.024,MIA,,BUF,L 14-17,,2,2,100.0,,4,0.0,0,2,0.0,0,0,0,0,,0
47,2010,2010-12-26,15,25.031,MIA,,DET,L 27-34,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
48,2010,2011-01-02,16,25.038,MIA,@,NWE,L 7-38,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0
49,2011,2011-09-12,1,25.291,MIA,,NWE,L 24-38,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
50,2011,2011-09-18,2,25.297,MIA,,HOU,L 13-23,,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,0,,0
51,2011,2011-09-25,3,25.304,MIA,@,CLE,L 16-17,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
52,2011,2011-10-02,4,25.311,MIA,@,SDG,L 16-26,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
53,2011,2011-10-17,5,25.326,MIA,@,NYJ,L 6-24,,,,,2,2,100.0,0,6,0.0,0,0,0,0,,0
54,2011,2011-10-23,6,25.332,MIA,,DEN,L 15-18,,,,,3,3,100.0,0,9,0.0,0,0,0,0,,0
55,2011,2011-10-30,7,25.339,MIA,@,NYG,L 17-20,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
56,2011,2011-11-06,8,25.346,MIA,@,KAN,W 31-3,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
57,2011,2011-11-13,9,25.353,MIA,,WAS,W 20-9,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
