ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2017,2017-10-22,6,21.215,CIN,@,PIT,L 14-29,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
2,2017,2017-10-29,7,21.222,CIN,,IND,W 24-23,,3,2,35,17.50,1,66.7%,11.67,0,0,,0,1,6
3,2017,2017-11-05,8,21.229,CIN,@,JAX,L 7-23,,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0
4,2017,2017-11-12,9,21.236,CIN,@,TEN,L 20-24,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
5,2017,2017-11-19,10,21.243,CIN,@,DEN,W 20-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2017,2017-11-26,11,21.250,CIN,,CLE,W 30-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
7,2017,2017-12-04,12,21.258,CIN,,PIT,L 20-23,*,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
8,2017,2017-12-10,13,21.264,CIN,,CHI,L 7-33,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
9,2017,2017-12-17,14,21.271,CIN,@,MIN,L 7-34,,3,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0
10,2017,2017-12-24,15,21.278,CIN,,DET,W 26-17,*,1,0,0,,0,0.0%,0.00,1,-2,-2.00,0,0,0
11,2017,2017-12-31,16,21.285,CIN,@,BAL,W 31-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0
12,2018,2018-09-09,1,22.172,CIN,@,IND,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,0,0
13,2018,2018-09-13,2,22.176,CIN,,BAL,W 34-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
14,2018,2018-09-23,3,22.186,CIN,@,CAR,L 21-31,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0
