ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1967,1967-09-24,2,22.073,NOR,,WAS,L 10-30,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1967,1967-10-01,3,22.080,NOR,,CLE,L 7-42,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1967,1967-10-08,4,22.087,NOR,@,NYG,L 21-27,2,40,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
4,1967,1967-10-15,5,22.094,NOR,@,DAL,L 10-14,5,65,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1967,1967-10-29,7,22.108,NOR,,PIT,L 10-14,12,156,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
6,1967,1967-11-05,8,22.115,NOR,,PHI,W 31-24,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
7,1967,1967-11-12,9,22.122,NOR,,DAL,L 10-27,7,74,10.57,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
8,1967,1967-11-19,10,22.129,NOR,@,PHI,L 21-48,4,51,12.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
9,1967,1967-11-26,11,22.136,NOR,,ATL,W 27-24,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
10,1967,1967-12-03,12,22.143,NOR,@,STL,L 20-31,4,77,19.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1967,1967-12-10,13,22.150,NOR,@,BAL,L 10-30,2,28,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1967,1967-12-17,14,22.157,NOR,@,WAS,W 30-14,7,144,20.57,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
13,1968,1968-09-15,1,23.064,NOR,,CLE,L 10-24,2,67,33.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1968,1968-09-22,2,23.071,NOR,,WAS,W 37-17,4,86,21.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
15,1968,1968-09-29,3,23.078,NOR,,STL,L 20-21,3,67,22.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
16,1968,1968-10-06,4,23.085,NOR,@,NYG,L 21-38,8,101,12.63,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1968,1968-10-13,5,23.092,NOR,,MIN,W 20-17,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1968,1968-10-20,6,23.099,NOR,@,PIT,W 16-12,4,74,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
19,1968,1968-10-27,7,23.106,NOR,@,STL,L 17-31,2,44,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
20,1968,1968-11-03,8,23.113,NOR,,DAL,L 3-17,5,57,11.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1968,1968-11-10,9,23.120,NOR,@,CLE,L 17-35,6,69,11.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
22,1968,1968-11-17,10,23.127,NOR,@,GNB,L 7-29,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
23,1968,1968-11-24,11,23.134,NOR,@,DET,T 20-20,6,78,13.00,1,2,27,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
24,1968,1968-12-01,12,23.141,NOR,,CHI,L 17-23,2,80,40.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
25,1968,1968-12-08,13,23.148,NOR,@,PHI,L 17-29,6,79,13.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1968,1968-12-15,14,23.155,NOR,,PIT,W 24-14,4,62,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
27,1969,1969-09-21,1,24.070,NOR,,WAS,L 20-26,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
28,1969,1969-09-28,2,24.077,NOR,,DAL,L 17-21,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
29,1969,1969-10-05,3,24.084,NOR,@,RAM,L 17-36,5,88,17.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
30,1969,1969-10-12,4,24.091,NOR,,CLE,L 17-27,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1969,1969-10-19,5,24.098,NOR,,BAL,L 10-30,9,115,12.78,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1969,1969-10-26,6,24.105,NOR,@,PHI,L 10-13,6,92,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1969,1969-11-02,7,24.112,NOR,@,STL,W 51-42,5,72,14.40,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
34,1969,1969-11-09,8,24.119,NOR,@,DAL,L 17-33,6,75,12.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
35,1969,1969-11-16,9,24.126,NOR,@,NYG,W 25-24,4,49,12.25,0,1,28,28.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1969,1969-11-23,10,24.133,NOR,,SFO,W 43-38,5,113,22.60,2,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
37,1969,1969-11-30,11,24.140,NOR,,PHI,W 26-17,7,63,9.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
38,1969,1969-12-07,12,24.147,NOR,@,ATL,L 17-45,9,105,11.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
39,1969,1969-12-14,13,24.154,NOR,@,WAS,L 14-17,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
40,1969,1969-12-21,14,24.161,NOR,,PIT,W 27-24,8,129,16.13,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
41,1970,1970-09-20,1,25.069,NOR,,ATL,L 3-14,3,47,15.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
42,1970,1970-09-27,2,25.076,NOR,@,MIN,L 0-26,4,46,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
43,1970,1970-10-04,3,25.083,NOR,,NYG,W 14-10,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
44,1970,1970-10-11,4,25.090,NOR,@,STL,L 17-24,3,51,17.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
45,1970,1970-10-18,5,25.097,NOR,@,SFO,T 20-20,3,40,13.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
46,1970,1970-10-25,6,25.104,NOR,@,ATL,L 14-32,2,35,17.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
47,1970,1970-11-01,7,25.111,NOR,,RAM,L 17-30,4,75,18.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
48,1970,1970-11-08,8,25.118,NOR,,DET,W 19-17,6,77,12.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
49,1970,1970-11-15,9,25.125,NOR,@,MIA,L 10-21,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
50,1970,1970-11-22,10,25.132,NOR,,DEN,L 6-31,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1970,1970-11-29,11,25.139,NOR,@,CIN,L 6-26,8,165,20.63,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
52,1970,1970-12-06,12,25.146,NOR,@,RAM,L 16-34,5,80,16.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
53,1970,1970-12-13,13,25.153,NOR,,SFO,L 27-38,7,140,20.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
