ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1955,1955-09-26,1,23.116,CRD,@,PIT,L 7-14,6,-4,-0.67,0,0,0,,0,0,0,,0,0,,,,,,
2,1955,1955-10-02,2,23.122,CRD,,NYG,W 28-17,4,72,18.00,1,2,7,3.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
3,1955,1955-10-09,3,23.129,CRD,@,WAS,W 24-10,0,0,,0,0,12,,0,0,0,,0,0,,,,,,
4,1955,1955-10-16,4,23.136,CRD,@,NYG,L 0-10,13,41,3.15,0,1,-15,-15.00,0,0,0,,0,0,,,,,,
5,1955,1955-10-23,5,23.143,CRD,,PHI,T 24-24,5,9,1.80,0,2,47,23.50,0,1,1,100.00,13,1,0,158.3,0,0,13.00,33.00
6,1955,1955-10-30,6,23.150,CRD,,CLE,L 20-26,7,6,0.86,0,1,1,1.00,0,2,3,66.67,36,1,0,147.2,0,0,12.00,18.67
7,1955,1955-11-05,7,23.156,CRD,,PIT,W 27-13,0,0,,0,1,18,18.00,1,1,1,100.00,-4,0,0,79.2,0,0,-4.00,-4.00
8,1955,1955-11-13,8,23.164,CRD,@,GNB,L 14-31,9,43,4.78,0,1,6,6.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
9,1955,1955-11-20,9,23.171,CRD,,WAS,L 0-31,0,0,,0,2,24,12.00,0,0,0,,0,0,,,,,,
10,1955,1955-11-27,10,23.178,CRD,,CHI,W 53-14,13,108,8.31,2,4,32,8.00,0,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00
11,1955,1955-12-04,11,23.185,CRD,@,PHI,L 3-27,6,-7,-1.17,0,2,5,2.50,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00
12,1955,1955-12-11,12,23.192,CRD,@,CLE,L 24-35,1,30,30.00,1,0,0,,0,0,0,,0,0,,,,,,
13,1956,1956-09-30,1,24.120,CRD,,CLE,W 9-7,5,28,5.60,0,1,-1,-1.00,0,0,0,,0,0,,,,,,
14,1956,1956-10-07,2,24.127,CRD,,NYG,W 35-27,8,18,2.25,0,1,32,32.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
15,1956,1956-10-14,3,24.134,CRD,@,WAS,W 31-3,5,19,3.80,0,0,0,,0,0,0,,0,0,,,,,,
16,1956,1956-10-21,4,24.141,CRD,@,PHI,W 20-6,3,5,1.67,0,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
17,1956,1956-10-28,5,24.148,CRD,,WAS,L 14-17,4,-7,-1.75,0,1,21,21.00,0,0,0,,0,0,,,,,,
18,1956,1956-11-04,6,24.155,CRD,,PHI,W 28-17,8,14,1.75,0,4,44,11.00,1,0,0,,0,0,,,,,,
19,1956,1956-11-11,7,24.162,CRD,@,NYG,L 10-23,4,14,3.50,0,3,41,13.67,0,0,0,,0,0,,,,,,
20,1956,1956-11-18,8,24.169,CRD,@,PIT,L 7-14,2,5,2.50,0,0,0,,0,0,0,,0,0,,,,,,
21,1956,1956-11-25,9,24.176,CRD,,PIT,W 38-27,2,7,3.50,0,0,0,,0,0,0,,0,0,,,,,,
22,1956,1956-12-02,10,24.183,CRD,,GNB,L 21-24,0,0,,0,1,17,17.00,0,0,0,,0,0,,,,,,
23,1956,1956-12-09,11,24.190,CRD,@,CHI,L 3-10,0,0,,0,1,12,12.00,0,0,0,,0,0,,,,,,
24,1956,1956-12-16,12,24.197,CRD,@,CLE,W 24-7,4,13,3.25,0,0,0,,0,0,0,,0,0,,,,,,
25,1957,1957-09-29,1,25.119,CRD,@,SFO,W 20-10,5,17,3.40,0,3,62,20.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
26,1957,1957-10-06,2,25.126,CRD,,WAS,L 14-37,5,30,6.00,0,0,0,,0,0,0,,0,0,,,,,,
27,1957,1957-10-13,3,25.133,CRD,@,PIT,L 20-29,0,0,,0,1,9,9.00,0,0,0,,0,0,,,,,,
28,1957,1957-11-10,7,25.161,CRD,@,NYG,L 14-27,0,0,,0,1,34,34.00,0,0,0,,0,0,,,,,,
29,1957,1957-11-24,8,25.175,CRD,,NYG,L 21-28,0,0,,0,1,28,28.00,0,0,0,,0,0,,,,,,
30,1957,1957-12-01,9,25.182,CRD,@,CLE,L 0-31,7,26,3.71,0,0,0,,0,0,0,,0,0,,,,,,
31,1957,1957-12-08,10,25.189,CRD,,CHI,L 6-14,1,8,8.00,0,1,0,0.00,0,0,0,,0,0,,,,,,
32,1957,1957-12-14,11,25.195,CRD,@,PHI,W 31-27,3,1,0.33,0,1,4,4.00,0,0,0,,0,0,,,,,,
33,1957,1957-12-22,12,25.203,CRD,,PIT,L 2-27,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,
