ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2003,2003-10-05,5,23.095,NOR,@,CAR,L 13-19,,,,,,,0.0%,,,
2,2003,2003-11-23,11,23.144,NOR,@,PHI,L 20-33,,,,,,,0.0%,,,
3,2003,2003-11-30,12,23.151,NOR,@,WAS,W 24-20,,1,,,,,0.0%,,,
4,2005,2005-09-11,1,25.071,NOR,@,CAR,W 23-20,,1,1,3,3.00,0,100.0%,3.00,0,0
5,2005,2005-09-19,2,25.079,NOR,,NYG,L 10-27,,1,0,0,,0,0.0%,0.00,0,0
6,2005,2005-09-25,3,25.085,NOR,@,MIN,L 16-33,,2,0,0,,0,0.0%,0.00,0,0
7,2005,2005-10-02,4,25.092,NOR,,BUF,W 19-7,,,0,0,,0,0.0%,,0,0
8,2005,2005-10-09,5,25.099,NOR,@,GNB,L 3-52,,3,1,2,2.00,0,33.3%,0.67,0,0
9,2005,2005-10-16,6,25.106,NOR,,ATL,L 31-34,*,1,1,18,18.00,0,100.0%,18.00,0,0
10,2005,2005-10-23,7,25.113,NOR,@,STL,L 17-28,,1,0,0,,0,0.0%,0.00,0,0
11,2005,2005-11-06,9,25.127,NOR,,CHI,L 17-20,*,3,2,13,6.50,0,66.7%,4.33,0,0
12,2005,2005-11-20,10,25.141,NOR,@,NWE,L 17-24,,7,6,72,12.00,0,85.7%,10.29,0,0
13,2005,2005-11-27,11,25.148,NOR,@,NYJ,W 21-19,*,6,3,33,11.00,1,50.0%,5.50,1,6
14,2005,2005-12-04,12,25.155,NOR,,TAM,L 3-10,*,7,4,50,12.50,0,57.1%,7.14,0,0
15,2005,2005-12-12,13,25.163,NOR,@,ATL,L 17-36,*,5,4,41,10.25,0,80.0%,8.20,0,0
16,2005,2005-12-18,14,25.169,NOR,,CAR,L 10-27,,3,1,7,7.00,0,33.3%,2.33,0,0
17,2005,2005-12-24,15,25.175,NOR,,DET,L 12-13,*,8,7,83,11.86,0,87.5%,10.38,0,0
18,2005,2006-01-01,16,25.183,NOR,@,TAM,L 13-27,,8,5,74,14.80,0,62.5%,9.25,0,0
