ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1976,1976-10-03,4,22.168,GNB,,DET,W 24-14,,,,,,,,
2,1976,1976-10-10,5,22.175,GNB,,SEA,W 27-20,,,,,,,,
3,1976,1976-10-17,6,22.182,GNB,,PHI,W 28-13,,,,,,,,
4,1976,1976-10-24,7,22.189,GNB,@,OAK,L 14-18,,,,,,,,
5,1976,1976-10-31,8,22.196,GNB,@,DET,L 6-27,,,,,,,,
6,1976,1976-11-07,9,22.203,GNB,,NOR,W 32-27,,,,,,,,
7,1976,1976-11-14,10,22.210,GNB,@,CHI,L 13-24,,,,,,,,
8,1976,1976-11-21,11,22.217,GNB,,MIN,L 10-17,,,,,,,,
9,1976,1976-11-28,12,22.224,GNB,,CHI,L 10-16,,,,,,,,
10,1976,1976-12-05,13,22.231,GNB,@,MIN,L 9-20,0,0,,0,1,27,27.00,0
11,1976,1976-12-12,14,22.238,GNB,@,ATL,W 24-20,,,,,,,,
12,1977,1977-09-18,1,23.153,GNB,@,NOR,W 24-20,,,,,,,,
13,1977,1977-09-25,2,23.160,GNB,,HOU,L 10-16,,,,,,,,
14,1977,1977-10-02,3,23.167,GNB,@,MIN,L 7-19,,,,,,,,
15,1977,1977-10-09,4,23.174,GNB,,CIN,L 7-17,,,,,,,,
16,1977,1977-10-16,5,23.181,GNB,@,DET,L 6-10,,,,,,,,
17,1977,1977-10-23,6,23.188,GNB,@,TAM,W 13-0,,,,,,,,
18,1977,1977-10-30,7,23.195,GNB,,CHI,L 0-26,0,0,,0,2,35,17.50,0
19,1977,1977-11-06,8,23.202,GNB,@,KAN,L 10-20,,,,,,,,
20,1977,1977-11-13,9,23.209,GNB,,RAM,L 6-24,,,,,,,,
21,1977,1977-11-21,10,23.217,GNB,@,WAS,L 9-10,0,0,,0,1,2,2.00,0
22,1977,1977-11-27,11,23.223,GNB,,MIN,L 6-13,0,0,,0,1,12,12.00,0
23,1977,1977-12-04,12,23.230,GNB,,DET,W 10-9,,,,,,,,
24,1977,1977-12-11,13,23.237,GNB,@,CHI,L 10-21,,,,,,,,
25,1977,1977-12-18,14,23.244,GNB,,SFO,W 16-14,0,0,,0,2,13,6.50,0
26,1978,1978-09-03,1,24.138,GNB,@,DET,W 13-7,,,,,,,,
27,1978,1978-09-10,2,24.145,GNB,,NOR,W 28-17,,,,,,,,
28,1978,1978-09-17,3,24.152,GNB,,OAK,L 3-28,,,,,,,,
29,1978,1978-09-24,4,24.159,GNB,@,SDG,W 24-3,,,,,,,,
30,1978,1978-10-01,5,24.166,GNB,,DET,W 35-14,,,,,,,,
31,1978,1978-10-08,6,24.173,GNB,,CHI,W 24-14,0,0,,0,1,16,16.00,0
32,1978,1978-10-15,7,24.180,GNB,,SEA,W 45-28,0,0,,0,1,11,11.00,0
33,1978,1978-10-22,8,24.187,GNB,@,MIN,L 7-21,,,,,,,,
34,1978,1978-10-29,9,24.194,GNB,,TAM,W 9-7,,,,,,,,
35,1978,1978-11-05,10,24.201,GNB,@,PHI,L 3-10,0,0,,0,1,16,16.00,0
36,1978,1978-11-12,11,24.208,GNB,,DAL,L 14-42,,,,,,,,
37,1978,1978-11-19,12,24.215,GNB,@,DEN,L 3-16,,,,,,,,
38,1978,1978-11-26,13,24.222,GNB,,MIN,T 10-10,0,0,,0,1,10,10.00,0
39,1978,1978-12-03,14,24.229,GNB,@,TAM,W 17-7,,,,,,,,
40,1978,1978-12-10,15,24.236,GNB,@,CHI,L 0-14,0,0,,0,1,14,14.00,0
41,1978,1978-12-17,16,24.243,GNB,@,RAM,L 14-31,0,0,,0,1,17,17.00,0
42,1979,1979-09-02,1,25.137,GNB,@,CHI,L 3-6,0,0,,0,1,8,8.00,0
43,1979,1979-09-09,2,25.144,GNB,,NOR,W 28-19,,,,,,,,
44,1979,1979-09-16,3,25.151,GNB,,TAM,L 10-21,,,,,,,,
45,1979,1979-09-23,4,25.158,GNB,@,MIN,L 21-27,,,,,,,,
46,1979,1979-10-01,5,25.166,GNB,,NWE,W 27-14,,,,,,,,
47,1979,1979-10-07,6,25.172,GNB,@,ATL,L 7-25,,,,,,,,
48,1979,1979-10-14,7,25.179,GNB,,DET,W 24-16,,,,,,,,
49,1979,1979-10-21,8,25.186,GNB,@,TAM,L 3-21,,,,,,,,
50,1979,1979-10-28,9,25.193,GNB,@,MIA,L 7-27,,,,,,,,
51,1979,1979-11-04,10,25.200,GNB,,NYJ,L 22-27,,,,,,,,
52,1979,1979-11-11,11,25.207,GNB,,MIN,W 19-7,,,,,,,,
53,1979,1979-11-18,12,25.214,GNB,@,BUF,L 12-19,,,,,,,,
54,1979,1979-11-25,13,25.221,GNB,,PHI,L 10-21,,,,,,,,
55,1979,1979-12-02,14,25.228,GNB,@,WAS,L 21-38,,,,,,,,
56,1979,1979-12-09,15,25.235,GNB,,CHI,L 14-15,,,,,,,,
57,1979,1979-12-15,16,25.241,GNB,@,DET,W 18-13,1,16,16.00,0,0,0,,0
58,1980,1980-11-16,11,26.212,PHI,@,WAS,W 24-0,,,,,,,,
59,1980,1980-11-23,12,26.219,PHI,,OAK,W 10-7,,,,,,,,
60,1980,1980-11-30,13,26.226,PHI,@,SDG,L 21-22,,,,,,,,
61,1980,1980-12-07,14,26.233,PHI,,ATL,L 17-20,,,,,,,,
