ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-10-28,7,26.250,BUF,@,NYJ,W 13-3,,1,1,1.00,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
2,2007,2007-11-18,10,26.271,BUF,,NWE,L 10-56,,3,15,5.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,,0,0,0.0,,
3,2007,2007-11-25,11,26.278,BUF,@,JAX,L 14-36,,5,18,3.60,0,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2007,2007-12-02,12,26.285,BUF,@,WAS,W 17-16,*,16,82,5.13,0,6,4,69,17.25,0,66.7%,11.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
5,2007,2007-12-09,13,26.292,BUF,,MIA,W 38-17,,15,115,7.67,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0,,0,,0,0,0.0,,
6,2007,2007-12-16,14,26.299,BUF,@,CLE,L 0-8,,7,16,2.29,0,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
7,2007,2007-12-23,15,26.306,BUF,,NYG,L 21-38,,6,37,6.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,
8,2007,2007-12-30,16,26.313,BUF,@,PHI,L 9-17,,5,16,3.20,0,7,6,24,4.00,0,85.7%,3.43,0,0,,0,0,0,,,,,,1,19,19.00,0,0,0,,0,,0,0,0.0,,
9,2008,2008-09-07,1,27.200,BUF,,SEA,W 34-10,,10,31,3.10,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2008,2008-09-14,2,27.207,BUF,@,JAX,W 20-16,,6,17,2.83,0,7,7,83,11.86,0,100.0%,11.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2008,2008-09-21,3,27.214,BUF,,OAK,W 24-23,,5,24,4.80,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0
12,2008,2008-09-28,4,27.221,BUF,@,STL,W 31-14,,7,46,6.57,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,3,52,17.33,0,,1,6,0.0,0,0
13,2008,2008-10-05,5,27.228,BUF,@,ARI,L 17-41,,2,16,8.00,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,,,,,1,13,13.00,0,2,34,17.00,0,,0,0,0.0,1,0
14,2008,2008-10-19,6,27.242,BUF,,SDG,W 23-14,,9,33,3.67,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
