ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-09-22,2,22.072,PHI,,STL,L 24-28,0,0,,0,0,0,1,0,0
2,1964,1964-10-18,6,23.098,PHI,@,NYG,W 23-17,0,0,,0,0,0,1,0,0
3,1964,1964-11-01,8,23.112,PHI,,WAS,L 10-21,0,0,,0,0,0,1,17,0
4,1964,1964-11-08,9,23.119,PHI,@,RAM,L 10-20,0,0,,0,0,0,1,0,0
5,1964,1964-12-13,14,23.154,PHI,@,STL,L 34-36,0,0,,0,0,0,2,14,0
6,1965,1965-10-31,7,24.111,PHI,@,WAS,L 21-23,0,0,,0,0,0,1,0,0
7,1965,1965-11-21,10,24.132,PHI,@,BAL,L 24-34,0,0,,0,0,0,1,14,0
8,1965,1965-11-28,11,24.139,PHI,@,STL,W 28-24,0,0,,0,0,0,3,56,0
9,1965,1965-12-12,13,24.153,PHI,@,PIT,W 47-13,0,0,,0,0,0,1,4,0
10,1966,1966-12-11,13,25.152,PHI,,CLE,W 33-21,0,0,,0,0,0,1,0,0
11,1967,1967-12-17,14,26.158,PHI,,CLE,W 28-24,1,0,0.00,0,0,0,0,0,0
12,1968,1968-09-29,3,27.079,PHI,,DAL,L 13-45,0,0,,0,0,0,1,0,0
13,1968,1968-11-28,12,27.139,PHI,@,DET,W 12-0,0,0,,0,0,0,1,0,0
14,1969,1969-10-13,4,28.093,PHI,@,BAL,L 20-24,0,0,,0,1,6,2,26,1
15,1970,1970-09-20,1,29.070,PHI,,DAL,L 7-17,,,,,,,,,
16,1970,1970-10-11,4,29.091,PHI,@,NYG,L 23-30,,,,,,,,,
17,1970,1970-10-18,5,29.098,PHI,,STL,L 20-35,0,0,,0,0,0,1,0,0
18,1970,1970-10-25,6,29.105,PHI,@,GNB,L 17-30,,,,,,,,,
19,1970,1970-11-01,7,29.112,PHI,@,DAL,L 17-21,,,,,,,,,
20,1970,1970-11-08,8,29.119,PHI,,MIA,W 24-17,,,,,,,,,
21,1970,1970-11-15,9,29.126,PHI,,ATL,T 13-13,,,,,,,,,
22,1970,1970-11-23,10,29.134,PHI,,NYG,W 23-20,,,,,,,,,
23,1970,1970-11-29,11,29.140,PHI,@,STL,L 14-23,,,,,,,,,
24,1970,1970-12-06,12,29.147,PHI,@,BAL,L 10-29,,,,,,,,,
25,1970,1970-12-13,13,29.154,PHI,@,WAS,L 6-24,,,,,,,,,
26,1971,1971-09-19,1,30.069,PHI,@,CIN,L 14-37,,,,,,,,,
27,1971,1971-09-26,2,30.076,PHI,,DAL,L 7-42,,,,,,,,,
28,1971,1971-10-03,3,30.083,PHI,,SFO,L 3-31,,,,,,,,,
29,1971,1971-10-10,4,30.090,PHI,,MIN,L 0-13,,,,,,,,,
30,1971,1971-10-17,5,30.097,PHI,@,OAK,L 10-34,,,,,,,,,
31,1971,1971-10-24,6,30.104,PHI,,NYG,W 23-7,,,,,,,,,
32,1971,1971-10-31,7,30.111,PHI,,DEN,W 17-16,,,,,,,,,
33,1971,1971-11-07,8,30.118,PHI,@,WAS,T 7-7,,,,,,,,,
34,1971,1971-11-14,9,30.125,PHI,@,DAL,L 7-20,,,,,,,,,
35,1971,1971-11-21,10,30.132,PHI,@,STL,W 37-20,,,,,,,,,
36,1971,1971-11-28,11,30.139,PHI,,WAS,L 13-20,,,,,,,,,
37,1971,1971-12-05,12,30.146,PHI,@,DET,W 23-20,,,,,,,,,
38,1971,1971-12-12,13,30.153,PHI,,STL,W 19-7,,,,,,,,,
39,1971,1971-12-19,14,30.160,PHI,@,NYG,W 41-28,,,,,,,,,
40,1972,1972-09-17,1,31.067,PHI,@,DAL,L 6-28,0,0,,0,0,0,1,10,0
41,1972,1972-09-24,2,31.074,PHI,,CLE,L 17-27,,,,,,,,,
42,1972,1972-10-02,3,31.082,PHI,,NYG,L 12-27,,,,,,,,,
43,1972,1972-10-08,4,31.088,PHI,@,WAS,L 0-14,0,0,,0,0,0,1,0,0
44,1972,1972-10-15,5,31.095,PHI,,RAM,L 3-34,,,,,,,,,
45,1972,1972-10-22,6,31.102,PHI,@,KAN,W 21-20,,,,,,,,,
46,1972,1972-10-29,7,31.109,PHI,@,NOR,L 3-21,,,,,,,,,
47,1972,1972-11-05,8,31.116,PHI,,STL,T 6-6,,,,,,,,,
48,1972,1972-11-12,9,31.123,PHI,@,HOU,W 18-17,0,0,,0,0,0,1,4,0
49,1972,1972-11-19,10,31.130,PHI,,DAL,L 7-28,,,,,,,,,
50,1972,1972-11-26,11,31.137,PHI,@,NYG,L 10-62,,,,,,,,,
51,1972,1972-12-03,12,31.144,PHI,,WAS,L 7-23,,,,,,,,,
52,1972,1972-12-10,13,31.151,PHI,,CHI,L 12-21,,,,,,,,,
53,1972,1972-12-17,14,31.158,PHI,@,STL,L 23-24,,,,,,,,,
54,1973,1973-11-25,11,32.136,NOR,,RAM,L 13-24,,,,,,,,,
55,1973,1973-12-02,12,32.143,NOR,@,GNB,L 10-30,,,,,,,,,
56,1973,1973-12-09,13,32.150,NOR,,SFO,W 16-10,,,,,,,,,
57,1973,1973-12-16,14,32.157,NOR,@,ATL,L 10-14,,,,,,,,,
