ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2015,2015-09-27,3,22.180,PHI,@,NYJ,W 24-17,,0.0,0,0
2,2015,2015-10-04,4,22.187,PHI,@,WAS,L 20-23,,0.0,0,0
3,2015,2015-11-15,9,22.229,PHI,,MIA,L 19-20,,0.0,0,0
4,2015,2015-12-26,15,22.270,PHI,,WAS,L 24-38,,0.0,0,0
5,2015,2016-01-03,16,22.278,PHI,@,NYG,W 35-30,,0.0,0,0
6,2016,2016-12-11,13,23.255,HOU,@,IND,W 22-17,,0.0,0,0
7,2016,2016-12-18,14,23.262,HOU,,JAX,W 21-20,,0.0,0,0
8,2016,2017-01-01,16,23.276,HOU,@,TEN,L 17-24,,0.0,6,3
9,2018,2018-09-09,1,25.162,CLE,,PIT,T 21-21,,0.0,0,0
10,2018,2018-09-16,2,25.169,CLE,@,NOR,L 18-21,,0.0,0,0
11,2018,2018-09-20,3,25.173,CLE,,NYJ,W 21-17,,0.0,0,0
