ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,21.037,ARI,,SFO,L 16-20,,7,29,4.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2009,2009-09-20,2,21.044,ARI,@,JAX,W 31-17,,7,44,6.29,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2009,2009-09-27,3,21.051,ARI,,IND,L 10-31,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
4,2009,2009-10-11,4,21.065,ARI,,HOU,W 28-21,,7,24,3.43,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2009,2009-10-18,5,21.072,ARI,@,SEA,W 27-3,,12,29,2.42,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
6,2009,2009-10-25,6,21.079,ARI,@,NYG,W 24-17,,14,67,4.79,1,3,3,10,3.33,0,100.0%,3.33,1,6,0.0,0,0
7,2009,2009-11-01,7,21.086,ARI,,CAR,L 21-34,,8,47,5.88,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
8,2009,2009-11-08,8,21.093,ARI,@,CHI,W 41-21,,13,72,5.54,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2009,2009-11-15,9,21.100,ARI,,SEA,W 31-20,,16,85,5.31,2,2,2,32,16.00,0,100.0%,16.00,2,12,0.0,0,0
10,2009,2009-11-22,10,21.107,ARI,@,STL,W 21-13,,14,74,5.29,1,3,2,11,5.50,0,66.7%,3.67,1,6,0.0,0,0
11,2009,2009-11-29,11,21.114,ARI,@,TEN,L 17-20,,8,20,2.50,0,1,1,21,21.00,0,100.0%,21.00,0,0,0.0,0,0
12,2009,2009-12-06,12,21.121,ARI,,MIN,W 30-17,,13,28,2.15,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2009,2009-12-14,13,21.129,ARI,@,SFO,L 9-24,,15,79,5.27,1,1,1,24,24.00,0,100.0%,24.00,1,6,0.0,0,0
14,2009,2009-12-20,14,21.135,ARI,@,DET,W 31-24,,17,110,6.47,1,2,1,13,13.00,0,50.0%,6.50,1,6,0.0,0,0
15,2009,2009-12-27,15,21.142,ARI,,STL,W 31-10,,17,68,4.00,1,1,1,25,25.00,0,100.0%,25.00,1,6,0.0,0,0
16,2009,2010-01-03,16,21.149,ARI,,GNB,L 7-33,,6,19,3.17,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
17,2010,2010-09-26,3,22.050,ARI,,OAK,W 24-23,,14,75,5.36,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2010,2010-10-03,4,22.057,ARI,@,SDG,L 10-41,,5,19,3.80,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0
19,2010,2010-10-10,5,22.064,ARI,,NOR,W 30-20,,20,35,1.75,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
20,2010,2010-10-24,6,22.078,ARI,@,SEA,L 10-22,,14,54,3.86,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
21,2010,2010-10-31,7,22.085,ARI,,TAM,L 35-38,*,16,50,3.13,1,2,1,14,14.00,0,50.0%,7.00,1,6,0.0,0,0
22,2010,2010-11-07,8,22.092,ARI,@,MIN,L 24-27,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
23,2010,2010-11-21,10,22.106,ARI,@,KAN,L 13-31,,8,39,4.88,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
24,2010,2010-11-29,11,22.114,ARI,,SFO,L 6-27,*,5,13,2.60,0,1,1,43,43.00,0,100.0%,43.00,0,0,0.0,0,0
25,2010,2010-12-05,12,22.120,ARI,,STL,L 6-19,,3,24,8.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
26,2010,2010-12-12,13,22.127,ARI,,DEN,W 43-13,,6,16,2.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
27,2010,2010-12-19,14,22.134,ARI,@,CAR,L 12-19,,8,11,1.38,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
28,2010,2010-12-25,15,22.140,ARI,,DAL,W 27-26,,11,47,4.27,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
29,2010,2011-01-02,16,22.148,ARI,@,SFO,L 7-38,,5,16,3.20,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0
30,2011,2011-09-11,1,23.035,ARI,,CAR,W 28-21,*,18,90,5.00,1,4,4,12,3.00,0,100.0%,3.00,1,6,0.0,0,0
31,2011,2011-09-18,2,23.042,ARI,@,WAS,L 21-22,*,14,93,6.64,1,2,0,0,,0,0.0%,0.00,1,6,0.0,0,0
32,2011,2011-10-02,4,23.056,ARI,,NYG,L 27-31,*,27,138,5.11,3,2,0,0,,0,0.0%,0.00,3,18,0.0,0,0
33,2011,2011-10-09,5,23.063,ARI,@,MIN,L 10-34,*,20,60,3.00,1,1,0,0,,0,0.0%,0.00,1,6,0.0,1,0
34,2011,2011-10-23,6,23.077,ARI,,PIT,L 20-32,*,12,42,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
35,2011,2011-10-30,7,23.084,ARI,@,BAL,L 27-30,*,22,83,3.77,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
36,2011,2011-11-06,8,23.091,ARI,,STL,W 19-13,*,10,20,2.00,0,2,2,13,6.50,0,100.0%,6.50,0,0,0.0,0,0
37,2011,2011-11-13,9,23.098,ARI,@,PHI,W 21-17,*,23,62,2.70,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
38,2011,2011-11-20,10,23.105,ARI,@,SFO,L 7-23,*,8,33,4.13,0,1,0,0,,0,0.0%,0.00,0,0,0.0,1,0
39,2011,2011-11-27,11,23.112,ARI,@,STL,W 23-20,*,27,228,8.44,1,0,0,0,,0,0.0%,,1,6,0.0,1,0
40,2011,2011-12-04,12,23.119,ARI,,DAL,W 19-13,*,20,67,3.35,1,1,1,6,6.00,0,100.0%,6.00,1,6,0.0,0,0
41,2011,2011-12-11,13,23.126,ARI,,SFO,W 21-19,*,15,27,1.80,0,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,0,0
42,2011,2011-12-18,14,23.133,ARI,,CLE,W 20-17,*,15,51,3.40,1,1,1,10,10.00,0,100.0%,10.00,1,6,0.0,0,0
43,2011,2011-12-24,15,23.139,ARI,@,CIN,L 16-23,*,14,53,3.79,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
44,2011,2012-01-01,16,23.147,ARI,,SEA,W 23-20,,,,,,,,,,,0.0%,,,,,,
45,2012,2012-09-09,1,24.033,ARI,,SEA,W 20-16,,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
46,2012,2012-09-16,2,24.040,ARI,@,NWE,W 20-18,*,14,44,3.14,0,1,1,24,24.00,0,100.0%,24.00,0,0,0.0,0,0
47,2012,2012-09-23,3,24.047,ARI,,PHI,W 27-6,*,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
48,2012,2012-11-25,11,24.110,ARI,,STL,L 17-31,*,17,48,2.82,2,0,0,0,,0,0.0%,,2,12,0.0,0,0
49,2012,2012-12-02,12,24.117,ARI,@,NYJ,L 6-7,*,15,22,1.47,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
50,2012,2012-12-09,13,24.124,ARI,@,SEA,L 0-58,*,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
51,2012,2012-12-16,14,24.131,ARI,,DET,W 38-10,*,17,67,3.94,3,0,0,0,,0,0.0%,,3,18,0.0,0,0
52,2012,2012-12-23,15,24.138,ARI,,CHI,L 13-28,*,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
