ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.248,TEN,@,JAX,W 13-10,,2,35,17.50,0,0,0,,0,0,0,0.0,,,0,0,0
2,2007,2007-09-16,2,22.255,TEN,,IND,L 20-22,,5,126,25.20,0,0,0,,0,0,0,0.0,,,0,0,0
3,2007,2007-09-24,3,22.263,TEN,@,NOR,W 31-14,,1,48,48.00,0,0,0,,0,0,0,0.0,,,0,0,0
4,2007,2007-10-07,4,22.276,TEN,,ATL,W 20-13,,3,75,25.00,0,0,0,,0,0,0,0.0,,,0,0,0
5,2007,2007-10-14,5,22.283,TEN,@,TAM,L 10-13,,4,59,14.75,0,0,0,,0,0,0,0.0,,,0,0,0
6,2007,2007-10-21,6,22.290,TEN,@,HOU,W 38-36,,2,55,27.50,0,0,0,,0,0,0,0.0,,,0,0,0
7,2007,2007-10-28,7,22.297,TEN,,OAK,W 13-9,*,,,,,,,,,,,,,,,,
8,2007,2007-11-04,8,22.304,TEN,,CAR,W 20-7,*,,,,,,,,,,,,,,,,
9,2007,2007-11-11,9,22.311,TEN,,JAX,L 13-28,*,,,,,,,,,,,,,,,,
10,2007,2007-11-19,10,22.319,TEN,@,DEN,L 20-34,*,,,,,,,,,,,,,,,,
11,2007,2007-11-25,11,22.325,TEN,@,CIN,L 6-35,*,,,,,,,,,,,,,,,,
12,2007,2007-12-02,12,22.332,TEN,,HOU,W 28-20,*,1,24,24.00,0,0,0,,0,0,0,0.0,,,1,3,0
13,2007,2007-12-09,13,22.339,TEN,,SDG,L 17-23,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
14,2007,2007-12-16,14,22.346,TEN,@,KAN,W 26-17,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
15,2007,2007-12-23,15,22.353,TEN,,NYJ,W 10-6,*,,,,,,,,,,,,,,,,
16,2007,2007-12-30,16,22.360,TEN,@,IND,W 16-10,*,,,,,,,,,,,,,,,,
17,2008,2008-09-07,1,23.247,TEN,,JAX,W 17-10,*,0,0,,0,0,0,,0,0,0,1.0,4,2,0,0,0
18,2008,2008-09-14,2,23.254,TEN,@,CIN,W 24-7,*,0,0,,0,0,0,,0,0,0,0.0,4,1,1,15,0
19,2008,2008-09-21,3,23.261,TEN,,HOU,W 31-12,*,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0
20,2008,2008-09-28,4,23.268,TEN,,MIN,W 30-17,*,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
21,2008,2008-10-05,5,23.275,TEN,@,BAL,W 13-10,*,1,28,28.00,0,0,0,,0,0,0,0.0,2,0,1,6,0
22,2008,2008-10-19,6,23.289,TEN,@,KAN,W 34-10,*,1,4,4.00,0,0,0,,0,0,0,0.0,5,1,0,0,0
23,2008,2008-10-27,7,23.297,TEN,,IND,W 31-21,*,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
24,2008,2008-11-02,8,23.303,TEN,,GNB,W 19-16,*,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
25,2008,2008-11-09,9,23.310,TEN,@,CHI,W 21-14,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
26,2008,2008-11-16,10,23.317,TEN,@,JAX,W 24-14,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
27,2008,2008-11-23,11,23.324,TEN,,NYJ,L 13-34,*,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
