ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1991,1991-09-01,1,22.142,CLE,,DAL,L 14-26,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,1991,1991-09-08,2,22.149,CLE,@,NWE,W 20-0,,3,82,27.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
3,1991,1991-09-15,3,22.156,CLE,,CIN,W 14-13,,2,26,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
4,1991,1991-09-22,4,22.163,CLE,@,NYG,L 10-13,,0,0,,0,,,,,,,,,,,,,,,,,,,
5,1991,1991-10-06,5,22.177,CLE,,NYJ,L 14-17,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
6,1991,1991-10-13,6,22.184,CLE,@,WAS,L 17-42,,4,51,12.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
7,1991,1991-10-20,7,22.191,CLE,@,SDG,W 30-24,,2,8,4.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
8,1991,1991-10-27,8,22.198,CLE,,PIT,W 17-14,,1,26,26.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1991,1991-11-03,9,22.205,CLE,@,CIN,L 21-23,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,1991,1991-11-10,10,22.212,CLE,,PHI,L 30-32,,0,0,,0,,,,,,,,,,,,,,,,,,,
11,1991,1991-11-17,11,22.219,CLE,@,HOU,L 24-28,,0,0,,0,,,,,,,,,,,,,,,,,,,
12,1991,1991-11-24,12,22.226,CLE,,KAN,W 20-15,,0,0,,0,,,,,,,,,,,,,,,,,,,
13,1991,1991-12-01,13,22.233,CLE,@,IND,W 31-0,,0,0,,0,,,,,,,,,,,,,,,,,,,
14,1991,1991-12-08,14,22.240,CLE,,DEN,L 7-17,,0,0,,0,,,,,,,,,,,,,,,,,,,
15,1991,1991-12-15,15,22.247,CLE,,HOU,L 14-17,,0,0,,0,,,,,,,,,,,,,,,,,,,
16,1991,1991-12-22,16,22.254,CLE,@,PIT,L 10-17,,1,27,27.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
17,1992,1992-09-06,1,23.147,CLE,@,IND,L 3-14,7,3,49,16.33,0,42.9%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
18,1992,1992-09-14,2,23.155,CLE,,MIA,L 23-27,7,5,98,19.60,1,71.4%,14.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
19,1992,1992-09-20,3,23.161,CLE,@,RAI,W 28-16,4,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,
20,1992,1992-09-27,4,23.168,CLE,,DEN,L 0-12,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,
21,1992,1992-10-11,5,23.182,CLE,,PIT,W 17-9,3,2,62,31.00,1,66.7%,20.67,0,0,,0,0,0,,0,0,0,,,,,,1,6
22,1992,1992-10-18,6,23.189,CLE,,GNB,W 17-6,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0
23,1992,1992-10-25,7,23.196,CLE,@,NWE,W 19-17,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
24,1992,1992-11-01,8,23.203,CLE,@,CIN,L 10-30,8,6,96,16.00,1,75.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
25,1992,1992-11-08,9,23.210,CLE,@,HOU,W 24-14,7,3,19,6.33,0,42.9%,2.71,0,0,,0,0,0,,0,0,0,,,,,,0,0
26,1992,1992-11-15,10,23.217,CLE,,SDG,L 13-14,5,4,84,21.00,1,80.0%,16.80,1,21,21.00,0,0,0,,0,0,0,,,,,,1,6
27,1992,1992-11-22,11,23.224,CLE,@,MIN,L 13-17,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0
28,1992,1992-11-29,12,23.231,CLE,,CHI,W 27-14,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
29,1992,1992-12-06,13,23.238,CLE,,CIN,W 37-21,4,3,64,21.33,1,75.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
30,1992,1992-12-13,14,23.245,CLE,@,DET,L 14-24,3,2,80,40.00,1,66.7%,26.67,0,0,,0,0,0,,0,0,0,,,,,,1,6
31,1992,1992-12-20,15,23.252,CLE,,HOU,L 14-17,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,,,,,0,0
32,1992,1992-12-27,16,23.259,CLE,@,PIT,L 13-23,8,4,85,21.25,1,50.0%,10.63,0,0,,0,0,0,,0,0,0,,,,,,1,6
33,1993,1993-09-05,1,24.146,CLE,,CIN,W 27-14,7,3,33,11.00,1,42.9%,4.71,0,0,,0,0,0,,0,0,0,,0,,,,1,6
34,1993,1993-09-13,2,24.154,CLE,,SFO,W 23-13,10,5,105,21.00,1,50.0%,10.50,1,1,1.00,0,0,0,,0,0,0,,0,,,,1,6
35,1993,1993-09-19,3,24.160,CLE,@,RAI,W 19-16,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0
36,1993,1993-09-26,4,24.167,CLE,@,IND,L 10-23,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
37,1993,1993-10-10,5,24.181,CLE,,MIA,L 14-24,8,4,34,8.50,1,50.0%,4.25,0,0,,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,1,6
38,1993,1993-10-17,6,24.188,CLE,@,CIN,W 28-17,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
39,1993,1993-10-24,7,24.195,CLE,,PIT,W 28-23,3,2,106,53.00,1,66.7%,35.33,0,0,,0,0,0,,0,0,0,,0,,,,1,6
40,1993,1993-11-07,8,24.209,CLE,,DEN,L 14-29,7,4,86,21.50,2,57.1%,12.29,0,0,,0,0,0,,0,0,0,,0,,,,2,12
41,1993,1993-11-14,9,24.216,CLE,@,SEA,L 5-22,2,1,56,56.00,0,50.0%,28.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
42,1993,1993-11-21,10,24.223,CLE,,HOU,L 20-27,16,4,64,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
43,1993,1993-11-28,11,24.230,CLE,@,ATL,L 14-17,1,1,38,38.00,0,100.0%,38.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
44,1993,1993-12-05,12,24.237,CLE,,NOR,W 17-13,10,6,65,10.83,2,60.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,,,2,12
45,1993,1993-12-12,13,24.244,CLE,@,HOU,L 17-19,7,2,52,26.00,0,28.6%,7.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0
46,1993,1993-12-26,15,24.258,CLE,@,RAM,W 42-14,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
47,1993,1994-01-02,16,24.265,CLE,@,PIT,L 9-16,5,1,17,17.00,0,20.0%,3.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0
48,1994,1994-09-04,1,25.145,CLE,@,CIN,W 28-20,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
49,1994,1994-09-11,2,25.152,CLE,,PIT,L 10-17,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
50,1994,1994-11-13,10,25.215,CLE,@,PHI,W 26-7,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0
51,1994,1994-11-20,11,25.222,CLE,@,KAN,L 13-20,6,3,51,17.00,1,50.0%,8.50,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
52,1994,1994-11-27,12,25.229,CLE,,HOU,W 34-10,9,3,50,16.67,0,33.3%,5.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0
53,1994,1994-12-04,13,25.236,CLE,,NYG,L 13-16,6,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,,
54,1994,1994-12-10,14,25.242,CLE,@,DAL,W 19-14,11,6,74,12.33,1,54.5%,6.73,0,0,,0,0,0,,0,0,0,,0,,,,1,6
55,1994,1994-12-18,15,25.250,CLE,@,PIT,L 7-17,10,2,25,12.50,0,20.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
56,1994,1994-12-24,16,25.256,CLE,,SEA,W 35-9,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,,
57,1995,1995-09-03,1,26.144,CLE,@,NWE,L 14-17,9,7,157,22.43,2,77.8%,17.44,0,0,,0,0,0,,0,0,0,,0,,,,2,12
58,1995,1995-09-17,3,26.158,CLE,@,HOU,W 14-7,5,2,45,22.50,1,40.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,1,6
59,1995,1995-09-24,4,26.165,CLE,,KAN,W 35-17,6,1,8,8.00,0,16.7%,1.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0
60,1995,1995-10-02,5,26.173,CLE,,BUF,L 19-22,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0
61,1995,1995-10-08,6,26.179,CLE,@,DET,L 20-38,7,3,54,18.00,1,42.9%,7.71,0,0,,0,0,0,,0,0,0,,0,,,,1,6
62,1995,1995-11-05,9,26.207,CLE,,HOU,L 10-37,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0
63,1995,1995-11-13,10,26.215,CLE,@,PIT,L 3-20,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0
64,1995,1995-11-19,11,26.221,CLE,,GNB,L 20-31,9,5,83,16.60,2,55.6%,9.22,0,0,,0,0,0,,0,0,0,,0,,,,2,12
65,1995,1995-11-26,12,26.228,CLE,,PIT,L 17-20,7,6,42,7.00,1,85.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,1,6
66,1995,1995-12-03,13,26.235,CLE,@,SDG,L 13-31,7,3,51,17.00,1,42.9%,7.29,0,0,,0,0,0,,0,0,0,,0,,,,1,6
67,1995,1995-12-09,14,26.241,CLE,@,MIN,L 11-27,8,3,45,15.00,0,37.5%,5.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0
68,1995,1995-12-17,15,26.249,CLE,,CIN,W 26-10,4,3,61,20.33,0,75.0%,15.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0
69,1995,1995-12-24,16,26.256,CLE,@,JAX,L 21-24,9,7,130,18.57,1,77.8%,14.44,0,0,,0,0,0,,0,0,0,,0,,,,1,6
70,1996,1996-09-01,1,27.142,BAL,,OAK,W 19-14,4,3,60,20.00,0,75.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
71,1996,1996-09-08,2,27.149,BAL,@,PIT,L 17-31,6,3,46,15.33,0,50.0%,7.67,0,0,,0,0,0,,0,0,0,,,,,,0,0
72,1996,1996-09-15,3,27.156,BAL,@,HOU,L 13-29,11,6,86,14.33,1,54.5%,7.82,0,0,,0,0,0,,0,0,0,,,,,,1,6
73,1996,1996-09-29,4,27.170,BAL,,NOR,W 17-10,6,5,61,12.20,1,83.3%,10.17,0,0,,0,0,0,,0,0,0,,,,,,1,6
74,1996,1996-10-06,5,27.177,BAL,,NWE,L 38-46,14,8,128,16.00,2,57.1%,9.14,0,0,,0,0,0,,0,0,0,,,,,,2,12
75,1996,1996-10-13,6,27.184,BAL,@,IND,L 21-26,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
76,1996,1996-10-20,7,27.191,BAL,@,DEN,L 34-45,11,7,92,13.14,2,63.6%,8.36,0,0,,0,0,0,,0,0,0,,,,,,2,12
77,1996,1996-10-27,8,27.198,BAL,,STL,W 37-31,15,7,113,16.14,1,46.7%,7.53,0,0,,0,0,0,,0,0,0,,,,,,1,6
78,1996,1996-11-03,9,27.205,BAL,,CIN,L 21-24,14,3,52,17.33,1,21.4%,3.71,0,0,,0,0,0,,0,0,0,,,,,,1,6
79,1996,1996-11-10,10,27.212,BAL,@,JAX,L 27-30,3,2,13,6.50,1,66.7%,4.33,0,0,,0,0,0,,0,0,0,,,,,,1,6
80,1996,1996-11-17,11,27.219,BAL,@,SFO,L 20-38,8,3,91,30.33,1,37.5%,11.38,0,0,,0,0,0,,0,0,0,,,,,,1,6
81,1996,1996-11-24,12,27.226,BAL,,JAX,L 25-28,15,9,150,16.67,0,60.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
82,1996,1996-12-01,13,27.233,BAL,,PIT,W 31-17,4,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
83,1996,1996-12-08,14,27.240,BAL,@,CIN,L 14-21,12,7,81,11.57,0,58.3%,6.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
84,1996,1996-12-15,15,27.247,BAL,@,CAR,L 16-27,11,5,65,13.00,1,45.5%,5.91,0,0,,0,0,0,,0,0,0,,,,,,1,6
85,1996,1996-12-22,16,27.254,BAL,,HOU,L 21-24,8,5,117,23.40,3,62.5%,14.63,0,0,,0,0,0,,0,0,0,,,,,,3,18
86,1997,1997-08-31,1,28.141,BAL,,JAX,L 27-28,16,8,143,17.88,1,50.0%,8.94,0,0,,0,0,0,,0,0,0,,,,,,1,6
87,1997,1997-09-07,2,28.148,BAL,,CIN,W 23-10,10,6,85,14.17,0,60.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
88,1997,1997-09-14,3,28.155,BAL,@,NYG,W 24-23,6,5,72,14.40,1,83.3%,12.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
89,1997,1997-09-21,4,28.162,BAL,@,TEN,W 36-10,7,4,73,18.25,0,57.1%,10.43,0,0,,0,0,0,,0,0,0,,,,,,0,0
90,1997,1997-09-28,5,28.169,BAL,@,SDG,L 17-21,12,3,24,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
91,1997,1997-10-05,6,28.176,BAL,,PIT,L 34-42,12,3,30,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
92,1997,1997-10-19,7,28.190,BAL,,MIA,L 13-24,11,7,85,12.14,0,63.6%,7.73,0,0,,0,0,0,,0,0,0,,,,,,0,0
93,1997,1997-10-26,8,28.197,BAL,@,WAS,W 20-17,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
94,1997,1997-11-02,9,28.204,BAL,@,NYJ,L 16-19,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0
95,1997,1997-11-09,10,28.211,BAL,@,PIT,L 0-37,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
96,1997,1997-11-16,11,28.218,BAL,,PHI,T 10-10,6,2,37,18.50,1,33.3%,6.17,0,0,,0,0,0,,0,0,0,,,,,,1,6
97,1997,1997-11-23,12,28.225,BAL,,ARI,L 13-16,7,4,56,14.00,0,57.1%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
98,1997,1997-11-30,13,28.232,BAL,@,JAX,L 27-29,9,5,50,10.00,0,55.6%,5.56,0,0,,0,0,0,,0,0,0,,,,,,0,0
99,1997,1997-12-07,14,28.239,BAL,,SEA,W 31-24,8,4,40,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
100,1997,1997-12-14,15,28.246,BAL,,TEN,W 21-19,8,4,56,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
101,1997,1997-12-21,16,28.253,BAL,@,CIN,L 14-16,12,7,94,13.43,0,58.3%,7.83,0,0,,0,0,0,,0,0,0,,,,,,0,0
102,1998,1998-09-06,1,29.147,BAL,,PIT,L 13-20,12,6,51,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
103,1998,1998-09-13,2,29.154,BAL,@,NYJ,W 24-10,3,2,50,25.00,0,66.7%,16.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
104,1998,1998-09-20,3,29.161,BAL,@,JAX,L 10-24,8,1,15,15.00,0,12.5%,1.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
105,1998,1998-09-27,4,29.168,BAL,,CIN,W 31-24,6,4,80,20.00,0,66.7%,13.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
106,1998,1998-10-18,6,29.189,BAL,@,PIT,L 6-16,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
107,1998,1998-10-25,7,29.196,BAL,@,GNB,L 10-28,8,2,63,31.50,0,25.0%,7.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
108,1998,1998-11-01,8,29.203,BAL,,JAX,L 19-45,7,5,40,8.00,0,71.4%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
109,1998,1998-11-08,9,29.210,BAL,,OAK,W 13-10,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
110,1998,1998-11-15,10,29.217,BAL,@,SDG,L 13-14,8,3,17,5.67,0,37.5%,2.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
111,1998,1998-11-22,11,29.224,BAL,@,CIN,W 20-13,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
112,1998,1998-12-13,14,29.245,BAL,,MIN,L 28-38,,,,,,0.0%,,,,,,,,,,,,,,,,,,
113,1998,1998-12-20,15,29.252,BAL,@,CHI,L 3-24,11,7,72,10.29,0,63.6%,6.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
