ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1986,1986-09-07,1,24.293,SEA,,PIT,W 30-0,5,207,41.40,0
2,1986,1986-09-14,2,24.300,SEA,,KAN,W 23-17,4,164,41.00,0
3,1986,1986-09-21,3,24.307,SEA,@,NWE,W 38-31,8,289,36.13,0
4,1986,1986-09-28,4,24.314,SEA,@,WAS,L 14-19,7,284,40.57,0
5,1986,1986-10-06,5,24.322,SEA,,SDG,W 33-7,2,72,36.00,0
6,1986,1986-10-12,6,24.328,SEA,@,RAI,L 10-14,7,292,41.71,0
7,1986,1986-10-19,7,24.335,SEA,,NYG,W 17-12,5,194,38.80,0
8,1986,1986-10-26,8,24.342,SEA,@,DEN,L 13-20,8,361,45.13,0
9,1986,1986-11-02,9,24.349,SEA,,NYJ,L 7-38,7,263,37.57,0
10,1986,1986-11-09,10,24.356,SEA,@,KAN,L 7-27,11,380,34.55,0
11,1986,1986-11-16,11,24.363,SEA,@,CIN,L 7-34,3,117,39.00,0
12,1986,1986-11-23,12,25.005,SEA,,PHI,W 24-20,4,127,31.75,0
13,1986,1986-11-27,13,25.009,SEA,@,DAL,W 31-14,2,67,33.50,0
14,1986,1986-12-08,14,25.020,SEA,,RAI,W 37-0,2,73,36.50,0
15,1986,1986-12-14,15,25.026,SEA,@,SDG,W 34-24,2,82,41.00,0
16,1986,1986-12-20,16,25.032,SEA,,DEN,W 41-16,2,76,38.00,0
17,1987,1987-10-04,3,25.320,RAI,,KAN,W 35-17,1,40,40.00,1
18,1987,1987-10-12,4,25.328,RAI,@,DEN,L 14-30,6,222,37.00,0
19,1987,1987-10-18,5,25.334,RAI,,SDG,L 17-23,6,257,42.83,0
