ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-09-06,1,23.159,ATL,,NOR,W 27-0,3,3,100.0,,1,0.0,0,3,0,0,,0
2,1981,1981-09-13,2,23.166,ATL,@,GNB,W 31-17,4,4,100.0,1,2,50.0,0,7,0,0,,0
3,1981,1981-09-20,3,23.173,ATL,,SFO,W 34-17,4,4,100.0,2,3,66.7,0,10,0,0,,0
4,1981,1981-09-27,4,23.180,ATL,@,CLE,L 17-28,2,2,100.0,1,1,100.0,0,5,0,0,,0
5,1981,1981-10-05,5,23.188,ATL,@,PHI,L 13-16,1,1,100.0,2,3,66.7,0,7,0,0,,0
6,1981,1981-10-11,6,23.194,ATL,,RAM,L 35-37,5,5,100.0,,,,0,5,,,,
7,1981,1981-10-18,7,23.201,ATL,,STL,W 41-20,5,5,100.0,2,2,100.0,0,11,0,0,,0
8,1981,1981-10-25,8,23.208,ATL,,NYG,L 24-27,3,3,100.0,1,2,50.0,0,6,0,0,,0
9,1981,1981-11-01,9,23.215,ATL,@,NOR,W 41-10,5,5,100.0,2,2,100.0,0,11,0,0,,0
10,1981,1981-11-08,10,23.222,ATL,@,SFO,L 14-17,2,2,100.0,,1,0.0,0,2,0,0,,0
11,1981,1981-11-15,11,23.229,ATL,,PIT,L 20-34,2,2,100.0,2,3,66.7,0,8,0,0,,0
12,1981,1981-11-23,12,23.237,ATL,,MIN,W 31-30,4,4,100.0,1,1,100.0,0,7,0,0,,0
13,1981,1981-11-29,13,23.243,ATL,@,HOU,W 31-27,4,4,100.0,1,3,33.3,0,7,0,0,,0
14,1981,1981-12-06,14,23.250,ATL,@,TAM,L 23-24,2,2,100.0,3,4,75.0,0,11,0,0,,0
15,1981,1981-12-14,15,23.258,ATL,@,RAM,L 16-21,1,1,100.0,3,3,100.0,0,10,0,0,,0
16,1981,1981-12-20,16,23.264,ATL,,CIN,L 28-30,4,4,100.0,,2,0.0,0,4,0,0,,0
17,1982,1982-09-12,1,24.165,ATL,@,NYG,W 16-14,1,2,50.0,1,1,100.0,0,4,0,0,,0
18,1982,1982-09-19,2,24.172,ATL,,RAI,L 14-38,2,2,100.0,,,,0,2,,,,
19,1982,1982-11-21,3,24.235,ATL,,RAM,W 34-17,4,4,100.0,2,3,66.7,0,10,0,0,,0
20,1982,1982-11-28,4,24.242,ATL,,STL,L 20-23,2,2,100.0,2,3,66.7,0,8,0,0,,0
21,1982,1982-12-05,5,24.249,ATL,@,DEN,W 34-27,4,4,100.0,2,2,100.0,0,10,0,0,,0
22,1982,1982-12-12,6,24.256,ATL,,NOR,W 35-0,5,5,100.0,,1,0.0,0,5,0,0,,0
23,1982,1982-12-19,7,24.263,ATL,@,SFO,W 17-7,2,2,100.0,1,2,50.0,0,5,0,0,,0
24,1982,1982-12-26,8,24.270,ATL,,GNB,L 7-38,1,1,100.0,,,,0,1,,,,
25,1982,1983-01-02,9,24.277,ATL,@,NOR,L 6-35,,,,2,2,100.0,0,6,0,0,,0
26,1983,1983-09-04,1,25.157,ATL,@,CHI,W 20-17,2,3,66.7,,,,0,2,,,,
27,1983,1983-09-11,2,25.164,ATL,,NYG,L 13-16,1,1,100.0,2,2,100.0,0,7,0,0,,0
28,1983,1983-09-18,3,25.171,ATL,@,DET,W 30-14,3,3,100.0,3,4,75.0,0,12,0,0,,0
29,1983,1983-09-25,4,25.178,ATL,@,SFO,L 20-24,2,3,66.7,,,,0,2,,,,
30,1983,1983-10-02,5,25.185,ATL,,PHI,L 24-28,3,3,100.0,1,2,50.0,0,6,0,0,,0
31,1983,1983-10-09,6,25.192,ATL,,NOR,L 17-19,2,2,100.0,1,2,50.0,0,5,0,0,,0
32,1983,1983-10-16,7,25.199,ATL,@,RAM,L 21-27,3,3,100.0,,,,0,3,,,,
33,1983,1983-10-23,8,25.206,ATL,@,NYJ,W 27-21,3,3,100.0,2,2,100.0,0,9,0,0,,0
