ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.289,SDG,,CAR,L 24-26,*,3,6,2.00,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,22.296,SDG,@,DEN,L 38-39,*,1,1,1.00,0,3,2,68,34.00,0,66.7%,22.67,0,0,,0,,0,0,0.0,1,0
3,2008,2008-09-22,3,22.304,SDG,,NYJ,W 48-29,*,0,0,,0,4,4,17,4.25,1,100.0%,4.25,0,0,,0,,1,6,0.0,0,0
4,2008,2008-09-28,4,22.310,SDG,@,OAK,W 28-18,*,1,11,11.00,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,22.317,SDG,@,MIA,L 10-17,,,,,,,,,,,0.0%,,,,,,,,,,,
6,2008,2008-10-12,6,22.324,SDG,,NWE,W 30-10,,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
7,2008,2008-10-19,7,22.331,SDG,@,BUF,L 14-23,*,,,,,,,,,,0.0%,,,,,,,,,,,
8,2008,2008-10-26,8,22.338,SDG,@,NOR,L 32-37,*,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,22.352,SDG,,KAN,W 20-19,,0,0,,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,22.359,SDG,@,PIT,L 10-11,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,23.000,SDG,,IND,L 20-23,*,,,,,1,,,,,0.0%,,,,,,,,,,,
12,2008,2008-12-21,15,23.028,SDG,@,TAM,W 41-24,,,,,,,,,,,0.0%,,,,,,,,,,,
13,2008,2008-12-28,16,23.035,SDG,,DEN,W 52-21,,,,,,,,,,,0.0%,,,,,,,,,,,
14,2009,2009-09-14,1,23.295,SDG,@,OAK,W 24-20,,,,,,,,,,,0.0%,,,,,,,,,,,
15,2009,2009-09-20,2,23.301,SDG,,BAL,L 26-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
16,2009,2009-09-27,3,23.308,SDG,,MIA,W 23-13,,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
17,2009,2009-10-04,4,23.315,SDG,@,PIT,L 28-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
18,2009,2009-10-19,5,23.330,SDG,,DEN,L 23-34,,0,0,,0,2,2,40,20.00,0,100.0%,20.00,0,0,,0,,0,0,0.0,0,1
19,2009,2009-10-25,6,23.336,SDG,@,KAN,W 37-7,*,0,0,,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0,0.0,0,0
20,2009,2009-11-01,7,23.343,SDG,,OAK,W 24-16,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
21,2009,2009-11-08,8,23.350,SDG,@,NYG,W 21-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
22,2009,2009-11-15,9,23.357,SDG,,PHI,W 31-23,,0,0,,0,2,2,25,12.50,1,100.0%,12.50,0,0,,0,,1,6,0.0,0,0
23,2009,2009-11-22,10,23.364,SDG,@,DEN,W 32-3,,7,58,8.29,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,0,0
24,2009,2009-11-29,11,24.006,SDG,,KAN,W 43-14,,4,19,4.75,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0.0,0,0
25,2009,2009-12-06,12,24.013,SDG,@,CLE,W 30-23,,0,0,,0,1,1,66,66.00,1,100.0%,66.00,0,0,,0,,1,6,0.0,0,0
26,2009,2009-12-13,13,24.020,SDG,@,DAL,W 20-17,*,0,0,,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,0,0,0.0,0,0
27,2009,2009-12-20,14,24.027,SDG,,CIN,W 27-24,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,1
28,2009,2009-12-25,15,24.032,SDG,@,TEN,W 42-17,,11,60,5.45,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,1
29,2009,2010-01-03,16,24.041,SDG,,WAS,W 23-20,*,0,0,,0,5,3,9,3.00,1,60.0%,1.80,0,0,,0,,1,6,0.0,0,0
30,2010,2010-09-13,1,24.294,SDG,@,KAN,L 14-21,,2,26,13.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
31,2010,2010-09-19,2,24.300,SDG,,JAX,W 38-13,,16,82,5.13,2,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,2,12,0.0,0,0
32,2010,2010-09-26,3,24.307,SDG,@,SEA,L 20-27,,17,73,4.29,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,,0,0,0.0,1,0
33,2010,2010-10-03,4,24.314,SDG,,ARI,W 41-10,*,16,100,6.25,1,2,2,3,1.50,0,100.0%,1.50,0,0,,0,,1,6,0.0,0,2
34,2010,2010-10-10,5,24.321,SDG,@,OAK,L 27-35,*,12,11,0.92,1,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,1,6,0.0,0,0
35,2010,2010-10-17,6,24.328,SDG,@,STL,L 17-20,,3,3,1.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
36,2010,2010-10-24,7,24.335,SDG,,NWE,L 20-23,,2,5,2.50,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,1,6,0.0,0,0
37,2010,2010-10-31,8,24.342,SDG,,TEN,W 33-25,,11,63,5.73,1,4,4,27,6.75,0,100.0%,6.75,0,0,,0,,1,6,0.0,0,1
