ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1955,1955-09-24,1,23.017,PHI,,NYG,W 27-17,1,19,19.00,0,6,20,3.33,0,,,,,,,,,,,0,
2,1955,1955-10-01,2,23.024,PHI,,WAS,L 30-31,1,6,6.00,0,3,7,2.33,0,,,,,,,,,,,0,
3,1955,1955-10-09,3,23.032,PHI,@,CLE,L 17-21,0,0,,0,4,7,1.75,0,,,,,,,,,,,0,
4,1955,1955-10-15,4,23.038,PHI,@,PIT,L 7-13,0,0,,0,3,3,1.00,0,,,,,,,,,,,0,
5,1955,1955-10-30,6,23.053,PHI,,PIT,W 24-0,1,2,2.00,0,0,0,,0,,,,,,,,,,,0,
6,1955,1955-11-06,7,23.060,PHI,@,WAS,L 21-34,4,14,3.50,0,0,0,,0,,,,,,,,,,,0,
7,1955,1955-11-13,8,23.067,PHI,,CLE,W 33-17,0,0,,0,1,1,1.00,0,,,,,,,,,,,0,
8,1955,1955-11-27,10,23.081,PHI,,RAM,L 21-23,0,0,,0,4,10,2.50,0,,,,,,,,,,,0,
9,1955,1955-12-04,11,23.088,PHI,,CRD,W 27-3,1,7,7.00,0,3,8,2.67,1,,,,,,,,,,,1,
10,1955,1955-12-11,12,23.095,PHI,@,CHI,L 10-17,0,0,,0,4,11,2.75,0,,,,,,,,,,,0,
11,1956,1956-09-30,1,24.023,PHI,@,RAM,L 7-27,1,1,1.00,0,1,0,0.00,0,,,,,,,,,,,0,
12,1956,1956-10-14,3,24.037,PHI,@,PIT,W 35-21,0,0,,0,1,3,3.00,0,,,,,,,,,,,0,
13,1956,1956-10-21,4,24.044,PHI,,CRD,L 6-20,0,0,,0,2,11,5.50,0,,,,,,,,,,,0,
14,1956,1956-10-28,5,24.051,PHI,@,NYG,L 3-20,2,33,16.50,0,0,0,,0,,,,,,,,,,,0,
15,1956,1956-11-04,6,24.058,PHI,@,CRD,L 17-28,1,7,7.00,0,12,26,2.17,1,,,,,,,,,,,1,
16,1956,1956-11-11,7,24.065,PHI,,PIT,W 14-7,0,0,,0,10,30,3.00,0,,,,,,,,,,,0,
17,1956,1956-11-18,8,24.072,PHI,,CLE,L 0-16,1,6,6.00,0,5,16,3.20,0,,,,,,,,,,,0,
18,1956,1956-12-02,10,24.086,PHI,@,CLE,L 14-17,1,4,4.00,0,11,51,4.64,0,,,,,,,,,,,0,
19,1956,1956-12-09,11,24.093,PHI,@,WAS,L 17-19,1,9,9.00,0,6,11,1.83,0,,,,,,,,,,,0,
20,1956,1956-12-15,12,24.099,PHI,,NYG,L 7-21,1,3,3.00,0,4,14,3.50,0,,,,,,,,,,,0,
21,1957,1957-10-13,3,25.036,PHI,@,CLE,L 7-24,1,-5,-5.00,0,0,0,,0,,,,,,,,,,,0,
22,1957,1957-11-24,9,25.078,PHI,,WAS,W 21-12,2,28,14.00,1,0,0,,0,,,,,,,,,,,1,
23,1957,1957-12-01,10,25.085,PHI,,PIT,W 7-6,3,25,8.33,1,0,0,,0,,,,,,,,,,,1,
24,1957,1957-12-14,12,25.098,PHI,,CRD,L 27-31,2,33,16.50,0,0,0,,0,,,,,,,,,,,0,
25,1958,1958-10-19,4,26.042,PHI,,SFO,L 24-30,3,43,14.33,0,0,0,,0,,,,,,,,,,,0,
26,1958,1958-10-26,5,26.049,PHI,@,GNB,L 35-38,6,69,11.50,0,0,0,,0,,,,,,,,,,,0,
27,1958,1958-11-02,6,26.056,PHI,@,CRD,T 21-21,6,53,8.83,1,0,0,,0,,,,,,,,,,,1,
28,1958,1958-11-09,7,26.063,PHI,,PIT,L 24-31,3,37,12.33,0,0,0,,0,,,,,,,,,,,0,
29,1958,1958-11-16,8,26.070,PHI,,CRD,W 49-21,1,11,11.00,0,0,0,,0,,,,,,,,,,,0,
30,1958,1958-11-23,9,26.077,PHI,@,CLE,L 14-28,3,14,4.67,0,0,0,,0,,,,,,,,,,,0,
31,1958,1958-12-07,11,26.091,PHI,,CLE,L 14-21,1,7,7.00,0,0,0,,0,,,,,,,,,,,0,
32,1959,1959-09-27,1,27.020,PHI,@,SFO,L 14-24,3,53,17.67,1,0,0,,0,,,,,,,,,,,1,
33,1959,1959-10-04,2,27.027,PHI,,NYG,W 49-21,2,24,12.00,0,0,0,,0,,,,,,,,,,,0,
34,1959,1959-10-18,4,27.041,PHI,@,NYG,L 7-24,4,51,12.75,0,0,0,,0,,,,,,,,,,,0,
35,1959,1959-10-25,5,27.048,PHI,@,CRD,W 28-24,1,7,7.00,0,0,0,,0,,,,,,,,,,,0,
36,1959,1959-11-01,6,27.055,PHI,,WAS,W 30-23,1,31,31.00,0,0,0,,0,,,,,,,,,,,0,
37,1959,1959-11-15,8,27.069,PHI,,CRD,W 27-17,1,3,3.00,0,0,0,,0,,,,,,,,,,,0,
38,1959,1959-11-22,9,27.076,PHI,,RAM,W 23-20,1,25,25.00,0,0,0,,0,,,,,,,,,,,0,
39,1959,1959-11-29,10,27.083,PHI,@,PIT,L 0-31,1,57,57.00,0,0,0,,0,,,,,,,,,,,0,
40,1959,1959-12-13,12,27.097,PHI,,CLE,L 21-28,1,13,13.00,0,0,0,,0,,,,,,,,,,,0,
41,1960,1960-09-24,1,28.017,DAL,,PIT,L 28-35,1,15,15.00,0,0,0,,0,0,0,,0,,,,,,,0,0
42,1960,1960-10-09,3,28.032,DAL,@,WAS,L 14-26,1,1,1.00,1,0,0,,0,0,0,,0,,,,,,,1,6
43,1960,1960-10-16,4,28.039,DAL,,CLE,L 7-48,0,0,,0,0,0,,0,1,4,4.00,0,,,,,,,0,0
44,1960,1960-11-06,7,28.060,DAL,,RAM,L 13-38,2,22,11.00,0,0,0,,0,0,0,,0,,,,,,,0,0
45,1961,1961-09-17,1,29.010,DAL,,PIT,W 27-24,3,35,11.67,1,0,0,,0,0,0,,0,,,,,,,1,6
46,1961,1961-09-24,2,29.017,DAL,,MIN,W 21-7,1,15,15.00,0,0,0,,0,0,0,,0,,,,,,,0,0
47,1961,1961-10-01,3,29.024,DAL,@,CLE,L 7-25,1,23,23.00,0,0,0,,0,0,0,,0,,,,,,,0,0
