ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-12-15,14,25.033,MIN,,PHI,W 48-30,,0,0,,0,0,0,0,,0,0.0%,,1,6,6.00,0,0.0,0,0
2,2013,2013-12-22,15,25.040,MIN,@,CIN,L 14-42,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,1,0
3,2013,2013-12-29,16,25.047,MIN,,DET,W 14-13,,,,,,,,,,,0.0%,,,,,,,,
4,2014,2014-09-14,2,25.306,MIN,,NWE,L 7-30,,,,,,,,,,,0.0%,,,,,,,,
5,2014,2014-09-21,3,25.313,MIN,@,NOR,L 9-20,,,,,,,,,,,0.0%,,,,,,,,
6,2014,2014-09-28,4,25.320,MIN,,ATL,W 41-28,,,,,,,,,,,0.0%,,,,,,,,
7,2014,2014-10-02,5,25.324,MIN,@,GNB,L 10-42,,0,0,,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0.0,0,0
8,2014,2014-10-12,6,25.334,MIN,,DET,L 3-17,,,,,,,,,,,0.0%,,,,,,,,
9,2014,2014-10-19,7,25.341,MIN,@,BUF,L 16-17,,,,,,,,,,,0.0%,,,,,,,,
10,2014,2014-10-26,8,25.348,MIN,@,TAM,W 19-13,,,,,,,,,,,0.0%,,,,,,,,
11,2014,2014-11-02,9,25.355,MIN,,WAS,W 29-26,,,,,,,,,,,0.0%,,,,,,,,
12,2014,2014-11-16,10,26.004,MIN,@,CHI,L 13-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
13,2014,2014-11-23,11,26.011,MIN,,GNB,L 21-24,,5,26,5.20,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0.0,0,0
14,2014,2014-11-30,12,26.018,MIN,,CAR,W 31-13,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
15,2014,2014-12-07,13,26.025,MIN,,NYJ,W 30-24,,1,9,9.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
16,2014,2014-12-14,14,26.032,MIN,@,DET,L 14-16,,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
17,2014,2014-12-21,15,26.039,MIN,@,MIA,L 35-37,,5,23,4.60,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0.0,0,0
18,2014,2014-12-28,16,26.046,MIN,,CHI,W 13-9,,6,20,3.33,0,2,1,11,11.00,0,50.0%,5.50,1,8,8.00,0,0.0,1,0
19,2015,2015-12-06,12,27.024,JAX,@,TEN,L 39-42,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
20,2015,2015-12-13,13,27.031,JAX,,IND,W 51-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
21,2015,2015-12-20,14,27.038,JAX,,ATL,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
22,2015,2015-12-27,15,27.045,JAX,@,NOR,L 27-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
23,2015,2016-01-03,16,27.052,JAX,@,HOU,L 6-30,,0,0,,0,0,0,0,,0,0.0%,,2,21,10.50,0,0.0,0,0
24,2016,2017-01-01,16,28.050,JAX,@,IND,L 20-24,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
25,2017,2017-09-10,1,28.302,BUF,,NYJ,W 21-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
26,2017,2017-10-08,5,28.330,BUF,@,CIN,L 16-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
27,2017,2017-10-29,7,28.351,BUF,,OAK,W 34-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
