ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1983,1983-09-04,1,23.002,RAM,@,NYG,W 16-6,31,91,2.94,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
2,1983,1983-09-11,2,23.009,RAM,,NOR,W 30-27,18,88,4.89,3,,4,40,10.00,0,,,0,0,,0,0,0,,,,,,3,18
3,1983,1983-09-18,3,23.016,RAM,@,GNB,L 24-27,20,75,3.75,1,,6,36,6.00,0,,,0,0,,0,0,0,,,,,,1,6
4,1983,1983-09-25,4,23.023,RAM,@,NYJ,L 24-27,28,192,6.86,2,,5,45,9.00,0,,,0,0,,0,0,0,,,,,,2,12
5,1983,1983-10-02,5,23.030,RAM,,DET,W 21-10,30,199,6.63,3,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,3,18
6,1983,1983-10-09,6,23.037,RAM,@,SFO,W 10-7,22,142,6.45,1,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,1,6
7,1983,1983-10-16,7,23.044,RAM,,ATL,W 27-21,29,64,2.21,2,,5,48,9.60,0,,,0,0,,0,0,0,,,,,,2,12
8,1983,1983-10-23,8,23.051,RAM,,SFO,L 35-45,25,144,5.76,0,,3,46,15.33,2,,,0,0,,0,0,0,,,,,,2,12
9,1983,1983-10-30,9,23.058,RAM,@,MIA,L 14-30,14,101,7.21,1,,8,60,7.50,0,,,0,0,,0,0,0,,,,,,1,6
10,1983,1983-11-06,10,23.065,RAM,,CHI,W 21-14,34,127,3.74,2,,2,17,8.50,0,,,0,0,,0,0,0,,,,,,2,12
11,1983,1983-11-14,11,23.073,RAM,@,ATL,W 36-13,21,146,6.95,2,,6,40,6.67,0,,,0,0,,0,0,0,,,,,,2,12
12,1983,1983-11-20,12,23.079,RAM,,WAS,L 20-42,12,37,3.08,0,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0
13,1983,1983-11-27,13,23.086,RAM,,BUF,W 41-17,32,125,3.91,1,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,1,6
14,1983,1983-12-04,14,23.093,RAM,@,PHI,L 9-13,28,103,3.68,0,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0
15,1983,1983-12-11,15,23.100,RAM,,NWE,L 7-21,27,94,3.48,0,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,0,0
16,1983,1983-12-18,16,23.107,RAM,@,NOR,W 26-24,19,80,4.21,0,,3,16,5.33,0,,,0,0,,0,0,0,,,,,,0,0
17,1984,1984-09-03,1,24.001,RAM,,DAL,L 13-20,21,138,6.57,1,,2,20,10.00,0,,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,6
18,1984,1984-09-09,2,24.007,RAM,,CLE,W 20-17,27,102,3.78,0,,2,9,4.50,0,,,0,0,,0,0,0,,0,,,,0,0
19,1984,1984-09-16,3,24.014,RAM,@,PIT,L 14-24,23,49,2.13,0,,3,16,5.33,0,,,0,0,,0,0,0,,0,,,,0,0
20,1984,1984-09-23,4,24.021,RAM,@,CIN,W 24-14,22,89,4.05,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,6
21,1984,1984-09-30,5,24.028,RAM,,NYG,W 33-12,22,120,5.45,0,,3,27,9.00,0,,,0,0,,0,0,0,,0,,,,0,0
22,1984,1984-10-07,6,24.035,RAM,,ATL,L 28-30,19,107,5.63,2,,1,17,17.00,0,,,0,0,,0,0,0,,0,,,,2,12
23,1984,1984-10-14,7,24.042,RAM,@,NOR,W 28-10,20,175,8.75,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
24,1984,1984-10-22,8,24.050,RAM,@,ATL,W 24-10,24,145,6.04,1,,1,2,2.00,0,,,0,0,,0,0,0,,0,,,,1,6
25,1984,1984-10-28,9,24.056,RAM,,SFO,L 0-33,13,38,2.92,0,,3,19,6.33,0,,,0,0,,0,0,0,,0,,,,0,0
26,1984,1984-11-04,10,24.063,RAM,@,STL,W 16-13,21,208,9.90,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
27,1984,1984-11-11,11,24.070,RAM,,CHI,W 29-13,28,149,5.32,2,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,12
28,1984,1984-11-18,12,24.077,RAM,@,GNB,L 6-31,25,132,5.28,0,,3,14,4.67,0,,,0,0,,0,0,0,,0,,,,0,0
29,1984,1984-11-25,13,24.084,RAM,@,TAM,W 34-33,28,191,6.82,3,,1,3,3.00,0,,,0,0,,0,0,0,,0,,,,3,18
30,1984,1984-12-02,14,24.091,RAM,,NOR,W 34-21,33,149,4.52,1,,1,6,6.00,0,,,0,0,,0,0,0,,0,,,,1,6
31,1984,1984-12-09,15,24.098,RAM,,HOU,W 27-16,27,215,7.96,2,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,12
32,1984,1984-12-14,16,24.103,RAM,@,SFO,L 16-19,26,98,3.77,1,,1,6,6.00,0,,,0,0,,0,0,0,,0,,,,1,6
33,1985,1985-09-23,3,25.021,RAM,@,SEA,W 35-24,31,150,4.84,3,,1,33,33.00,0,,,0,0,,0,0,0,,,,,,3,18
34,1985,1985-09-29,4,25.027,RAM,,ATL,W 17-6,7,26,3.71,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,0,0
35,1985,1985-10-06,5,25.034,RAM,,MIN,W 13-10,25,55,2.20,1,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,1,6
36,1985,1985-10-13,6,25.041,RAM,@,TAM,W 31-27,25,75,3.00,1,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,1,6
37,1985,1985-10-20,7,25.048,RAM,@,KAN,W 16-0,26,68,2.62,1,,6,41,6.83,0,,,0,0,,0,0,0,,,,,,1,6
38,1985,1985-10-27,8,25.055,RAM,,SFO,L 14-28,12,61,5.08,0,,3,12,4.00,0,,,0,0,,0,0,0,,,,,,0,0
39,1985,1985-11-03,9,25.062,RAM,,NOR,W 28-10,23,108,4.70,1,,1,0,0.00,0,,,0,0,,0,0,0,,,,,,1,6
40,1985,1985-11-10,10,25.069,RAM,@,NYG,L 19-24,24,101,4.21,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
41,1985,1985-11-17,11,25.076,RAM,@,ATL,L 14-30,11,41,3.73,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
42,1985,1985-11-24,12,25.083,RAM,,GNB,W 34-17,31,150,4.84,1,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,1,6
43,1985,1985-12-01,13,25.090,RAM,@,NOR,L 3-29,16,80,5.00,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,0,0
44,1985,1985-12-09,14,25.098,RAM,@,SFO,W 27-20,16,97,6.06,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0
45,1985,1985-12-15,15,25.104,RAM,,STL,W 46-14,20,124,6.20,2,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,2,12
46,1985,1985-12-23,16,25.112,RAM,,RAI,L 6-16,25,98,3.92,0,,2,3,1.50,0,,,0,0,,0,0,0,,,,,,0,0
47,1986,1986-09-07,1,26.005,RAM,@,STL,W 16-10,38,193,5.08,2,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,12
48,1986,1986-09-14,2,26.012,RAM,,SFO,W 16-13,19,78,4.11,0,,1,-2,-2.00,0,,,0,0,,0,0,0,,0,,,,0,0
49,1986,1986-09-21,3,26.019,RAM,@,IND,W 24-7,25,121,4.84,1,,4,13,3.25,0,,,0,0,,0,0,0,,0,,,,1,6
50,1986,1986-09-28,4,26.026,RAM,@,PHI,L 20-34,17,58,3.41,0,,2,17,8.50,0,,,0,0,,0,0,0,,0,,,,0,0
51,1986,1986-10-05,5,26.033,RAM,,TAM,W 26-20,30,207,6.90,2,,2,38,19.00,0,,,0,0,,0,0,0,,0,,,,2,12
52,1986,1986-10-12,6,26.040,RAM,@,ATL,L 14-26,16,73,4.56,1,,1,28,28.00,0,,,0,0,,0,0,0,,0,,,,1,6
53,1986,1986-10-19,7,26.047,RAM,,DET,W 14-10,24,130,5.42,1,,1,-2,-2.00,0,,,0,0,,0,0,0,,0,,,,1,6
54,1986,1986-10-26,8,26.054,RAM,,ATL,W 14-7,30,170,5.67,0,,0,0,,0,,,1,1,100.00,15,1,0,158.3,0,0,15.00,35.00,0,0
55,1986,1986-11-03,9,26.062,RAM,@,CHI,W 20-17,29,111,3.83,0,,3,46,15.33,0,,,0,0,,0,0,0,,0,,,,0,0
56,1986,1986-11-09,10,26.068,RAM,@,NOR,L 0-6,20,57,2.85,0,,5,12,2.40,0,,,0,0,,0,0,0,,0,,,,0,0
57,1986,1986-11-16,11,26.075,RAM,,NWE,L 28-30,24,102,4.25,0,,2,33,16.50,0,,,0,0,,0,0,0,,0,,,,0,0
58,1986,1986-11-23,12,26.082,RAM,,NOR,W 26-13,27,116,4.30,1,,2,8,4.00,0,,,0,0,,0,0,0,,0,,,,1,6
59,1986,1986-11-30,13,26.089,RAM,@,NYJ,W 17-3,31,107,3.45,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,6
60,1986,1986-12-07,14,26.096,RAM,,DAL,W 29-10,28,106,3.79,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
61,1986,1986-12-14,15,26.103,RAM,,MIA,L 31-37,28,124,4.43,1,,3,14,4.67,0,,,0,0,,0,0,0,,0,,,,1,6
62,1986,1986-12-19,16,26.108,RAM,@,SFO,L 14-24,18,68,3.78,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,6
63,1987,1987-09-13,1,27.011,RAM,@,HOU,L 16-20,27,149,5.52,0,,1,3,3.00,0,,,0,0,,0,0,0,,,,,,0,0
64,1987,1987-09-20,2,27.018,RAM,,MIN,L 16-21,26,90,3.46,0,,4,35,8.75,0,,,0,0,,0,0,0,,,,,,0,0
65,1987,1987-10-26,6,27.054,RAM,@,CLE,L 17-30,7,38,5.43,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
66,1987,1987-11-01,7,27.060,IND,@,NYJ,W 19-14,10,38,3.80,0,,1,28,28.00,0,,,0,0,,0,0,0,,,,,,0,0
67,1987,1987-11-08,8,27.067,IND,,SDG,L 13-16,35,138,3.94,0,,1,-4,-4.00,0,,,0,0,,0,0,0,,,,,,0,0
68,1987,1987-11-15,9,27.074,IND,@,MIA,W 40-21,30,154,5.13,1,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,1,6
69,1987,1987-11-22,10,27.081,IND,@,NWE,L 0-24,27,117,4.33,0,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0
70,1987,1987-11-29,11,27.088,IND,,HOU,W 51-27,27,136,5.04,2,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,2,12
71,1987,1987-12-06,12,27.095,IND,@,CLE,W 9-7,27,98,3.63,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
72,1987,1987-12-13,13,27.102,IND,,BUF,L 3-27,11,19,1.73,0,,2,31,15.50,0,,,0,0,,0,0,0,,,,,,0,0
73,1987,1987-12-20,14,27.109,IND,@,SDG,W 20-7,23,115,5.00,0,,4,20,5.00,0,,,0,0,,0,0,0,,,,,,0,0
74,1987,1987-12-27,15,27.116,IND,,TAM,W 24-6,33,196,5.94,2,,2,33,16.50,0,,,0,0,,0,0,0,,,,,,2,12
75,1988,1988-09-04,1,28.002,IND,,HOU,L 14-17,24,109,4.54,0,,6,98,16.33,0,,,0,0,,0,0,0,,,,,,0,0
76,1988,1988-09-11,2,28.009,IND,,CHI,L 13-17,24,95,3.96,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
77,1988,1988-09-19,3,28.017,IND,@,CLE,L 17-23,22,117,5.32,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
78,1988,1988-09-25,4,28.023,IND,,MIA,W 15-13,30,125,4.17,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0
79,1988,1988-10-02,5,28.030,IND,@,NWE,L 17-21,29,118,4.07,1,,4,27,6.75,0,,,0,0,,0,0,0,,,,,,1,6
80,1988,1988-10-09,6,28.037,IND,@,BUF,L 23-34,18,66,3.67,0,,3,12,4.00,0,,,0,0,,0,0,0,,,,,,0,0
81,1988,1988-10-16,7,28.044,IND,,TAM,W 35-31,27,80,2.96,2,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,2,12
82,1988,1988-10-23,8,28.051,IND,@,SDG,W 16-0,30,169,5.63,0,,4,30,7.50,0,,,0,0,,0,0,0,,,,,,0,0
83,1988,1988-10-31,9,28.059,IND,,DEN,W 55-23,21,159,7.57,4,,0,0,,0,,,0,0,,0,0,0,,,,,,4,24
84,1988,1988-11-06,10,28.065,IND,,NYJ,W 38-14,19,58,3.05,1,,3,24,8.00,0,,,0,0,,0,0,0,,,,,,1,6
85,1988,1988-11-13,11,28.072,IND,@,GNB,W 20-13,19,69,3.63,0,,2,10,5.00,0,,,0,0,,0,0,0,,,,,,0,0
86,1988,1988-11-20,12,28.079,IND,@,MIN,L 3-12,22,72,3.27,0,,3,36,12.00,0,,,0,0,,0,0,0,,,,,,0,0
87,1988,1988-11-27,13,28.086,IND,,NWE,W 24-21,20,45,2.25,2,,0,0,,0,,,0,0,,0,0,0,,,,,,2,12
88,1988,1988-12-04,14,28.093,IND,@,MIA,W 31-28,31,169,5.45,1,,1,10,10.00,0,,,0,0,,0,0,0,,,,,,1,6
89,1988,1988-12-10,15,28.099,IND,@,NYJ,L 16-34,16,42,2.63,1,,5,90,18.00,1,,,0,0,,0,0,0,,,,,,2,12
