ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1979,1979-09-03,1,23.059,PIT,@,NWE,W 16-13,0,0,,0,1,2,50.0,1,2,50.0,0,4,0,0,,0
2,1979,1979-09-09,2,23.065,PIT,,HOU,W 38-7,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,,0
3,1979,1979-09-16,3,23.072,PIT,@,STL,W 24-21,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
4,1979,1979-09-23,4,23.079,PIT,,BAL,W 17-13,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
5,1979,1979-09-30,5,23.086,PIT,@,PHI,L 14-17,0,0,,0,2,2,100.0,,,,0,2,,,,
6,1979,1979-10-07,6,23.093,PIT,@,CLE,W 51-35,0,0,,0,6,7,85.7,1,1,100.0,0,9,0,0,,0
7,1979,1979-10-14,7,23.100,PIT,@,CIN,L 10-34,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
8,1979,1979-10-22,8,23.108,PIT,,DEN,W 42-7,0,0,,0,6,6,100.0,,,,0,6,,,,
9,1979,1979-10-28,9,23.114,PIT,,DAL,W 14-3,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,,0
10,1979,1979-11-04,10,23.121,PIT,,WAS,W 38-7,0,0,,0,5,5,100.0,1,3,33.3,0,8,0,0,,0
11,1979,1979-11-11,11,23.128,PIT,@,KAN,W 30-3,0,0,,0,3,3,100.0,3,3,100.0,0,12,0,0,,0
12,1979,1979-11-18,12,23.135,PIT,@,SDG,L 7-35,0,0,,0,1,1,100.0,,,,0,1,,,,
13,1979,1979-11-25,13,23.142,PIT,,CLE,W 33-30,0,0,,0,3,3,100.0,4,5,80.0,0,15,0,0,,0
14,1979,1979-12-02,14,23.149,PIT,,CIN,W 37-17,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,,0
15,1979,1979-12-10,15,23.157,PIT,@,HOU,L 17-20,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
16,1979,1979-12-16,16,23.163,PIT,,BUF,W 28-0,0,0,,0,4,4,100.0,,2,0.0,0,4,0,0,,0
17,1980,1980-09-07,1,24.063,PIT,,HOU,W 31-17,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
18,1980,1980-09-14,2,24.070,PIT,@,BAL,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
19,1980,1980-09-21,3,24.077,PIT,@,CIN,L 28-30,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,,0
20,1980,1980-09-28,4,24.084,PIT,,CHI,W 38-3,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
21,1980,1980-10-05,5,24.091,PIT,@,MIN,W 23-17,0,0,,0,2,3,66.7,1,3,33.3,0,5,0,0,,0
22,1980,1980-10-12,6,24.098,PIT,,CIN,L 16-17,0,0,,0,1,2,50.0,1,3,33.3,0,4,0,0,,0
23,1980,1980-10-20,7,24.106,PIT,,OAK,L 34-45,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
24,1980,1980-10-26,8,24.112,PIT,@,CLE,L 26-27,0,0,,0,2,3,66.7,2,2,100.0,0,8,0,0,,0
25,1980,1980-11-02,9,24.119,PIT,,GNB,W 22-20,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
26,1980,1980-11-09,10,24.126,PIT,@,TAM,W 24-21,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
27,1980,1980-11-16,11,24.133,PIT,,CLE,W 16-13,0,0,,0,2,2,100.0,,,,0,2,,,,
28,1980,1980-11-23,12,24.140,PIT,@,BUF,L 13-28,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
29,1980,1980-11-30,13,24.147,PIT,,MIA,W 23-10,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
30,1980,1980-12-04,14,24.151,PIT,@,HOU,L 0-6,0,0,,0,,,,,1,0.0,0,0,0,0,,0
31,1980,1980-12-14,15,24.161,PIT,,KAN,W 21-16,0,0,,0,3,3,100.0,,,,0,3,,,,
32,1980,1980-12-22,16,24.169,PIT,@,SDG,L 17-26,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
33,1981,1981-09-13,2,25.069,SFO,,CHI,W 28-17,0,0,,0,4,4,100.0,,2,0.0,0,4,0,0,,0
34,1981,1981-09-20,3,25.076,SFO,@,ATL,L 17-34,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
35,1981,1981-09-27,4,25.083,SFO,,NOR,W 21-14,0,0,,0,3,3,100.0,,,,0,3,,,,
36,1981,1981-10-04,5,25.090,SFO,@,WAS,W 30-17,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
37,1981,1981-10-11,6,25.097,CLE,@,PIT,L 7-13,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
38,1981,1981-10-18,7,25.104,CLE,,NOR,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
39,1981,1981-10-25,8,25.111,CLE,,BAL,W 42-28,0,0,,0,6,6,100.0,,,,0,6,,,,
40,1981,1981-11-01,9,25.118,CLE,@,BUF,L 13-22,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
41,1981,1981-11-08,10,25.125,CLE,@,DEN,L 20-23,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
42,1981,1981-11-15,11,25.132,CLE,@,SFO,W 15-12,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
43,1981,1981-11-22,12,25.139,CLE,,PIT,L 10-32,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,,0
44,1981,1981-11-29,13,25.146,CLE,,CIN,L 21-41,0,0,,0,3,3,100.0,,,,0,3,,,,
45,1981,1981-12-03,14,25.150,CLE,@,HOU,L 13-17,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
46,1981,1981-12-12,15,25.159,CLE,,NYJ,L 13-14,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
47,1981,1981-12-20,16,25.167,CLE,@,SEA,L 21-42,0,0,,0,3,3,100.0,,,,0,3,,,,
48,1982,1982-09-12,1,26.068,CLE,@,SEA,W 21-7,0,0,,0,3,3,100.0,,3,0.0,0,3,0,0,,0
49,1982,1982-09-19,2,26.075,CLE,,PHI,L 21-24,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
50,1982,1982-11-21,3,26.138,CLE,,NWE,W 10-7,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
51,1982,1982-11-25,4,26.142,CLE,@,DAL,L 14-31,0,0,,0,2,2,100.0,,,,0,2,,,,
52,1982,1982-12-05,5,26.152,CLE,,SDG,L 13-30,0,0,,0,1,1,100.0,2,4,50.0,0,7,0,0,,0
53,1982,1982-12-12,6,26.159,CLE,@,CIN,L 10-23,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
54,1982,1982-12-19,7,26.166,CLE,,PIT,W 10-9,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
55,1982,1982-12-26,8,26.173,CLE,@,HOU,W 20-14,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
56,1982,1983-01-02,9,26.180,CLE,@,PIT,L 21-37,0,0,,0,3,3,100.0,,,,0,3,,,,
57,1983,1983-09-04,1,27.060,CLE,,MIN,L 21-27,0,0,,0,3,3,100.0,,,,0,3,,,,
58,1983,1983-09-11,2,27.067,CLE,@,DET,W 31-26,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
59,1983,1983-09-15,3,27.071,CLE,,CIN,W 17-7,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
60,1983,1983-09-25,4,27.081,CLE,@,SDG,W 30-24,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
61,1983,1983-10-02,5,27.088,CLE,,SEA,L 9-24,0,0,,0,,1,0.0,1,2,50.0,0,3,0,0,,0
62,1983,1983-10-09,6,27.095,CLE,,NYJ,W 10-7,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
