ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1984,1984-09-02,1,23.308,HOU,,RAI,L 14-24,,,,,,,,,,,,
2,1984,1984-09-09,2,23.315,HOU,,IND,L 21-35,,,,,,,,,,,,
3,1984,1984-09-16,3,23.322,HOU,@,SDG,L 14-31,,,,,,,,,,,,
4,1984,1984-09-23,4,23.329,HOU,@,ATL,L 10-42,,,,,,,,,,,,
5,1984,1984-09-30,5,23.336,HOU,,NOR,L 10-27,,,,,,,,,,,,
6,1984,1984-10-07,6,23.343,HOU,@,CIN,L 3-13,,,,,,,,,,,,
7,1984,1984-10-14,7,23.350,HOU,@,MIA,L 10-28,,,,,,,,,,,,
8,1984,1984-10-21,8,23.357,HOU,,SFO,L 21-34,,,,,,,,,,,,
9,1984,1984-10-28,9,23.364,HOU,,CIN,L 13-31,,,,,,,,,,,,
10,1984,1984-11-04,10,24.005,HOU,@,PIT,L 7-35,0,0,,0,1,1,100.0,,1,0.0,0,1
11,1984,1984-11-11,11,24.012,HOU,@,KAN,W 17-16,0,0,,0,2,2,100.0,1,1,100.0,0,5
12,1984,1984-11-18,12,24.019,HOU,,NYJ,W 31-20,0,0,,0,4,4,100.0,1,1,100.0,0,7
13,1984,1984-11-25,13,24.026,HOU,@,CLE,L 10-27,0,0,,0,1,1,100.0,1,1,100.0,0,4
14,1984,1984-12-02,14,24.033,HOU,,PIT,W 23-20,0,0,,0,2,2,100.0,3,3,100.0,0,11
15,1984,1984-12-09,15,24.040,HOU,@,RAM,L 16-27,0,0,,0,1,1,100.0,3,3,100.0,0,10
16,1984,1984-12-16,16,24.047,HOU,,CLE,L 20-27,1,-2,-2.00,0,2,2,100.0,2,3,66.7,0,8
17,1986,1986-09-14,2,25.319,NYG,,SDG,W 20-7,0,0,,0,2,2,100.0,2,3,66.7,0,8
18,1986,1986-09-21,3,25.326,NYG,@,RAI,W 14-9,0,0,,0,2,2,100.0,,1,0.0,0,2
