ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1987,1987-10-04,3,23.329,CIN,,SDG,L 9-10,7,23,3.29,0
2,1987,1987-10-11,4,23.336,CIN,@,SEA,W 17-10,8,35,4.38,0
3,1987,1987-10-18,5,23.343,CIN,,CLE,L 0-34,3,1,0.33,0
