ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,23.275,PIT,,DAL,W 24-21,,,,,
2,1988,1988-09-11,2,23.282,PIT,@,WAS,L 29-30,,,,,
3,1988,1988-09-18,3,23.289,PIT,,CIN,L 12-17,,,,,
4,1988,1988-09-25,4,23.296,PIT,@,BUF,L 28-36,,,,,
5,1988,1988-10-02,5,23.303,PIT,,CLE,L 9-23,,,,,
6,1988,1988-10-09,6,23.310,PIT,@,PHO,L 14-31,,,,,
7,1988,1988-10-16,7,23.317,PIT,,HOU,L 14-34,,,,,
8,1988,1988-10-23,8,23.324,PIT,,DEN,W 39-21,,,,,
9,1988,1988-10-30,9,23.331,PIT,@,NYJ,L 20-24,,,,,
10,1988,1988-11-06,10,23.338,PIT,@,CIN,L 7-42,,,,,
11,1988,1988-11-20,12,23.352,PIT,@,CLE,L 7-27,,,,,
12,1988,1988-11-27,13,23.359,PIT,,KAN,W 16-10,,,,,
13,1988,1988-12-04,14,24.000,PIT,@,HOU,W 37-34,,,,,
14,1988,1988-12-11,15,24.007,PIT,@,SDG,L 14-20,,,,,
15,1988,1988-12-18,16,24.014,PIT,,MIA,W 40-24,1,6,1,28,1
16,1991,1991-09-02,1,26.272,SFO,@,NYG,L 14-16,,,,,
17,1991,1991-09-08,2,26.278,SFO,,SDG,W 34-14,,,,,
18,1991,1991-09-15,3,26.285,SFO,@,MIN,L 14-17,,,,,
19,1991,1991-09-22,4,26.292,SFO,,RAM,W 27-10,,,,,
20,1991,1991-09-29,5,26.299,SFO,@,RAI,L 6-12,,,,,
21,1991,1991-10-13,6,26.313,SFO,,ATL,L 34-39,,,,,
22,1991,1991-10-20,7,26.320,SFO,,DET,W 35-3,,,,,
23,1991,1991-10-27,8,26.327,SFO,@,PHI,W 23-7,,,,,
24,1991,1991-11-03,9,26.334,SFO,@,ATL,L 14-17,,,,,
25,1991,1991-11-10,10,26.341,SFO,@,NOR,L 3-10,,,,,
26,1991,1991-11-25,12,26.356,SFO,@,RAM,W 33-10,,,,,
27,1991,1991-12-01,13,26.362,SFO,,NOR,W 38-24,,,,,
28,1991,1991-12-08,14,27.004,SFO,@,SEA,W 24-22,,,,,
29,1991,1991-12-14,15,27.010,SFO,,KAN,W 28-14,,,,,
30,1991,1991-12-23,16,27.019,SFO,,CHI,W 52-14,,,,,
31,1992,1992-09-13,2,27.284,SFO,,BUF,L 31-34,,,,,
32,1992,1992-09-20,3,27.291,SFO,@,NYJ,W 31-14,,,,,
33,1992,1992-09-27,4,27.298,SFO,@,NOR,W 16-10,,,,,
34,1992,1992-10-04,5,27.305,SFO,,RAM,W 27-24,,,,,
35,1992,1992-10-11,6,27.312,SFO,@,NWE,W 24-12,,,,,
36,1992,1992-10-18,7,27.319,SFO,,ATL,W 56-17,,,,,
37,1992,1992-11-01,8,27.333,SFO,@,PHO,L 14-24,,,,,
38,1992,1992-11-09,9,27.341,SFO,@,ATL,W 41-3,,,,,
39,1992,1992-11-15,10,27.347,SFO,,NOR,W 21-20,,,,,
40,1992,1992-11-22,11,27.354,SFO,@,RAM,W 27-10,,,,,
41,1992,1992-11-29,12,27.361,SFO,,PHI,W 20-14,,,,,
42,1992,1992-12-06,13,28.002,SFO,,MIA,W 27-3,,,,,
43,1992,1992-12-13,14,28.009,SFO,@,MIN,W 20-17,,,,,
44,1992,1992-12-19,15,28.015,SFO,,TAM,W 21-14,,,,,
45,1992,1992-12-28,16,28.024,SFO,,DET,W 24-6,,,,,
46,1993,1993-09-19,3,28.289,SFO,,ATL,W 37-30,,,,,
47,1993,1993-09-26,4,28.296,SFO,@,NOR,L 13-16,,,,,
48,1993,1993-10-03,5,28.303,SFO,,MIN,W 38-19,,,,,
49,1993,1993-10-17,6,28.317,SFO,@,DAL,L 17-26,,,,,
50,1993,1993-10-24,7,28.324,SFO,,PHO,W 28-14,,,,,
51,1993,1993-10-31,8,28.331,SFO,,RAM,W 40-17,,,,,
52,1993,1993-11-14,9,28.345,SFO,@,TAM,W 45-21,,,,,
53,1993,1993-11-22,10,28.353,SFO,,NOR,W 42-7,,,,,
54,1993,1993-11-28,11,28.359,SFO,@,RAM,W 35-10,,,,,
55,1993,1993-12-05,12,29.001,SFO,,CIN,W 21-8,,,,,
56,1993,1993-12-11,13,29.007,SFO,@,ATL,L 24-27,,,,,
57,1993,1993-12-19,14,29.015,SFO,@,DET,W 55-17,,,,,
58,1993,1993-12-25,15,29.021,SFO,,HOU,L 7-10,,,,,
59,1993,1994-01-03,16,29.030,SFO,,PHI,L 34-37,,,,,
