ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-14,1,22.200,OAK,,SDG,L 20-24,*,4,,,,,0.0%,,,,,,,,,,,
2,2009,2009-09-20,2,22.206,OAK,@,KAN,W 13-10,*,6,1,18,18.00,0,16.7%,3.00,0,0,,0,,0,0,0.0,0,0
3,2009,2009-09-27,3,22.213,OAK,,DEN,L 3-23,*,2,,,,,0.0%,,,,,,,,,,,
4,2009,2009-10-04,4,22.220,OAK,@,HOU,L 6-29,*,6,1,18,18.00,0,16.7%,3.00,1,20,20.00,0,,0,0,0.0,0,0
5,2009,2009-10-11,5,22.227,OAK,@,NYG,L 7-44,*,2,,,,,0.0%,,,,,,,,,,,
6,2009,2009-10-18,6,22.234,OAK,,PHI,W 13-9,*,1,0,0,,0,0.0%,0.00,1,-1,-1.00,0,,0,0,0.0,0,0
7,2009,2009-10-25,7,22.241,OAK,,NYJ,L 0-38,*,4,2,28,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0
8,2009,2009-11-01,8,22.248,OAK,@,SDG,L 16-24,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0
9,2009,2009-11-15,9,22.262,OAK,,KAN,L 10-16,*,3,1,22,22.00,0,33.3%,7.33,0,0,,0,,0,0,0.0,0,0
10,2009,2009-11-22,10,22.269,OAK,,CIN,W 20-17,*,6,1,7,7.00,0,16.7%,1.17,0,0,,0,,0,0,0.0,0,0
11,2009,2009-11-26,11,22.273,OAK,@,DAL,L 7-24,*,5,2,21,10.50,1,40.0%,4.20,0,0,,0,,1,6,0.0,0,0
12,2010,2010-09-12,1,23.198,OAK,@,TEN,L 13-38,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0
13,2010,2010-09-19,2,23.205,OAK,,STL,W 16-14,*,13,6,80,13.33,0,46.2%,6.15,0,0,,0,,0,0,0.0,0,0
14,2010,2010-09-26,3,23.212,OAK,@,ARI,L 23-24,*,11,3,49,16.33,0,27.3%,4.45,0,0,,0,,0,0,0.0,0,0
15,2010,2010-10-03,4,23.219,OAK,,HOU,L 24-31,*,5,1,2,2.00,0,20.0%,0.40,0,0,,0,,0,0,0.0,1,0
16,2010,2010-10-10,5,23.226,OAK,,SDG,W 35-27,*,2,,,,,0.0%,,,,,,,,,,,
17,2010,2010-10-17,6,23.233,OAK,@,SFO,L 9-17,*,4,3,19,6.33,0,75.0%,4.75,0,0,,0,,0,0,0.0,0,0
18,2010,2010-10-24,7,23.240,OAK,@,DEN,W 59-14,*,,,,,,0.0%,,,,,,,,,,,
19,2010,2010-10-31,8,23.247,OAK,,SEA,W 33-3,*,9,5,105,21.00,1,55.6%,11.67,1,30,30.00,0,,1,6,0.0,0,0
20,2010,2010-11-07,9,23.254,OAK,,KAN,W 23-20,*,5,,,,,0.0%,,,,,,,,,,,
21,2010,2010-11-28,11,23.275,OAK,,MIA,L 17-33,,0,0,0,,0,0.0%,,1,2,2.00,0,,0,0,0.0,0,0
22,2010,2010-12-05,12,23.282,OAK,@,SDG,W 28-13,*,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0,0.0,0,0
23,2010,2010-12-12,13,23.289,OAK,@,JAX,L 31-38,*,3,2,40,20.00,0,66.7%,13.33,0,0,,0,,0,0,0.0,0,0
24,2010,2010-12-19,14,23.296,OAK,,DEN,W 39-23,*,2,1,20,20.00,0,50.0%,10.00,0,0,,0,,0,0,0.0,0,0
25,2010,2010-12-26,15,23.303,OAK,,IND,L 26-31,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0
26,2010,2011-01-02,16,23.310,OAK,@,KAN,W 31-10,*,3,0,0,,0,0.0%,0.00,1,2,2.00,0,,0,0,0.0,1,0
27,2011,2011-09-12,1,24.198,OAK,@,DEN,W 23-20,*,7,4,44,11.00,0,57.1%,6.29,0,0,,0,,0,0,0.0,0,0
28,2011,2011-09-25,3,24.211,OAK,,NYJ,W 34-24,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,,0,0,0.0,0,0
29,2011,2011-10-02,4,24.218,OAK,,NWE,L 19-31,*,7,4,115,28.75,0,57.1%,16.43,0,0,,0,,0,0,0.0,0,0
30,2011,2011-10-09,5,24.225,OAK,@,HOU,W 25-20,*,12,7,99,14.14,1,58.3%,8.25,0,0,,0,,1,6,0.0,0,0
31,2011,2011-10-16,6,24.232,OAK,,CLE,W 24-17,*,9,6,82,13.67,0,66.7%,9.11,0,0,,0,,0,0,0.0,0,0
32,2011,2011-10-23,7,24.239,OAK,,KAN,L 0-28,*,11,5,89,17.80,0,45.5%,8.09,0,0,,0,,0,0,0.0,1,0
33,2011,2011-11-06,8,24.253,OAK,,DEN,L 24-38,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
34,2011,2011-11-10,9,24.257,OAK,@,SDG,W 24-17,*,0,,,,,0.0%,,,,,,,,,,,
35,2011,2011-11-20,10,24.267,OAK,@,MIN,W 27-21,*,5,4,43,10.75,0,80.0%,8.60,0,0,,0,,0,0,0.0,0,0
36,2011,2011-11-27,11,24.274,OAK,,CHI,W 25-20,*,10,4,42,10.50,0,40.0%,4.20,0,0,,0,,0,0,0.0,0,0
37,2011,2011-12-04,12,24.281,OAK,@,MIA,L 14-34,*,8,3,23,7.67,1,37.5%,2.88,0,0,,0,,1,6,0.0,0,0
38,2011,2011-12-11,13,24.288,OAK,@,GNB,L 16-46,*,11,5,78,15.60,0,45.5%,7.09,0,0,,0,,0,0,0.0,1,0
39,2011,2011-12-18,14,24.295,OAK,,DET,L 27-28,*,9,8,155,19.38,1,88.9%,17.22,0,0,,0,,1,6,0.0,0,0
40,2011,2011-12-24,15,24.301,OAK,@,KAN,W 16-13,*,5,4,70,17.50,0,80.0%,14.00,0,0,,0,,0,0,0.0,0,0
41,2011,2012-01-01,16,24.309,OAK,,SDG,L 26-38,*,17,9,130,14.44,1,52.9%,7.65,0,0,,0,,1,6,0.0,0,0
42,2012,2012-09-10,1,25.197,OAK,,SDG,L 14-22,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,,0,0,0.0,0,0
43,2012,2012-09-16,2,25.203,OAK,@,MIA,L 13-35,*,8,4,41,10.25,0,50.0%,5.13,0,0,,0,,0,0,0.0,0,0
44,2012,2012-09-23,3,25.210,OAK,,PIT,W 34-31,*,5,2,14,7.00,1,40.0%,2.80,0,0,,0,,1,6,0.0,0,0
45,2012,2012-10-14,5,25.231,OAK,@,ATL,L 20-23,*,2,0,0,,0,0.0%,0.00,1,20,20.00,0,,0,0,0.0,0,0
46,2012,2012-10-21,6,25.238,OAK,,JAX,W 26-23,*,7,4,85,21.25,0,57.1%,12.14,0,0,,0,,0,0,0.0,0,0
47,2012,2012-10-28,7,25.245,OAK,@,KAN,W 26-16,*,3,1,32,32.00,1,33.3%,10.67,0,0,,0,,1,6,0.0,0,0
48,2012,2012-11-04,8,25.252,OAK,,TAM,L 32-42,*,6,5,74,14.80,0,83.3%,12.33,0,0,,0,,0,0,0.0,0,0
49,2012,2012-11-11,9,25.259,OAK,@,BAL,L 20-55,*,8,5,82,16.40,1,62.5%,10.25,1,-4,-4.00,0,,1,6,0.0,0,0
50,2012,2012-11-18,10,25.266,OAK,,NOR,L 17-38,,5,4,69,17.25,0,80.0%,13.80,0,0,,0,,0,0,0.0,0,0
51,2012,2012-11-25,11,25.273,OAK,@,CIN,L 10-34,*,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
52,2012,2012-12-02,12,25.280,OAK,,CLE,L 17-20,*,6,4,40,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0
53,2012,2012-12-06,13,25.284,OAK,,DEN,L 13-26,*,6,5,82,16.40,1,83.3%,13.67,0,0,,0,,1,6,0.0,0,0
54,2012,2012-12-16,14,25.294,OAK,,KAN,W 15-0,*,5,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
55,2012,2012-12-23,15,25.301,OAK,@,CAR,L 6-17,*,6,2,31,15.50,0,33.3%,5.17,0,0,,0,,0,0,0.0,0,0
56,2012,2012-12-30,16,25.308,OAK,@,SDG,L 21-24,*,4,2,13,6.50,1,50.0%,3.25,0,0,,0,,1,6,0.0,0,0
57,2013,2013-09-08,1,26.194,IND,,OAK,W 21-17,*,4,3,33,11.00,0,75.0%,8.25,0,0,,0,,0,0,0.0,0,0
58,2013,2013-09-15,2,26.201,IND,,MIA,L 20-24,*,5,2,10,5.00,0,40.0%,2.00,0,0,,0,,0,0,0.0,0,0
59,2013,2013-09-22,3,26.208,IND,@,SFO,W 27-7,*,5,5,59,11.80,0,100.0%,11.80,0,0,,0,,0,0,0.0,0,0
60,2013,2013-09-29,4,26.215,IND,@,JAX,W 37-3,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0
61,2013,2013-10-06,5,26.222,IND,,SEA,W 34-28,*,6,0,0,,0,0.0%,0.00,1,7,7.00,0,,0,0,0.0,0,0
