ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1999,1999-10-25,7,22.059,PIT,,ATL,W 13-9,,,,,,,0.0%,
2,1999,1999-12-02,12,22.097,PIT,@,JAX,L 6-20,,,,,,,0.0%,
3,1999,1999-12-12,13,22.107,PIT,,BAL,L 24-31,,1,1,18,18.00,0,100.0%,18.00
4,1999,1999-12-18,14,22.113,PIT,@,KAN,L 19-35,,5,,,,,0.0%,
5,1999,1999-12-26,15,22.121,PIT,,CAR,W 30-20,,,,,,,0.0%,
6,1999,2000-01-02,16,22.128,PIT,,TEN,L 36-47,,3,1,5,5.00,0,33.3%,1.67
7,2000,2000-09-03,1,23.007,PIT,,BAL,L 0-16,,4,,,,,0.0%,
8,2000,2000-09-17,2,23.021,PIT,@,CLE,L 20-23,,1,,,,,0.0%,
9,2000,2000-10-15,6,23.049,PIT,,CIN,W 15-0,,2,,,,,0.0%,
10,2000,2000-10-29,8,23.063,PIT,@,BAL,W 9-6,,1,,,,,0.0%,
11,2000,2000-12-03,13,23.098,NYJ,,IND,W 27-17,,,,,,,0.0%,
