ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1955,1955-10-30,6,23.179,PIT,@,PHI,L 0-24,1,2,2.00,0,0,0,,0
2,1955,1955-11-13,8,23.193,PIT,,DET,L 28-31,2,-2,-1.00,0,3,24,8.00,0
3,1955,1955-11-20,9,23.200,PIT,@,CLE,L 14-41,7,16,2.29,0,5,27,5.40,0
4,1955,1955-11-27,10,23.207,PIT,,WAS,L 14-23,8,16,2.00,0,7,128,18.29,1
5,1955,1955-12-04,11,23.214,PIT,,CLE,L 7-30,5,2,0.40,0,3,46,15.33,0
6,1955,1955-12-11,12,23.221,PIT,@,WAS,L 17-28,6,1,0.17,0,1,-2,-2.00,0
7,1956,1956-09-30,1,24.149,PIT,,WAS,W 30-13,15,51,3.40,0,0,0,,0
8,1956,1956-10-06,2,24.155,PIT,,CLE,L 10-14,6,21,3.50,0,1,0,0.00,0
9,1956,1956-10-14,3,24.163,PIT,,PHI,L 21-35,9,39,4.33,0,2,23,11.50,0
10,1956,1956-10-21,4,24.170,PIT,@,NYG,L 10-38,3,27,9.00,0,0,0,,0
11,1956,1956-10-28,5,24.177,PIT,@,CLE,W 24-16,3,6,2.00,0,0,0,,0
12,1956,1956-11-04,6,24.184,PIT,,NYG,L 14-17,15,60,4.00,2,0,0,,0
13,1956,1956-11-11,7,24.191,PIT,@,PHI,L 7-14,11,17,1.55,0,2,14,7.00,0
14,1956,1956-11-25,9,24.205,PIT,@,CRD,L 27-38,1,-1,-1.00,0,0,0,,0
15,1956,1956-12-02,10,24.212,PIT,,RAM,W 30-13,11,29,2.64,0,1,31,31.00,0
16,1956,1956-12-09,11,24.219,PIT,@,DET,L 7-45,20,21,1.05,1,4,44,11.00,0
17,1956,1956-12-16,12,24.226,PIT,@,WAS,W 23-0,18,28,1.56,1,2,26,13.00,0
18,1957,1957-11-03,6,25.183,PIT,@,BAL,W 19-13,7,6,0.86,0,1,4,4.00,0
19,1957,1957-11-10,7,25.190,PIT,@,CLE,L 0-24,1,3,3.00,0,2,20,10.00,0
20,1957,1957-12-01,9,25.211,PIT,@,PHI,L 6-7,1,3,3.00,0,0,0,,0
21,1957,1957-12-07,10,25.217,PIT,,NYG,W 21-10,1,7,7.00,0,0,0,,0
22,1957,1957-12-22,12,25.232,PIT,@,CRD,W 27-2,2,2,1.00,0,0,0,,0
23,1958,1958-09-28,1,26.147,WAS,@,PHI,W 24-14,9,22,2.44,0,0,0,,0
24,1958,1958-10-19,4,26.168,WAS,,GNB,W 37-21,2,16,8.00,0,0,0,,0
25,1958,1958-10-26,5,26.175,WAS,@,BAL,L 10-35,5,27,5.40,0,0,0,,0
26,1958,1958-11-09,7,26.189,WAS,,CRD,W 45-31,15,77,5.13,0,0,0,,0
27,1958,1958-11-16,8,26.196,WAS,,CLE,L 10-20,2,-1,-0.50,0,0,0,,0
28,1958,1958-11-23,9,26.203,WAS,@,NYG,L 0-30,3,6,2.00,0,0,0,,0
29,1958,1958-11-30,10,26.210,WAS,@,CLE,L 14-21,8,18,2.25,0,4,40,10.00,1
30,1958,1958-12-07,11,26.217,WAS,,PIT,T 14-14,2,1,0.50,0,1,-2,-2.00,0
