ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1977,1977-09-18,1,22.223,SDG,@,OAK,L 0-24,,,,,,,,
2,1977,1977-09-25,2,22.230,SDG,@,KAN,W 23-7,2,3,66.7,1,2,50.0,0,5
3,1977,1977-10-02,3,22.237,SDG,,CIN,W 24-3,3,3,100.0,1,2,50.0,0,6
4,1977,1977-10-09,4,22.244,SDG,@,NOR,W 14-0,2,2,100.0,,,,0,2
5,1977,1977-10-16,5,22.251,SDG,,NWE,L 20-24,2,3,66.7,,,,0,2
6,1977,1977-10-23,6,22.258,SDG,,KAN,L 16-21,1,1,100.0,3,3,100.0,0,10
7,1977,1977-10-30,7,22.265,SDG,@,MIA,W 14-13,2,2,100.0,,1,0.0,0,2
8,1977,1977-11-06,8,22.272,SDG,@,DET,L 0-20,,,,,1,0.0,0,0
9,1977,1977-11-13,9,22.279,SDG,,DEN,L 14-17,2,2,100.0,,2,0.0,0,2
10,1977,1977-11-20,10,22.286,SDG,,OAK,W 12-7,,1,0.0,2,2,100.0,0,6
11,1977,1977-11-27,11,22.293,SDG,@,SEA,W 30-28,3,3,100.0,3,3,100.0,0,12
12,1977,1977-12-04,12,22.300,SDG,,CLE,W 37-14,4,4,100.0,3,3,100.0,0,13
13,1977,1977-12-11,13,22.307,SDG,@,DEN,L 9-17,,,,3,3,100.0,0,9
14,1977,1977-12-18,14,22.314,SDG,,PIT,L 9-10,,,,1,1,100.0,0,3
15,1978,1978-09-03,1,23.208,SDG,@,SEA,W 24-20,3,3,100.0,1,1,100.0,0,6
16,1978,1978-09-10,2,23.215,SDG,,OAK,L 20-21,2,3,66.7,,1,0.0,0,2
17,1978,1978-09-17,3,23.222,SDG,@,DEN,L 14-27,2,2,100.0,,,,0,2
18,1978,1978-09-24,4,23.229,SDG,,GNB,L 3-24,,,,1,1,100.0,0,3
19,1978,1978-10-01,5,23.236,SDG,@,NWE,L 23-28,2,3,66.7,1,2,50.0,0,5
20,1978,1978-10-08,6,23.243,SDG,,DEN,W 23-0,2,2,100.0,3,3,100.0,0,11
21,1978,1978-10-15,7,23.250,SDG,,MIA,L 21-28,3,3,100.0,,,,0,3
22,1978,1978-10-22,8,23.257,SDG,@,DET,L 14-31,2,2,100.0,,1,0.0,0,2
