ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2016,2016-09-08,1,24.021,DEN,,CAR,W 21-20,,0,0,0.0,0,0
2,2016,2016-09-18,2,24.031,DEN,,IND,W 34-20,,0,0,0.0,0,0
3,2016,2016-09-25,3,24.038,DEN,@,CIN,W 29-17,,0,0,0.0,0,0
4,2016,2016-10-02,4,24.045,DEN,@,TAM,W 27-7,,0,0,0.0,0,0
5,2016,2016-10-09,5,24.052,DEN,,ATL,L 16-23,,0,0,0.0,1,0
6,2016,2016-10-13,6,24.056,DEN,@,SDG,L 13-21,,0,0,0.0,0,0
7,2016,2016-10-24,7,24.067,DEN,,HOU,W 27-9,,0,0,0.0,0,0
8,2016,2016-10-30,8,24.073,DEN,,SDG,W 27-19,,0,0,0.0,0,0
9,2016,2016-11-06,9,24.080,DEN,@,OAK,L 20-30,,0,0,0.0,0,0
10,2016,2016-11-13,10,24.087,DEN,@,NOR,W 25-23,,0,0,0.0,0,0
11,2016,2016-11-27,11,24.101,DEN,,KAN,L 27-30,,0,0,0.0,0,0
12,2016,2016-12-04,12,24.108,DEN,@,JAX,W 20-10,,0,0,0.0,0,0
13,2016,2016-12-11,13,24.115,DEN,@,TEN,L 10-13,,0,0,0.0,3,2
14,2016,2016-12-18,14,24.122,DEN,,NWE,L 3-16,,0,0,0.0,0,1
15,2016,2016-12-25,15,24.129,DEN,@,KAN,L 10-33,,0,0,0.0,0,0
16,2016,2017-01-01,16,24.136,DEN,,OAK,W 24-6,*,0,0,0.0,0,0
17,2017,2017-09-11,1,25.024,DEN,,LAC,W 24-21,,0,0,0.0,0,0
18,2017,2017-09-17,2,25.030,DEN,,DAL,W 42-17,,0,0,0.0,0,0
19,2017,2017-09-24,3,25.037,DEN,@,BUF,L 16-26,,0,0,0.0,0,0
20,2017,2017-10-01,4,25.044,DEN,,OAK,W 16-10,,0,0,0.0,0,0
21,2017,2017-10-15,5,25.058,DEN,,NYG,L 10-23,,0,0,0.0,0,0
22,2017,2017-10-22,6,25.065,DEN,@,LAC,L 0-21,,0,0,0.0,4,0
23,2017,2017-10-30,7,25.073,DEN,@,KAN,L 19-29,*,0,0,0.0,1,2
24,2017,2017-11-05,8,25.079,DEN,@,PHI,L 23-51,*,0,0,0.0,4,1
25,2017,2017-11-12,9,25.086,DEN,,NWE,L 16-41,,0,0,0.0,0,0
26,2017,2017-11-19,10,25.093,DEN,,CIN,L 17-20,,0,0,0.0,0,0
27,2017,2017-11-26,11,25.100,DEN,@,OAK,L 14-21,,0,0,0.0,0,1
28,2017,2017-12-03,12,25.107,DEN,@,MIA,L 9-35,,0,0,0.0,0,0
29,2017,2017-12-10,13,25.114,DEN,,NYJ,W 23-0,,0,0,0.0,3,0
30,2017,2017-12-14,14,25.118,DEN,@,IND,W 25-13,,0,0,0.0,0,0
31,2017,2017-12-24,15,25.128,DEN,@,WAS,L 11-27,,0,0,0.0,0,0
32,2017,2017-12-31,16,25.135,DEN,,KAN,L 24-27,,1,6,0.0,3,1
