ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,22.132,PHI,@,NYG,W 24-10,,,,,,,,
2,1981,1981-09-13,2,22.139,PHI,,NWE,W 13-3,,,,,,,,
3,1981,1981-09-17,3,22.143,PHI,@,BUF,W 20-14,,,,,,,,
4,1981,1981-09-27,4,22.153,PHI,,WAS,W 36-13,,,,,,,,
5,1981,1981-10-05,5,22.161,PHI,,ATL,W 16-13,,,,,,,,
6,1981,1981-10-11,6,22.167,PHI,@,NOR,W 31-14,,,,,,,,
7,1981,1981-10-18,7,22.174,PHI,@,MIN,L 23-35,,,,,,,,
8,1981,1981-10-25,8,22.181,PHI,,TAM,W 20-10,,,,,,,,
9,1981,1981-11-01,9,22.188,PHI,,DAL,L 14-17,,,,,,,,
10,1981,1981-11-08,10,22.195,PHI,@,STL,W 52-10,,,,,,,,
11,1981,1981-11-15,11,22.202,PHI,,BAL,W 38-13,,,,,,,,
12,1981,1981-11-22,12,22.209,PHI,,NYG,L 10-20,,,,,,,,
13,1981,1981-11-30,13,22.217,PHI,@,MIA,L 10-13,,,,,,,,
14,1981,1981-12-06,14,22.223,PHI,@,WAS,L 13-15,,,,,,,,
15,1981,1981-12-13,15,22.230,PHI,@,DAL,L 10-21,,,,,,,,
16,1981,1981-12-20,16,22.237,PHI,,STL,W 38-0,,,,,,,,
17,1982,1982-09-12,1,23.138,PHI,,WAS,L 34-37,,,,,,,,
18,1982,1982-09-19,2,23.145,PHI,@,CLE,W 24-21,,,,,,,,
19,1982,1982-11-21,3,23.208,PHI,,CIN,L 14-18,,,,,,,,
20,1982,1982-11-28,4,23.215,PHI,@,WAS,L 9-13,,,,,,,,
21,1982,1982-12-05,5,23.222,PHI,,STL,L 20-23,,,,,,,,
22,1982,1982-12-11,6,23.228,PHI,@,NYG,L 7-23,,,,,,,,
23,1982,1982-12-19,7,23.236,PHI,,HOU,W 35-14,,,,,,,,
24,1982,1982-12-26,8,23.243,PHI,@,DAL,W 24-20,,,,,,,,
25,1982,1983-01-02,9,23.250,PHI,,NYG,L 24-26,,,,,,,,
