ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2016,2016-12-04,12,22.118,DEN,@,JAX,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,40,10.00,0
2,2016,2016-12-11,13,22.125,DEN,@,TEN,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,21,10.50,0
3,2016,2016-12-25,15,22.139,DEN,@,KAN,L 10-33,,0,0,,0,1,0,0,,0,0.0%,0.00,4,113,28.25,0,1,0,0.00,0
4,2016,2017-01-01,16,22.146,DEN,,OAK,W 24-6,,0,0,,0,1,0,0,,0,0.0%,0.00,2,24,12.00,0,4,50,12.50,0
5,2017,2017-09-10,1,23.033,NYJ,@,BUF,L 12-21,,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,3,27,9.00,0
6,2017,2017-09-17,2,23.040,NYJ,@,OAK,L 20-45,,0,0,,0,0,0,0,,0,0.0%,,1,40,40.00,0,2,11,5.50,0
7,2017,2017-11-19,10,23.103,NYG,,KAN,W 12-9,,1,-1,-1.00,0,1,1,12,12.00,0,100.0%,12.00,1,6,6.00,0,2,8,4.00,0
8,2017,2017-11-23,11,23.107,NYG,@,WAS,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,8,4.00,0
9,2017,2017-12-03,12,23.117,NYG,@,OAK,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,2,32,16.00,0,2,10,5.00,0
10,2017,2017-12-10,13,23.124,NYG,,DAL,L 10-30,,0,0,,0,0,0,0,,0,0.0%,,3,48,16.00,0,1,-3,-3.00,0
11,2017,2017-12-17,14,23.131,NYG,,PHI,L 29-34,,0,0,,0,0,0,0,,0,0.0%,,5,100,20.00,0,1,7,7.00,0
12,2017,2017-12-31,16,23.145,NYG,,WAS,W 18-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,5,31,6.20,0
