ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.339,ARI,@,DET,L 24-42,*,14,10,217,21.70,2,71.4%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,6.00,0,,2,12,0.0,,
2,2003,2003-09-14,2,22.346,ARI,,SEA,L 0-38,*,13,8,62,7.75,0,61.5%,4.77,0,0,,0,0,0,,0,0,0,,0,0,,,1,7,7.00,0,,0,0,0.0,,
3,2003,2003-09-21,3,22.353,ARI,,GNB,W 20-13,*,8,5,99,19.80,0,62.5%,12.38,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,6.00,0,,0,0,0.0,,
4,2003,2003-09-28,4,22.360,ARI,@,STL,L 13-37,*,9,7,86,12.29,0,77.8%,9.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
5,2003,2003-10-05,5,23.002,ARI,@,DAL,L 7-24,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,,
6,2003,2003-10-12,6,23.009,ARI,,BAL,L 18-26,*,10,6,95,15.83,0,60.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,6.00,0,,0,0,0.0,,
7,2003,2003-10-26,7,23.023,ARI,,SFO,W 16-13,*,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,0,0,0.0,,
8,2003,2003-11-02,8,23.030,ARI,,CIN,W 17-14,*,9,6,51,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,4,20,5.00,0,,1,6,0.0,,
9,2003,2003-11-09,9,23.037,ARI,@,PIT,L 15-28,*,13,8,118,14.75,1,61.5%,9.08,0,0,,0,0,0,,0,0,0,,0,0,,,3,5,1.67,0,,1,6,0.0,,
10,2003,2003-11-16,10,23.044,ARI,@,CLE,L 6-44,*,6,4,86,21.50,0,66.7%,14.33,1,6,6.00,0,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0,0.0,,
11,2003,2003-11-23,11,23.051,ARI,,STL,L 27-30,*,11,6,123,20.50,2,54.5%,11.18,2,28,14.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,,2,12,0.0,,
