ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2010,2010-12-05,12,23.333,SFO,@,GNB,L 16-34,,0,0,,0,0.0,0,0
2,2010,2010-12-12,13,23.340,SFO,,SEA,W 40-21,,0,0,,0,0.0,0,0
3,2010,2011-01-02,16,23.361,SFO,,ARI,W 38-7,,,,,,,,
4,2011,2011-10-23,6,24.290,SEA,@,CLE,L 3-6,,,,,,,,
5,2011,2011-10-30,7,24.297,SEA,,CIN,L 12-34,,,,,,,,
6,2011,2011-11-06,8,24.304,SEA,@,DAL,L 13-23,,,,,,,,
7,2011,2011-11-13,9,24.311,SEA,,BAL,W 22-17,,0,0,,0,0.0,1,0
8,2011,2011-11-20,10,24.318,SEA,@,STL,W 24-7,,,,,,,,
9,2011,2011-11-27,11,24.325,SEA,,WAS,L 17-23,,0,0,,0,0.0,0,1
10,2011,2011-12-01,12,24.329,SEA,,PHI,W 31-14,,0,0,,0,0.0,0,1
11,2011,2011-12-12,13,24.340,SEA,,STL,W 30-13,,0,0,,0,0.0,0,1
12,2011,2011-12-18,14,24.346,SEA,@,CHI,W 38-14,,0,0,,0,0.0,0,0
13,2011,2011-12-24,15,24.352,SEA,,SFO,L 17-19,,0,0,,0,0.0,0,0
14,2011,2012-01-01,16,24.360,SEA,@,ARI,L 20-23,,,,,,,,
15,2012,2012-09-09,1,25.247,SEA,@,ARI,L 16-20,,0,0,,0,0.0,0,0
16,2012,2012-09-16,2,25.254,SEA,,DAL,W 27-7,,,,,,,,
17,2012,2012-09-24,3,25.262,SEA,,GNB,W 14-12,,0,0,,0,0.0,0,0
18,2012,2012-09-30,4,25.268,SEA,@,STL,L 13-19,,0,0,,0,0.0,1,0
19,2012,2012-10-07,5,25.275,SEA,@,CAR,W 16-12,,0,0,,0,0.0,0,0
20,2012,2012-10-14,6,25.282,SEA,,NWE,W 24-23,,0,0,,0,0.0,0,0
21,2012,2012-10-18,7,25.286,SEA,@,SFO,L 6-13,,0,0,,0,0.0,0,0
22,2012,2012-10-28,8,25.296,SEA,@,DET,L 24-28,,,,,,,,
23,2012,2012-11-04,9,25.303,SEA,,MIN,W 30-20,,,,,,,,
24,2012,2012-11-11,10,25.310,SEA,,NYJ,W 28-7,,,,,,,,
25,2012,2012-11-25,11,25.324,SEA,@,MIA,L 21-24,,,,,,,,
26,2012,2012-12-02,12,25.331,SEA,@,CHI,W 23-17,,0,0,,0,0.0,0,0
27,2012,2012-12-09,13,25.338,SEA,,ARI,W 58-0,,,,,,,,
28,2012,2012-12-16,14,25.345,SEA,@,BUF,W 50-17,,0,0,,0,0.0,2,1
29,2012,2012-12-23,15,25.352,SEA,,SFO,W 42-13,,,,,,,,
30,2012,2012-12-30,16,25.359,SEA,,STL,W 20-13,,0,0,,0,0.0,0,0
31,2013,2013-09-08,1,26.245,SEA,@,CAR,W 12-7,,0,0,,0,0.0,0,1
32,2013,2013-09-15,2,26.252,SEA,,SFO,W 29-3,,,,,,,,
33,2013,2013-09-22,3,26.259,SEA,,JAX,W 45-17,,0,0,,0,0.0,1,0
34,2013,2013-09-29,4,26.266,SEA,@,HOU,W 23-20,,,,,,,,
35,2013,2013-10-06,5,26.273,SEA,@,IND,L 28-34,,0,0,,0,0.0,0,1
36,2013,2013-10-13,6,26.280,SEA,,TEN,W 20-13,,1,0,0.00,0,0.0,1,0
37,2013,2013-10-17,7,26.284,SEA,@,ARI,W 34-22,,,,,,,,
38,2013,2013-10-28,8,26.295,SEA,@,STL,W 14-9,,,,,,,,
39,2013,2013-11-03,9,26.301,SEA,,TAM,W 27-24,,0,0,,0,0.0,1,1
40,2013,2013-11-10,10,26.308,SEA,@,ATL,W 33-10,,,,,,,,
41,2013,2013-11-17,11,26.315,SEA,,MIN,W 41-20,,0,0,,0,0.0,2,0
42,2013,2013-12-02,12,26.330,SEA,,NOR,W 34-7,,,,,,,,
43,2013,2013-12-08,13,26.336,SEA,@,SFO,L 17-19,,0,0,,0,0.0,2,0
44,2013,2013-12-15,14,26.343,SEA,@,NYG,W 23-0,,0,0,,0,0.0,1,0
45,2013,2013-12-22,15,26.350,SEA,,ARI,L 10-17,,0,0,,0,0.0,1,0
46,2013,2013-12-29,16,26.357,SEA,,STL,W 27-9,,,,,,,,
47,2014,2014-09-07,1,27.244,PHI,,JAX,W 34-17,,0,0,,0,0.0,2,0
48,2014,2014-09-15,2,27.252,PHI,@,IND,W 30-27,,0,0,,0,0.0,1,0
49,2014,2014-09-21,3,27.258,PHI,,WAS,W 37-34,,0,0,,0,0.0,1,0
50,2014,2014-09-28,4,27.265,PHI,@,SFO,L 21-26,,,,,,,,
51,2014,2014-10-05,5,27.272,PHI,,STL,W 34-28,,0,0,,0,0.0,1,0
52,2014,2014-10-12,6,27.279,PHI,,NYG,W 27-0,,0,0,,0,0.0,1,0
53,2014,2014-10-26,7,27.293,PHI,@,ARI,L 20-24,,,,,,,,
54,2014,2014-11-02,8,27.300,PHI,@,HOU,W 31-21,,,,,,,,
55,2014,2014-11-10,9,27.308,PHI,,CAR,W 45-21,,0,0,,0,0.0,3,0
56,2014,2014-11-16,10,27.314,PHI,@,GNB,L 20-53,,0,0,,0,0.0,2,0
57,2014,2014-11-23,11,27.321,PHI,,TEN,W 43-24,,0,0,,0,0.0,1,0
58,2014,2014-11-27,12,27.325,PHI,@,DAL,W 33-10,,0,0,,0,0.0,1,0
59,2014,2014-12-07,13,27.335,PHI,,SEA,L 14-24,,,,,,,,
60,2014,2014-12-14,14,27.342,PHI,,DAL,L 27-38,,,,,,,,
61,2014,2014-12-20,15,27.348,PHI,@,WAS,L 24-27,,,,,,,,
62,2014,2014-12-28,16,27.356,PHI,@,NYG,W 34-26,,0,0,,0,0.0,1,0
63,2015,2015-09-14,1,28.251,PHI,@,ATL,L 24-26,,0,0,,0,0.0,0,1
64,2015,2015-09-20,2,28.257,PHI,,DAL,L 10-20,,0,0,,0,0.0,0,0
65,2015,2015-09-27,3,28.264,PHI,@,NYJ,W 24-17,*,0,0,,0,0.0,0,0
66,2015,2015-10-11,5,28.278,PHI,,NOR,W 39-17,*,0,0,,0,0.0,1,0
67,2015,2015-10-19,6,28.286,PHI,,NYG,W 27-7,,0,0,,0,0.0,0,0
68,2015,2015-10-25,7,28.292,PHI,@,CAR,L 16-27,,0,0,,0,0.0,0,1
69,2015,2015-11-08,8,28.306,PHI,@,DAL,W 33-27,,0,0,,0,0.0,3,1
70,2015,2015-11-15,9,28.313,PHI,,MIA,L 19-20,,0,0,,0,0.0,0,0
71,2015,2015-11-22,10,28.320,PHI,,TAM,L 17-45,,0,0,,0,0.0,0,0
72,2015,2015-11-26,11,28.324,PHI,@,DET,L 14-45,,0,0,,0,0.0,0,0
73,2015,2015-12-06,12,28.334,PHI,@,NWE,W 35-28,,0,0,,0,0.0,0,0
74,2015,2015-12-13,13,28.341,PHI,,BUF,W 23-20,,0,0,,0,0.0,0,0
75,2015,2015-12-20,14,28.348,PHI,,ARI,L 17-40,,0,0,,0,0.0,0,0
76,2015,2015-12-26,15,28.354,PHI,,WAS,L 24-38,,0,0,,0,0.0,0,0
77,2015,2016-01-03,16,28.362,PHI,@,NYG,W 35-30,,0,0,,0,0.0,2,0
78,2016,2016-09-11,1,29.249,PHI,,CLE,W 29-10,,0,0,,0,0.0,0,0
79,2016,2016-09-19,2,29.257,PHI,@,CHI,W 29-14,,0,0,,0,0.0,0,0
