ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1955,1955-09-25,1,26.302,CHI,@,BAL,L 17-23,1,13,13.00,0,0,0,,0
2,1957,1957-10-05,2,28.312,CHI,@,BAL,L 10-21,0,0,,0,1,8,8.00,0
3,1957,1957-11-24,9,28.362,CHI,@,DET,W 27-7,1,21,21.00,0,0,0,,0
4,1957,1957-12-01,10,29.004,CHI,,WAS,L 3-14,2,16,8.00,0,0,0,,0
