ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,22.345,NYG,@,TAM,W 17-13,,1,16,16.00,0,0,0,0
2,1999,1999-09-19,2,22.352,NYG,,WAS,L 21-50,,,,,,,,
3,1999,1999-10-18,6,23.016,NYG,,DAL,W 13-10,,,,,,,,
4,1999,1999-10-24,7,23.022,NYG,,NOR,W 31-3,,1,32,32.00,0,0,0,0
5,1999,1999-10-31,8,23.029,NYG,@,PHI,W 23-17,,3,79,26.33,0,0,0,0
6,1999,1999-11-14,9,23.043,NYG,,IND,L 19-27,,3,51,17.00,0,0,0,0
7,1999,1999-11-21,10,23.050,NYG,@,WAS,L 13-23,,2,59,29.50,0,0,0,0
8,1999,1999-12-05,12,23.064,NYG,,NYJ,W 41-28,,2,48,24.00,0,0,0,0
9,1999,1999-12-12,13,23.071,NYG,@,BUF,W 19-17,,3,74,24.67,0,1,34,0
10,1999,1999-12-19,14,23.078,NYG,@,STL,L 10-31,,2,52,26.00,0,0,0,0
11,1999,1999-12-26,15,23.085,NYG,,MIN,L 17-34,,4,78,19.50,0,0,0,0
12,1999,2000-01-02,16,23.092,NYG,@,DAL,L 18-26,,1,43,43.00,0,0,0,0
13,2000,2000-11-05,9,24.034,NYG,@,CLE,W 24-3,,2,41,20.50,0,0,0,0
14,2000,2000-11-12,10,24.041,NYG,,STL,L 24-38,,4,92,23.00,0,0,0,0
15,2000,2000-11-19,11,24.048,NYG,,DET,L 21-31,,1,20,20.00,0,0,0,0
