ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1979,1979-09-02,1,22.041,WAS,,HOU,L 27-29,,,,,,,,
2,1979,1979-12-09,15,22.139,CHI,@,GNB,W 15-14,,,,,,,,
3,1979,1979-12-16,16,22.146,CHI,,STL,W 42-6,,,,,,,,
4,1980,1980-09-07,1,23.046,CHI,@,GNB,L 6-12,,,,,,,,
5,1980,1980-09-14,2,23.053,CHI,,NOR,W 22-3,,,,,,,,
6,1980,1980-09-21,3,23.060,CHI,,MIN,L 14-34,2,34,17.00,0,0,0,,0
7,1980,1980-09-28,4,23.067,CHI,@,PIT,L 3-38,,,,,,,,
8,1980,1980-10-06,5,23.075,CHI,,TAM,W 23-0,,,,,,,,
9,1980,1980-10-12,6,23.081,CHI,@,MIN,L 7-13,,,,,,,,
10,1980,1980-10-19,7,23.088,CHI,,DET,W 24-7,,,,,,,,
11,1980,1980-10-26,8,23.095,CHI,@,PHI,L 14-17,,,,,,,,
12,1980,1980-11-03,9,23.103,CHI,@,CLE,L 21-27,,,,,,,,
13,1980,1980-11-09,10,23.109,CHI,,WAS,W 35-21,0,0,,0,1,0,0.00,0
14,1980,1980-11-16,11,23.116,CHI,,HOU,L 6-10,,,,,,,,
15,1980,1980-11-23,12,23.123,CHI,@,ATL,L 17-28,,,,,,,,
16,1980,1980-11-27,13,23.127,CHI,@,DET,W 23-17,,,,,,,,
17,1980,1980-12-07,14,23.137,CHI,,GNB,W 61-7,,,,,,,,
18,1980,1980-12-14,15,23.144,CHI,,CIN,L 14-17,,,,,,,,
19,1980,1980-12-20,16,23.150,CHI,@,TAM,W 14-13,2,49,24.50,0,0,0,,0
20,1981,1981-09-06,1,24.045,CHI,,GNB,L 9-16,,,,,,,,
21,1987,1987-10-04,3,30.073,BUF,,IND,L 6-47,,,,,,,,
